Type,39197_s_at,35082_at,31581_at,1054_at,32592_at,31862_at,40119_at,40902_at,34748_at,41539_at,35780_at,33556_at,32433_at,37238_s_at,33276_at,32075_at,34554_at,40690_at,1721_g_at,32926_at,32392_s_at,40020_at,31603_at,39491_s_at,35458_r_at,32108_at,34919_at,35359_at,36439_at,39526_at,2052_g_at,32534_f_at,33371_s_at,519_g_at,530_at,135_g_at,35817_at,37181_at,40659_at,32141_at,592_at,40463_at,34799_at,33935_at
3,0.2254385379843927,0.1421272642823966,0.06116353448048001,0.373553331248045,0.11459265890778875,0.0960190377804014,0.11262883397491619,0.16528239202657805,0.2331763883463207,0.33136755850766647,0.03618017362847144,0.0,0.44127828224552246,0.21610845295055822,0.07139068632650895,0.16218028546795668,0.1966979396615158,0.22943337415117443,0.25024559565131965,0.03730655858511423,0.02520521199273748,0.17409376124055795,0.11278059377262858,0.162078361364277,0.06077597901781676,0.0,0.3513739130434783,0.2278547418734335,0.2755032989341905,0.320044948630137,0.24628482972136226,0.06452074391988555,0.3846807138916268,0.0715760719337897,0.4776006892095627,0.30874461491950717,0.13951293184821598,0.18842776093883576,0.1321955934802173,0.05794226296346971,0.47750070310302806,0.31094172959110983,0.083446519524618,0.052548896394627266
1,0.36156873207496826,0.28536925220622383,0.07683768138926335,0.3756646856427901,0.09878154257014096,0.04947609208972845,0.29430026077238297,0.3210594315245478,0.22548676933199002,0.5851387423179588,0.01611290395891096,0.24779123036649214,0.34069131590829277,0.44117647058823534,0.2602100350058343,0.20500047897308166,0.24507910228108903,0.5536383539277895,0.18504813674765866,0.1937177597641857,0.046754814380433427,0.23168538427720714,0.2267378711078929,0.3532838485389458,0.386813783123813,0.37637624332646596,0.24987826086956522,0.12895641867604485,0.45998984943326,0.3153895547945205,0.2005030959752322,0.2608726752503576,0.10614147650840292,0.2496056974683339,0.6517337928063751,0.26778021313581735,0.291580139701718,0.8297582964171911,0.28369054364854507,0.20119031331235462,0.40029999062529303,0.18207721897706222,0.4064516129032258,0.4915560443013118
3,0.12539184952978055,0.1657222480260102,0.04281976052652446,0.2843290584923366,0.3291807656707586,0.24260256788665877,0.22649944120203652,0.3109080841638981,0.096531447252092,0.458687690111118,0.1433798463706195,0.2041884816753927,0.5274168464355592,0.37653626043718924,0.1863795481065026,0.4116294664239869,0.1362674760853569,0.2587851126201343,0.18770056978191108,0.14941046425939575,0.22484899411326856,0.0,0.11803041274438816,0.1871652729493564,0.4014651352084653,0.02326045058815711,0.3581913043478261,0.42934307420288725,0.1302656064963627,0.10231164383561644,0.18440402476780188,0.31781115879828326,0.12757806252440904,0.0,0.2982985138918802,0.26218728743103314,0.24334528978667172,0.2110826144400404,0.07729742341921936,0.21658229579969898,0.26131995875128905,0.2792420572731158,0.2963497453310696,0.25803157646689184
1,0.11285266457680251,0.139526242452392,0.05418549943171306,0.11025961839224274,0.2747067660045825,0.11778704250295158,0.15472494722463678,0.18429309708379474,0.15965211670127682,0.37209013594884843,0.1878550974955684,0.23331151832460734,0.32508904831184476,0.21296556900272068,0.10310809377320464,0.1965705527349363,0.17614054451802796,0.16137890088686035,0.15701748641037397,0.10989314664701548,0.009869570293548386,0.3261660205427441,0.11857349746560465,0.12007892511509917,0.16062223026137287,0.17837442679603913,0.2503652173913044,0.3613383333009501,0.09431568262561325,0.17867080479452055,0.29690402476780187,0.2136623748211731,0.24319180723190317,0.29319848457748654,0.35375834589704924,0.15456125765248277,0.09448744572399473,0.3454573715706847,0.35942135262157926,0.1474893966342865,0.227289772194619,0.4194329676592106,0.2699490662139219,0.3163930563192208
3,0.20176082171680115,0.13822573153738968,0.0667142441783628,0.3323428213950579,0.3228077629242978,0.5165289256198347,0.227244505153359,0.38528977482465854,0.14369718527047307,0.467316406977466,0.10249534112085815,0.23110274869109948,0.15707620528771382,0.43472652218782254,0.11817121035324069,0.24398888782450423,0.1650570272259014,0.7276336784296263,0.22214945314034976,0.19961311717022845,0.4981009043895802,0.14707645577714717,0.17324402606806663,0.15606501926148644,0.33173555213891653,0.2664983053100286,0.27318260869565225,0.2752249013931257,0.3234647267805786,0.13762842465753428,0.12062693498452014,0.23555078683834046,0.3041168411721312,0.2945480561291686,0.4487400387680379,0.4270274355679843,0.17651500849537477,0.4336286624698842,0.0965634478850705,0.10788069503352032,0.6035436392612731,0.4474996438239064,0.16409168081494058,0.22834027177755087
3,0.3186820516240912,0.32893636785880165,0.10969259641054106,0.5784329058492337,0.3377691455624175,0.06951003541912633,0.4513845771762076,0.3121077888519749,0.15813064128132903,0.8151964740207337,0.3127585109767738,0.2913121727748691,0.7498620378267196,0.4271507646120649,0.3965206322265832,0.4762908324552159,0.3782192788815305,0.5808007718282682,0.3994695133931495,0.3344694178334562,0.05009057475003567,0.3402741696974541,0.3535481535119479,0.37329700272479566,0.5278104368273492,0.0851997075829069,0.4262956521739131,0.48926496590047985,0.4165115885636948,0.29928296232876717,0.2964009287925697,0.5024320457796851,0.12300310576332966,0.3790670070405359,0.4418479431402111,0.3317965384324692,0.38965452142722296,0.31969379031631306,0.3900869971000967,0.3834997947735668,0.46976656979469406,0.46659068243339497,0.5200339558573854,0.6642840311051763
1,0.5241779497098646,0.5252206223873664,0.1313667961832263,0.6175320613074757,0.3557652914131375,0.15785492916174734,0.6638519806283374,0.6194167589516427,0.17490799185805045,0.6907318890061457,0.12551702195354755,0.4642506544502618,0.41393668790448,0.45625762266629133,0.5779145009016654,0.41546125107768944,0.23726085356880058,0.3201974099224461,0.2435653939354247,0.4621407516580693,0.07172873714754407,0.29235442228528036,0.5448950036205649,0.5187447148360426,0.580175454463236,0.5557253937661993,0.5110956521739131,0.2259117492762353,0.6366097107088479,0.3779430650684931,0.3127321981424149,0.45135908440629463,0.3912021969711058,0.41355425115038785,0.7737454232177471,0.7056911798050034,0.4212761940721163,0.1946063573482552,0.33102229925669147,0.37323847311533725,0.41019030655292027,0.34670180937455475,0.43879456706281833,0.5132354096300369
1,0.41926232241712796,0.3143985137018114,0.09520788729416117,0.36686737566468564,0.24992792437370076,0.05783279220779221,0.46125667453123054,0.3959486895533407,0.23033904229290458,0.4196722329132782,0.5682582609881369,0.4020778795811518,0.23438519038779917,0.5164649591894174,0.4338601888193487,0.3180381262573043,0.17289827078734363,0.245315225054733,0.22910799659440698,0.30236735445836405,0.04297625396176893,0.45323927900563526,0.29887762490948594,0.3878135863948135,0.42005064664918157,0.6504951153053765,0.48751304347826097,0.23824975226844383,0.3975215699543225,0.27017337328767127,0.30321207430340563,0.39502861230329034,0.07214545634883734,0.5467065576169493,0.5012922679302175,0.5102411004459224,0.35718331130828773,0.5469806481697366,0.12887903736542117,0.3175194965111507,0.5755601387456643,0.4722894999287647,0.3955432937181664,0.40067551645589505
1,0.35876742479823914,0.43297724105898744,0.18794438717521741,0.41347356897091025,0.33399086536273004,0.08383448937426209,0.4780206134359866,0.5357604282022886,0.3104426671052902,0.41309206033894097,0.24879550929503205,0.42907395287958117,0.4074900918075553,0.3687142321043249,0.4029914076588522,0.38600440655235174,0.32728568800588664,0.13388251883186758,0.24507171393018537,0.48968312453942514,0.08543339866602057,0.34962631389632703,0.3783490224475019,0.4636850512073663,0.6101112417473095,0.1482687578919386,0.4089739130434783,0.18677987836866344,0.44514464557604466,0.4326573202054795,0.2742066563467493,0.4599427753934191,0.4391896499352191,0.4976504447082161,0.4612858065905664,0.6180938704557478,0.4361902963941854,0.2650190409574881,0.43821872604246526,0.32521548775482284,0.31370113433955193,0.3649024077503917,0.5390916808149405,0.5784306024664204
4,0.48475955445874735,0.4015791918253599,0.11299659027832845,0.49898342195808576,0.4723305464091164,0.14888946280991733,0.5384328821557184,0.511812476928756,0.20110204165552975,0.291638214662611,0.492091268578701,0.5633998691099477,0.14719309687452967,0.40475185289426774,0.3014744881722711,0.4982277995976625,0.315121412803532,0.07243311440127648,0.22260789835614644,0.40475313190862194,0.06120485598149803,0.6332280884057392,0.33119116582186825,0.48059757587146484,0.44722800036176186,0.5067233778604816,0.41120000000000007,0.6277226183768239,0.4597360852647606,0.34027183219178087,0.22140092879256967,0.25243204577968525,0.13349203102043852,0.3991805011300629,0.37174240792590996,0.42415539263850044,0.3337738342457995,0.4042900442993705,0.1874270857638079,0.2425092351894924,0.5438267554138934,0.5701666904117394,0.5370118845500849,0.3716911475924908
