Type,34304_s_at,31736_at,37091_g_at,39958_at,34459_at,34069_s_at,31954_f_at,36283_at,36272_r_at,34421_g_at,36683_at,32060_at,38286_at,34587_at,40184_at,31665_s_at,36239_at,35359_at,AFFX-YEL018w/_at,39054_at,41548_at,33066_at,36646_at,32012_at,41497_at,34100_at,361_at,34885_at,37841_at,36046_at,616_s_at
3,0.44823286224638825,0.3734056589942823,0.16231706068979632,0.2032245607260089,0.09925690021231423,0.1203681395460897,0.008861572845369465,0.14771630749437117,0.2828750340321263,0.3228467976494331,0.10699282713685593,0.5108083818173217,0.10459383315072782,0.24785807882269928,0.3610790503994388,0.22478173977069527,0.21903750884642606,0.2278547418734335,0.1366751517524966,0.09371703424339319,0.11046712802768165,0.31681857131728597,0.2013251783893986,0.21553884711779447,0.26018808777429464,0.2926829268292683,0.26889925668195475,0.17016232338489187,0.0778538133492016,0.20022578824288362,0.0912588488765774
1,0.277495674837666,0.2611787127987098,0.3384505168355337,0.2844178412821008,0.16765241128298453,0.24174818098588158,0.02097499650789216,0.5702798327436475,0.3101914874308013,0.42422983320472485,0.07170005429657358,0.2488529397852514,0.11746752230395993,0.41306319927426666,0.017561726299590387,0.3595245608499001,0.16302193913658883,0.12895641867604485,0.324456628157431,0.07034516684430596,0.32076124567474046,0.22894757342058114,0.5789160720353381,0.23360484544695073,0.3551965276103207,0.38973577235772355,0.32255258579788076,0.2242471751142382,0.5564812059902807,0.27449399241996614,0.06098030163127115
3,0.40195924236636926,0.40404632751795916,0.19557875345409884,0.1971423054643754,0.21807703973309067,0.6667951621452319,0.012286632211202683,0.2463814731424895,0.23559306652146295,0.26740665993945506,0.2565655988340525,0.34998344449174584,0.3789325403036469,0.2941235762523939,0.22511145812116684,0.30325023666771855,0.10201698513800425,0.42934307420288725,0.343548071274721,0.11320270011751524,0.12301038062283735,0.1766767936433746,0.23394495412844038,0.2037385129490393,0.1577043646009163,0.19664634146341464,0.3226712003795667,0.15712674225187845,0.1914112863235148,0.17780824127086525,0.23803477993228683
1,0.49115869413800084,0.2979035332062747,0.144816293112271,0.17580614018150223,0.17455262359720955,0.15048426733484313,0.0019164687805559434,0.20529109038275972,0.16444323441328612,0.2685938149225381,0.17337753264938702,0.7878056856345489,0.20159649397401783,0.2007862110674327,0.01201710910448775,0.18312822131061324,0.17002830856334042,0.3613383333009501,0.14108086939494807,0.0427482167746167,0.12292387543252593,0.26524888992755313,0.21024464831804285,0.21888053467000834,0.16246684350132626,0.18302845528455286,0.4718883441404397,0.37988643098866215,0.07101061192105525,0.3265059269413757,0.05559402893197907
3,0.48499112499157443,0.37040023456971116,0.22986388291884147,0.2052519791465534,0.262208067940552,0.2402544210475594,0.014722726637798576,0.20786426503698938,0.1826844541246937,0.3260521161037573,0.042694253136341544,0.5503523958185516,0.20104867741430582,0.26680778147364176,0.3020345350442438,0.21994319974755444,0.16433121019108282,0.2752249013931257,0.15566869003328762,0.15036484381405263,0.12344290657439445,0.19030926228869674,0.19971117906897726,0.2080200501253133,0.36224981914637083,0.3182926829268293,0.3672702830934683,0.10992103703420456,0.32222552811663197,0.11361986936537376,0.2111418898122499
3,0.23507538140067857,0.6427943116845036,0.3763176747518166,0.5593743966016606,0.589171974522293,0.3094974220594613,0.02326023187596033,0.5098102283692506,0.449677829204102,0.3234997328901288,0.3816477581230532,0.6254671018400265,0.44725309125058693,0.5727245237375265,0.0021499536062642923,0.6318502156305881,0.17087756546355273,0.48926496590047985,0.34315645192872524,0.04671640567352627,0.35354671280276817,0.3570148788657786,0.41377845735643903,0.5007309941520468,0.40499156016397403,0.4966463414634146,0.39846591807686227,0.05229910330191386,0.36576415749280966,0.6528505765664059,0.19002000615574022
1,0.2662053160177051,0.4301422078874064,0.617541705045543,0.45896891291755165,0.4489687594783136,0.3726208259046885,0.029194021511384272,0.4848021871984561,0.6342680824031219,0.6937140143645752,0.21572886005772582,0.46615581098339715,0.32450305212083264,0.6145549843765749,0.04650689116708533,0.5989271063426949,0.17413305024769993,0.2259117492762353,0.645094967691404,0.08918039955180235,0.41046712802768165,0.38942120433123,0.6207951070336392,0.47650375939849626,0.46419098143236076,0.6703252032520326,0.22615846908113238,0.3254536068676749,0.5111573936328474,0.3342472381259576,0.3368728839642967
1,0.6023041319343024,0.3506817182231344,0.3593797973595333,0.4871114114693956,0.614877161055505,0.24261552546619763,0.026925548260930295,0.4310469604374397,0.46664851619929215,0.5642250845847925,0.23000314348584003,0.42822004635542305,0.14802786038503676,0.4561536135470214,0.3208975490528888,0.4731250657410329,0.13389950460014155,0.23824975226844383,0.4302917564127668,0.07392254926074718,0.3256055363321799,0.24542338552621326,0.4159446143391098,0.4537385129490393,0.4486677115987461,0.22591463414634144,0.4241064368179661,0.3215876718352676,0.3822771000694238,0.4285541488589629,0.3029586026469683
1,1.0,0.4637516493182817,0.4713949442226998,0.47615369762502413,0.5134212920837126,0.26282947043800897,0.027199329515295433,0.6145062721132197,0.5025864416008712,0.5532142221166972,0.4608350241476866,0.8255522444539046,0.4060494600093911,0.47439774216308833,0.17094394278860298,0.6029767539707585,0.37147912243453646,0.18677987836866344,0.5411689837477971,0.09907080976196331,0.34022491349480966,0.5167484614785385,0.4462283384301733,0.4553049289891395,0.44486978538702676,0.5395833333333333,0.3585718804365017,0.2386153757910636,0.4420311415253397,0.4700830578179179,0.28568405663281005
4,0.1682544318871189,0.5059375458143966,0.39248797461876983,0.40036686619038425,0.611995753715499,0.2095118778007999,0.019913395725660008,0.36330009649404954,0.4892458480805881,0.6663500920045111,0.3710742148429686,0.3368336407927723,0.5391688840194083,0.5211168229009172,0.24038744427093942,0.48848217103187125,0.09154281670205237,0.6277226183768239,0.5581554728803603,0.19689541143997158,0.3859861591695502,0.43008491080470507,0.3417431192660551,0.4389097744360902,0.46443211960453334,0.27967479674796747,0.5462596868575044,0.012630250654838165,0.43300604978676976,0.2747359083944843,0.47787780855647893
