Method,Dataset,Feature Selection method,Classification method,No. genes,No. selected genes,No. iterations,Accuracy,Precision,Sensitivity,F-measure
Hybrid approach,ANOVA_barretNP_df_1000,Genetic Algorithm,Naive Bayes,1001,507,50,0.5,0.566666667,0.5,0.5
Hybrid approach,ANOVA_barretNP_df_1000,Genetic Algorithm,SVM,1001,507,50,0.5625,0.526041667,0.5625,0.541035354
Hybrid approach,ANOVA_barretNP_df_1000,Genetic Algorithm,kNN,1001,507,50,0.75,0.772321429,0.75,0.745833333
Hybrid approach,ANOVA_barretNP_df_1000,Genetic Algorithm,Random Forest,1001,507,50,0.6875,0.683035714,0.6875,0.68215812
Hybrid approach,ANOVA_barretNP_df_1000,Genetic Algorithm,Naive Bayes,1001,543,100,0.5,0.520138889,0.5,0.472402597
Hybrid approach,ANOVA_barretNP_df_1000,Genetic Algorithm,SVM,1001,543,100,0.625,0.578869048,0.625,0.59298514
Hybrid approach,ANOVA_barretNP_df_1000,Genetic Algorithm,kNN,1001,543,100,0.625,0.604166667,0.625,0.604910714
Hybrid approach,ANOVA_barretNP_df_1000,Genetic Algorithm,Random Forest,1001,543,100,0.5625,0.551339286,0.5625,0.555021368
Hybrid approach,ANOVA_barretNP_df_1000,Genetic Algorithm,Naive Bayes,1001,515,200,0.5625,0.6546875,0.5625,0.583151224
Hybrid approach,ANOVA_barretNP_df_1000,Genetic Algorithm,SVM,1001,515,200,0.625,0.578869048,0.625,0.59298514
Hybrid approach,ANOVA_barretNP_df_1000,Genetic Algorithm,kNN,1001,515,200,0.625,0.633928571,0.625,0.61875
Hybrid approach,ANOVA_barretNP_df_1000,Genetic Algorithm,Random Forest,1001,515,200,0.625,0.604166667,0.625,0.604910714
Hybrid approach,ANOVA_barretNP_df_1000,Genetic Algorithm,Naive Bayes,1001,511,500,0.6875,0.761904762,0.6875,0.685606061
Hybrid approach,ANOVA_barretNP_df_1000,Genetic Algorithm,SVM,1001,511,500,0.5625,0.551339286,0.5625,0.555021368
Hybrid approach,ANOVA_barretNP_df_1000,Genetic Algorithm,kNN,1001,511,500,0.75,0.813988095,0.75,0.742424242
Hybrid approach,ANOVA_barretNP_df_1000,Genetic Algorithm,Random Forest,1001,511,500,0.625,0.604166667,0.625,0.604910714
Hybrid approach,ANOVA_barretNP_df_1000,Genetic Algorithm,Naive Bayes,1001,556,1000,0.4375,0.453125,0.4375,0.438492063
Hybrid approach,ANOVA_barretNP_df_1000,Genetic Algorithm,SVM,1001,556,1000,0.5625,0.551339286,0.5625,0.555021368
Hybrid approach,ANOVA_barretNP_df_1000,Genetic Algorithm,kNN,1001,556,1000,0.75,0.747916667,0.75,0.744318182
Hybrid approach,ANOVA_barretNP_df_1000,Genetic Algorithm,Random Forest,1001,556,1000,0.5625,0.551339286,0.5625,0.555021368
Hybrid approach,ANOVA_barretNP_df_1000,Genetic Algorithm,Naive Bayes,1001,547,2000,0.5625,0.660714286,0.5625,0.565590659
Hybrid approach,ANOVA_barretNP_df_1000,Genetic Algorithm,SVM,1001,547,2000,0.5625,0.551339286,0.5625,0.555021368
Hybrid approach,ANOVA_barretNP_df_1000,Genetic Algorithm,kNN,1001,547,2000,0.6875,0.697916667,0.6875,0.679545455
Hybrid approach,ANOVA_barretNP_df_1000,Genetic Algorithm,Random Forest,1001,547,2000,0.625,0.604166667,0.625,0.604910714
Hybrid approach,chi2_barretNP_df_1000,Genetic Algorithm,Naive Bayes,1001,501,50,0.75,0.758333333,0.75,0.75
Hybrid approach,chi2_barretNP_df_1000,Genetic Algorithm,SVM,1001,501,50,0.5625,0.551339286,0.5625,0.555021368
Hybrid approach,chi2_barretNP_df_1000,Genetic Algorithm,kNN,1001,501,50,0.6875,0.666666667,0.6875,0.672979798
Hybrid approach,chi2_barretNP_df_1000,Genetic Algorithm,Random Forest,1001,501,50,0.5,0.453125,0.5,0.473214286
Hybrid approach,chi2_barretNP_df_1000,Genetic Algorithm,Naive Bayes,1001,516,100,0.6875,0.734375,0.6875,0.689732143
Hybrid approach,chi2_barretNP_df_1000,Genetic Algorithm,SVM,1001,516,100,0.625,0.604166667,0.625,0.604910714
Hybrid approach,chi2_barretNP_df_1000,Genetic Algorithm,kNN,1001,516,100,0.6875,0.69375,0.6875,0.6875
Hybrid approach,chi2_barretNP_df_1000,Genetic Algorithm,Random Forest,1001,516,100,0.5625,0.479166667,0.5625,0.5125
Hybrid approach,chi2_barretNP_df_1000,Genetic Algorithm,Naive Bayes,1001,528,200,0.4375,0.473214286,0.4375,0.442963287
Hybrid approach,chi2_barretNP_df_1000,Genetic Algorithm,SVM,1001,528,200,0.625,0.578869048,0.625,0.59298514
Hybrid approach,chi2_barretNP_df_1000,Genetic Algorithm,kNN,1001,528,200,0.8125,0.820833333,0.8125,0.8125
Hybrid approach,chi2_barretNP_df_1000,Genetic Algorithm,Random Forest,1001,528,200,0.5625,0.525297619,0.5625,0.535292832
Hybrid approach,chi2_barretNP_df_1000,Genetic Algorithm,Naive Bayes,1001,515,500,0.5625,0.578869048,0.5625,0.557473776
Hybrid approach,chi2_barretNP_df_1000,Genetic Algorithm,SVM,1001,515,500,0.625,0.604166667,0.625,0.604910714
Hybrid approach,chi2_barretNP_df_1000,Genetic Algorithm,kNN,1001,515,500,0.8125,0.814732143,0.8125,0.809294872
Hybrid approach,chi2_barretNP_df_1000,Genetic Algorithm,Random Forest,1001,515,500,0.625,0.604166667,0.625,0.604910714
Hybrid approach,chi2_barretNP_df_1000,Genetic Algorithm,Naive Bayes,1001,527,1000,0.625,0.69375,0.625,0.631228147
Hybrid approach,chi2_barretNP_df_1000,Genetic Algorithm,SVM,1001,527,1000,0.625,0.578869048,0.625,0.59298514
Hybrid approach,chi2_barretNP_df_1000,Genetic Algorithm,kNN,1001,527,1000,0.6875,0.69375,0.6875,0.6875
Hybrid approach,chi2_barretNP_df_1000,Genetic Algorithm,Random Forest,1001,527,1000,0.5,0.4625,0.5,0.465277778
Hybrid approach,chi2_barretNP_df_1000,Genetic Algorithm,Naive Bayes,1001,475,2000,0.625,0.668303571,0.625,0.637310606
Hybrid approach,chi2_barretNP_df_1000,Genetic Algorithm,SVM,1001,475,2000,0.5625,0.583333333,0.5625,0.555902778
Hybrid approach,chi2_barretNP_df_1000,Genetic Algorithm,kNN,1001,475,2000,0.6875,0.69375,0.6875,0.6875
Hybrid approach,chi2_barretNP_df_1000,Genetic Algorithm,Random Forest,1001,475,2000,0.6875,0.683035714,0.6875,0.68215812
Hybrid approach,MI_barretNP_df_1000,Genetic Algorithm,Naive Bayes,1001,515,50,0.5,0.643973214,0.5,0.479166667
Hybrid approach,MI_barretNP_df_1000,Genetic Algorithm,SVM,1001,515,50,0.5625,0.526041667,0.5625,0.541035354
Hybrid approach,MI_barretNP_df_1000,Genetic Algorithm,kNN,1001,515,50,0.5625,0.479166667,0.5625,0.5125
Hybrid approach,MI_barretNP_df_1000,Genetic Algorithm,Random Forest,1001,515,50,0.5625,0.583333333,0.5625,0.555902778
Hybrid approach,MI_barretNP_df_1000,Genetic Algorithm,Naive Bayes,1001,497,100,0.5,0.635416667,0.5,0.474621212
Hybrid approach,MI_barretNP_df_1000,Genetic Algorithm,SVM,1001,497,100,0.5625,0.526041667,0.5625,0.541035354
Hybrid approach,MI_barretNP_df_1000,Genetic Algorithm,kNN,1001,497,100,0.75,0.85,0.75,0.697916667
Hybrid approach,MI_barretNP_df_1000,Genetic Algorithm,Random Forest,1001,497,100,0.5625,0.525297619,0.5625,0.535292832
Hybrid approach,MI_barretNP_df_1000,Genetic Algorithm,Naive Bayes,1001,508,200,0.375,0.551339286,0.375,0.373397436
Hybrid approach,MI_barretNP_df_1000,Genetic Algorithm,SVM,1001,508,200,0.5625,0.525297619,0.5625,0.535292832
Hybrid approach,MI_barretNP_df_1000,Genetic Algorithm,kNN,1001,508,200,0.625,0.604166667,0.625,0.604910714
Hybrid approach,MI_barretNP_df_1000,Genetic Algorithm,Random Forest,1001,508,200,0.5625,0.551339286,0.5625,0.555021368
Hybrid approach,MI_barretNP_df_1000,Genetic Algorithm,Naive Bayes,1001,490,500,0.5,0.529761905,0.5,0.5
Hybrid approach,MI_barretNP_df_1000,Genetic Algorithm,SVM,1001,490,500,0.6875,0.677083333,0.6875,0.651785714
Hybrid approach,MI_barretNP_df_1000,Genetic Algorithm,kNN,1001,490,500,0.625,0.578869048,0.625,0.59298514
Hybrid approach,MI_barretNP_df_1000,Genetic Algorithm,Random Forest,1001,490,500,0.5625,0.551339286,0.5625,0.555021368
Hybrid approach,MI_barretNP_df_1000,Genetic Algorithm,Naive Bayes,1001,514,1000,0.5625,0.6796875,0.5625,0.572802198
Hybrid approach,MI_barretNP_df_1000,Genetic Algorithm,SVM,1001,514,1000,0.5625,0.551339286,0.5625,0.555021368
Hybrid approach,MI_barretNP_df_1000,Genetic Algorithm,kNN,1001,514,1000,0.6875,0.651041667,0.6875,0.641233766
Hybrid approach,MI_barretNP_df_1000,Genetic Algorithm,Random Forest,1001,514,1000,0.4375,0.448863636,0.4375,0.410845588
Hybrid approach,MI_barretNP_df_1000,Genetic Algorithm,Naive Bayes,1001,509,2000,0.5625,0.582589286,0.5625,0.568910256
Hybrid approach,MI_barretNP_df_1000,Genetic Algorithm,SVM,1001,509,2000,0.5625,0.551339286,0.5625,0.555021368
Hybrid approach,MI_barretNP_df_1000,Genetic Algorithm,kNN,1001,509,2000,0.75,0.822916667,0.75,0.688257576
Hybrid approach,MI_barretNP_df_1000,Genetic Algorithm,Random Forest,1001,509,2000,0.5,0.4625,0.5,0.465277778
Hybrid approach,Ridge_lung_cancer_df,Genetic Algorithm,Naive Bayes,501,276,50,0.75,0.861587302,0.75,0.766889848
Hybrid approach,Ridge_lung_cancer_df,Genetic Algorithm,SVM,501,276,50,0.925,0.926724138,0.925,0.92387218
Hybrid approach,Ridge_lung_cancer_df,Genetic Algorithm,kNN,501,276,50,0.825,0.820114943,0.825,0.821177945
Hybrid approach,Ridge_lung_cancer_df,Genetic Algorithm,Random Forest,501,276,50,0.8,0.810416667,0.8,0.778809524
Hybrid approach,Ridge_lung_cancer_df,Genetic Algorithm,Naive Bayes,501,268,100,0.75,0.836111111,0.75,0.762371795
Hybrid approach,Ridge_lung_cancer_df,Genetic Algorithm,SVM,501,268,100,0.875,0.884677419,0.875,0.855677966
Hybrid approach,Ridge_lung_cancer_df,Genetic Algorithm,kNN,501,268,100,0.825,0.812096774,0.825,0.810996772
Hybrid approach,Ridge_lung_cancer_df,Genetic Algorithm,Random Forest,501,268,100,0.825,0.837096774,0.825,0.806949153
Hybrid approach,Ridge_lung_cancer_df,Genetic Algorithm,Naive Bayes,501,262,200,0.725,0.868506494,0.725,0.748886693
Hybrid approach,Ridge_lung_cancer_df,Genetic Algorithm,SVM,501,262,200,0.85,0.765625,0.85,0.805
Hybrid approach,Ridge_lung_cancer_df,Genetic Algorithm,kNN,501,262,200,0.825,0.808448276,0.825,0.81125731
Hybrid approach,Ridge_lung_cancer_df,Genetic Algorithm,Random Forest,501,262,200,0.8,0.810416667,0.8,0.778809524
