Method,Dataset,Feature Selection method,Classification method,No. genes,No. selected genes,Trees num,Tree depth,Gamma,Accuracy,Precision,Sensitivity,F-measure
Embedded approach,df_normalized_lung_cancer,XGBoost,Naive Bayes,12601,10,"[10, 100, 1000]","[3, 4, 8, 16, 32]","[0.01, 0.05, 0.1, 0.25, 0.5, 0.75, 1]",0.8,0.8995652173913044,0.8,0.8324929971988795
Embedded approach,df_normalized_lung_cancer,XGBoost,SVM,12601,10,"[10, 100, 1000]","[3, 4, 8, 16, 32]","[0.01, 0.05, 0.1, 0.25, 0.5, 0.75, 1]",0.85,0.7764705882352941,0.85,0.7989247311827957
Embedded approach,df_normalized_lung_cancer,XGBoost,kNN,12601,10,"[10, 100, 1000]","[3, 4, 8, 16, 32]","[0.01, 0.05, 0.1, 0.25, 0.5, 0.75, 1]",0.925,0.9349999999999999,0.925,0.9273809523809524
Embedded approach,df_normalized_lung_cancer,XGBoost,Random Forest,12601,10,"[10, 100, 1000]","[3, 4, 8, 16, 32]","[0.01, 0.05, 0.1, 0.25, 0.5, 0.75, 1]",0.925,0.9349999999999999,0.925,0.9273809523809524
Embedded approach,df_normalized_lung_cancer,XGBoost,Naive Bayes,12601,100,"[10, 100, 1000]","[3, 4, 8, 16, 32]","[0.01, 0.05, 0.1, 0.25, 0.5, 0.75, 1]",0.925,0.9340740740740742,0.925,0.9253102453102453
Embedded approach,df_normalized_lung_cancer,XGBoost,SVM,12601,100,"[10, 100, 1000]","[3, 4, 8, 16, 32]","[0.01, 0.05, 0.1, 0.25, 0.5, 0.75, 1]",0.925,0.9267241379310345,0.925,0.9238721804511278
Embedded approach,df_normalized_lung_cancer,XGBoost,kNN,12601,100,"[10, 100, 1000]","[3, 4, 8, 16, 32]","[0.01, 0.05, 0.1, 0.25, 0.5, 0.75, 1]",0.925,0.9267241379310345,0.925,0.9238721804511278
Embedded approach,df_normalized_lung_cancer,XGBoost,Random Forest,12601,100,"[10, 100, 1000]","[3, 4, 8, 16, 32]","[0.01, 0.05, 0.1, 0.25, 0.5, 0.75, 1]",0.95,0.9550000000000001,0.95,0.9496031746031747
Embedded approach,df_normalized_lung_cancer,XGBoost,Naive Bayes,12601,1000,"[10, 100, 1000]","[3, 4, 8, 16, 32]","[0.01, 0.05, 0.1, 0.25, 0.5, 0.75, 1]",0.875,0.8986666666666666,0.875,0.8806289308176097
Embedded approach,df_normalized_lung_cancer,XGBoost,SVM,12601,1000,"[10, 100, 1000]","[3, 4, 8, 16, 32]","[0.01, 0.05, 0.1, 0.25, 0.5, 0.75, 1]",0.95,0.9550000000000001,0.95,0.9496031746031747
Embedded approach,df_normalized_lung_cancer,XGBoost,kNN,12601,1000,"[10, 100, 1000]","[3, 4, 8, 16, 32]","[0.01, 0.05, 0.1, 0.25, 0.5, 0.75, 1]",0.85,0.8483333333333333,0.85,0.8454433497536946
Embedded approach,df_normalized_lung_cancer,XGBoost,Random Forest,12601,1000,"[10, 100, 1000]","[3, 4, 8, 16, 32]","[0.01, 0.05, 0.1, 0.25, 0.5, 0.75, 1]",0.925,0.9267241379310345,0.925,0.9238721804511278
Embedded approach,df_normalized_lung_cancer,XGBoost,Naive Bayes,12601,10,"[10, 100, 1000]","[3, 4, 8, 16, 32]","[0.01, 0.05, 0.1, 0.25, 0.5, 0.75, 1]",0.875,0.9030769230769231,0.875,0.8827513227513227
Embedded approach,df_normalized_lung_cancer,XGBoost,SVM,12601,10,"[10, 100, 1000]","[3, 4, 8, 16, 32]","[0.01, 0.05, 0.1, 0.25, 0.5, 0.75, 1]",0.775,0.7297297297297297,0.775,0.7097435897435898
Embedded approach,df_normalized_lung_cancer,XGBoost,kNN,12601,10,"[10, 100, 1000]","[3, 4, 8, 16, 32]","[0.01, 0.05, 0.1, 0.25, 0.5, 0.75, 1]",0.9,0.924074074074074,0.9,0.9075324675324674
