Type,40825_at,36148_at,40808_at,41675_at,38484_at,39266_at,35742_at,37545_at,37588_s_at,36823_at,39864_at,33157_at,34873_at,40093_at,41662_at,40175_at,37406_at,607_s_at,39117_at,32138_at,40862_i_at,35371_at,32822_at,41435_at,33446_at,36215_at,260_at,34265_at,40331_at,1817_at,40380_at,36146_at,34849_at,38313_at,37529_at,1566_at,37704_at,33244_at,31841_at,33341_at,37879_r_at,38239_at,41346_at,41101_at,32076_at,33811_at,37274_at,41476_at,36322_at,37247_at,33249_at,41424_at,34169_s_at,37052_at,32654_g_at,1162_g_at,36330_at,39597_at,33702_f_at,34210_at,38363_at,35367_at,39315_at,37759_at,829_s_at,39704_s_at,41830_at,40117_at,38712_at,38096_f_at,41485_at,41096_at,39341_at
3,0.029844728353677828,0.02637128853661509,0.0036509996261024475,0.09461818850124053,0.007688651845593284,0.024205982115325316,0.03751371280578144,0.04852725276760088,0.21555224813038606,0.11056273805053377,0.1217151468622935,0.023442615794298682,0.04521477818863823,0.0,0.11872240333429623,0.10201014465526959,0.06711248695890129,0.04752111641571795,0.19875255325357458,0.20296825437759497,0.0,0.08355915215858051,0.08458568648096743,0.0039069252843757524,0.044085762466875456,0.05106300089047195,0.009404992162506533,0.006468960823766126,0.13494957726392995,0.2890503275703479,0.02072612246824983,0.3225527554516635,0.1836642726376567,0.17282354903268846,0.0,0.06570321811680574,0.2041766782355908,0.08732871709469134,0.018585213373199235,0.27331451758186137,0.0660861939363568,0.08109210587308209,0.0335542745554575,0.22640938785385914,0.0508107362174843,0.22286091840105718,0.01949801171591055,0.15030930548852717,0.2547205135062851,0.17101769911504427,0.061478912180163874,0.014718147475837707,0.1884072580645161,0.04854070660522275,0.27869011757846657,0.12657446283032847,0.4065361702127659,0.2697292863002461,0.00388112585500921,0.2233434052420772,0.24806326879808152,0.45235603272674074,0.0392348183335473,0.5744170735040186,0.27584636096700443,0.15437795035784985,0.20481003834088535,0.4839279848586758,0.14585730724971233,0.4487805845263116,0.3354217197560013,0.6957671126197387,0.17255789382387032
1,0.02592340775409525,0.013584537708357186,0.007047332188874985,0.0792722149048917,0.060738237313196386,0.026595744680851064,0.02888454100270298,0.09171108495245149,0.23337559487716594,0.1829301003165066,0.0,0.04561924302614921,0.008791466416598288,0.06326530612244897,0.13295918788429,0.04111090237334836,0.10094237972258804,0.05292691883951523,0.0017508024511234334,0.12555122882120845,0.02114171088454442,0.07342514569954342,0.1029163077119428,0.1687238529889707,0.1300088332128804,0.07658058771148708,0.027316643902796752,0.006069505266895491,0.04718345726800449,0.4212798708490548,0.09211085406732449,0.09231803772134874,0.1497817208843825,0.1217895263509006,0.24737430167597765,0.1325486690504569,0.23849781970276765,0.028398632658427556,0.09017396031530307,0.12770118985321996,0.08318717113505388,0.07039354748991795,0.09213812268809735,0.23058311154125327,0.016407921065341887,0.1827552031714569,0.36721255398298197,0.0,0.3712757421770526,0.20855457227138643,0.22736641029507865,0.04344579088238019,0.2038306451612903,0.1633794162826421,0.17753376736954618,0.38089651765868116,0.44765957446808513,0.3444134536505333,0.18606877617824083,0.1724966622162884,0.22763833313123968,0.27229706157083855,0.017948388753370133,0.19203344140921003,0.3948301475111127,0.13256324914616371,0.17032647844777507,0.1700114185606357,0.22497123130034524,0.07577031367728118,0.5122845470148832,0.021431589681267526,0.04186017172999441
3,0.11046107140598319,0.026840357674451244,0.002173930658788965,0.0526235182405734,0.0160532291281618,0.030130831240914497,0.04962622001560716,0.16011744944251194,0.23453319368649286,0.22439783273429537,0.22015411299724189,0.03626620683633824,0.12225999296682688,0.02943732698126569,0.06470515412866754,0.15314045964055356,0.06145136739126717,0.1936099889827396,0.13313393638751095,0.0680171235526214,0.06445613838388023,0.11741341549426482,0.17891898790721417,0.1391280295958234,0.042539950212800125,0.16287288512911843,0.013190822340981382,0.0072826665877618645,0.050178262198227574,0.32781438306020155,0.07525612577309852,0.08021390374331551,0.13896634276862413,0.038317211474316215,0.13396648044692738,0.07449344457687725,0.17338554181127822,0.07783328950828293,0.06163359608589291,0.127426674330225,0.04394262089701829,0.031122236128493956,0.051411082111271766,0.16047665134285022,0.04120609949630856,0.19081598942847705,0.29926882456065335,0.2833326021146843,0.3665151109922439,0.17020648967551624,0.2218368270245815,0.013802351632896694,0.24072580645161287,0.04448540706605224,0.18535613642989016,0.25981723882440105,0.4170553191489361,0.0706152584085316,0.004122816280079313,0.07605930714637062,0.07615339360216287,0.40184228592007387,0.12155604057003463,0.11561013180287953,0.49501236029386164,0.3686788922969827,0.27284768211920535,0.4587445840046301,0.10021097046413502,0.10068604512828648,0.287617144376667,0.012051558740435757,0.25213085541722186
1,0.09537663651887929,0.02917092953251904,0.0017768815555064222,0.11878579961405335,0.019781380366478325,0.018148980221135633,0.0,0.10693454309786131,0.2413134152839792,0.09664181106163831,0.079171998066479,0.024588553717204347,0.02480791977920099,0.12728706624605676,0.12932777617298727,0.060179097000438345,0.06487198344421831,0.08214469335291956,0.11073825503355705,0.0915104314413183,0.0862413138376568,0.13255874382864993,0.11443476596152002,0.04951076997545206,0.09557937846302096,0.046276714158504005,0.012906655911120078,0.009117203219315896,0.10294387287358664,0.2128925681890709,0.09890939993390302,0.2264241570335265,0.2806365300661879,0.03840060040026685,0.18417132216014898,0.06078665077473183,0.24917682655513038,0.07125953194846174,0.0447132372927426,0.1722756478995273,0.03514156852919068,0.11615445232466509,0.017293501323769646,0.24582627631260584,0.015193541709790934,0.12375289065080938,0.2964895027151836,0.09810029394989689,0.2174378175982883,0.1968289085545723,0.18071683506761174,0.1055018615730974,0.1344758064516129,0.0010445468509984743,0.11417743659508307,0.39904914793776236,0.25593191489361705,0.04935192780968007,0.001945255945467132,0.2604173986367789,0.37451104554293596,0.581135982533734,0.14802927205032737,0.6634927141952074,0.33085257012870956,0.23348778524657918,0.27089578250261415,0.34862586225774667,0.29190640583045646,0.4369631597731689,0.1744091410889693,0.012194738661721723,0.23750463229438523
3,0.13506419581304158,0.024295565265245667,0.004888450038373696,0.12552455049468556,0.007625283835876856,0.014492753623188406,0.016455366937718416,0.053315169230362267,0.27543501828271133,0.09350356740518212,0.08357360175154255,0.03853625529314183,0.05478415617906885,0.013864031416983195,0.08480171666735445,0.13563779823407854,0.04085925875250133,0.1492030848329049,0.19751240151736213,0.018258245867395623,0.012771796752941291,0.09057500278406772,0.11885389745062377,0.08048957577014833,0.055910222436360714,0.03325356188780053,0.008277493102089084,0.010678038821162267,0.03432820617296527,0.2499859210452216,0.06732448892875689,0.18863876525024817,0.20070412617941133,0.043487324883255504,0.12484171322160151,0.13205204608661106,0.1262792560291893,0.02281824290764601,0.06323049741777657,0.18809460491211213,0.0611688799799549,0.034496824734621984,0.0554481101075915,0.26651342850229853,0.0037121368936728076,0.2501486620416254,0.26172660024800104,0.12459965778967226,0.22610323615940087,0.18960176991150443,0.08103352938219473,0.017023990580385614,0.16733870967741937,0.04688172043010754,0.13798464677873867,0.29964188688565074,0.04371063829787234,0.09050041017227237,0.003346121807281218,0.10363291406085309,0.1525268447785727,0.16744882226498756,0.06735139299011425,0.2653200660877775,0.6370309761730674,0.5328155931171006,0.11000348553502963,0.4599802912515056,0.20090141925584962,0.13432208430820478,0.29622317665734615,0.3599403533401082,0.24060334155976248
3,0.03144962367971666,0.03518757225326778,0.009260620484724029,0.1960976506263975,0.07752019855309712,0.14402449231311396,0.061625631920019006,0.2046371367730501,0.037557650258162954,0.20280564347406255,0.0510506411896841,0.16727419566071505,0.14266685137626414,0.03087941801326208,0.14022201130689557,0.09765796230196006,0.09671791889719339,0.08458318031582812,0.2041143857601401,0.02959228408592723,0.2560233402148294,0.39114295259660714,0.16848537060081042,0.3698440687342253,0.11011402874809281,0.12422083704363313,0.06741161049032461,0.014446975973487989,0.0569827849648569,0.2577950479623059,0.18072801095321278,0.3837138557110378,0.1400647796085058,0.15055870580386924,0.418659217877095,0.19025625744934446,0.2286494022722554,0.1569813305285301,0.12285947268279424,0.195026121867735,0.1085254322225006,0.09116024660455198,0.14948269711023907,0.570106460198403,0.0420892844821638,0.29441691443673607,0.3357420789327404,0.27460185144561927,0.4492110189890344,0.31305309734513276,0.2507414668476348,0.022840384416207404,0.2954637096774193,0.16233486943164363,0.45126809833835385,0.7125833539145467,0.6038468085106383,0.11294503691550452,0.018640667347154274,0.08294568196191414,0.07898270527105257,0.6024623833800375,0.12301964308640388,0.07851650331060013,0.36870814618803893,0.5844242859318235,0.202486348321134,0.8099200700755502,0.5074798619102416,0.1815838521632232,0.34479326988936254,0.012900161688545258,0.0789894896197182
1,0.2567279109480741,0.045104506387835225,0.010773574356415816,0.24351395227739148,0.05629191529809368,0.06309193427602308,0.06544825324300789,0.08499213035830015,0.1504878452125021,0.23794324338823028,0.05811367966106514,0.07468241148993757,0.13084898924777016,0.01321380287130625,0.2041431106342591,0.1867681132193625,0.11356445295797775,0.049122291590157914,0.1988255033557047,0.18327874771127217,0.15906736635314017,0.1874234381380155,0.11583867777033278,0.2528783321232237,0.1038504777965149,0.1606467052537845,0.047547460377116366,0.02257293762575453,0.39199348069675055,0.4226502224474854,0.28058165336858504,0.05760671171026929,0.234305027460921,0.3603235490326885,0.4223836126629423,0.2630115216527612,0.2002313784818012,0.2070587547842347,0.169951073661321,0.16581595449905204,0.1646203958907542,0.09132712186529458,0.10269072610173312,0.36547302201790466,0.08361277858276409,0.3326726131483317,0.4959165348270406,0.3962181371473698,0.549986627440492,0.4212389380530974,0.2188709596340421,0.029087420344840742,0.3370463709677419,0.28227342549923196,0.27514332912253425,0.3738577426525068,0.3785531914893617,0.254109926168991,0.01753546161697934,0.20712528986016443,0.2582173540097634,0.7215694880538394,0.17540120683014507,0.3579423346873874,0.303735362046354,0.35628358241423563,0.28967119786220513,0.20586257058391083,0.3922132719601074,0.14073045961058014,0.4737387086116729,0.03359489860417038,0.15642568222854755
1,0.14542486243754352,0.01817919918448452,0.005588205673750656,0.19220755352712346,0.048925384168558905,0.043010219814105105,0.039277999570237844,0.038819156956366466,0.13002774562225533,0.18506249664717558,0.12602291791065995,0.05228751036800978,0.0832578510459181,0.03829266722461855,0.3108570956959518,0.10972822343290126,0.10495305204467326,0.23996327579875137,0.13532243945141526,0.0514544704335044,0.21137567362697093,0.3236385908905305,0.22258383586994668,0.25339695052380456,0.10402111940897775,0.1070096838824577,0.033815805153495714,0.020298260149130075,0.09755526128145056,0.31264665577894163,0.18183749586893913,0.32636331614845177,0.17189128291789887,0.19994579719813207,0.3146368715083799,0.21464044497417561,0.2729227848476758,0.08363280451105852,0.12657991301984237,0.035245219569525324,0.12310511150087695,0.13936865526352385,0.10493456259271082,0.34620735543188963,0.05898019733664527,0.3012223323422531,0.6267584555522298,0.20701531171851004,0.4211286440224658,0.4204646017699115,0.15673855124918312,0.1473749911418557,0.2074344758064516,0.1960983102918587,0.24336799144883878,0.49777722894541865,0.49790638297872336,0.14172272354388843,0.010384475496579965,0.06881455976389574,0.0730793240190597,0.5266326794737612,0.2088971626652972,0.04741363246748407,1.0,0.059685875263764704,0.2092366678285117,0.1048786973455757,0.3510740314537783,0.07342665662053377,0.33674727435354035,0.011817581795895276,0.33904846759759355
1,0.10295047751565367,0.04026792342723334,0.004796422622306751,0.20490397279995096,0.05231029202091144,0.04609929078014185,0.07320093642912882,0.18756199822767733,0.12784117009352666,0.20035137599914166,0.1316955273109841,0.0626118653686646,0.04498566724566021,0.07185347325049893,0.17517434902818474,0.16647880268019286,0.15412440780584585,0.2068233565919941,0.14455062737087834,0.13067024266962374,0.04830249659378131,0.19850402761795166,0.07266838964934111,0.4093627908584863,0.13491728900666505,0.20348675422974175,0.05593495338753886,0.020547919872174223,0.1277579708668636,0.6618704360721593,0.24080543883669323,0.19951007076755578,0.23433319250809742,0.2059081054036024,0.2515642458100559,0.22790027810885974,0.3559223992168728,0.16164139422093668,0.17994020114161458,0.20636704441146442,0.13084126785266847,0.22605108237148286,0.11265185797172203,0.5366864263247035,0.139508728351618,0.30284109679550714,0.25824175824175827,0.14026236125126135,0.5333244182936614,0.32304572271386434,0.21992660734931885,0.014540984589554475,0.3276713709677419,0.26101382488479263,0.5402779127392866,0.37858113114349223,0.4175829787234042,0.22638228055783433,0.01099691434068964,0.321101819970487,0.49960254907508467,0.4007562713123334,0.16040570034664267,0.7887799848445323,0.24504572728433321,0.10013704888076748,0.4349366794469618,0.12087250316747745,0.5449271192942079,0.29508069952809607,0.10801859805477886,0.03900605197081924,0.10313655609609942
4,0.4692381886028714,0.45119649564726,0.7371778027557292,0.6237020246883327,0.37404023868616987,0.3573190608343245,0.31844245145384015,0.340563704418903,0.8351248553001488,0.6106968510273054,0.3533282151895135,0.361417907189942,0.47803199028143356,0.5870662460567823,0.4682045145050138,0.4305842569979335,0.4253536061844739,0.2626367976496511,0.4202290633206887,0.7888954792789541,0.6128000701961348,0.4504250343368351,0.28998755623624,0.7652733118971061,0.5236288444551513,0.5316674087266251,0.5444903795913504,0.22925050301810868,0.0,0.7998911227497137,0.30272413955903876,0.5788209676902878,0.6277144064216308,0.5656270847231487,0.8110614525139666,0.46369686134286847,0.43760196968348614,0.33873842288251965,0.4197132372927426,0.4783947704792869,0.12584565271861686,0.040893709729754785,0.295491672456203,0.6300508105492377,0.4765472986959221,0.7877766765774694,0.6514730405780988,0.4388189356381345,0.5278951591334581,0.462094395280236,0.4503594229125823,0.8565471226021685,0.345866935483871,0.4615053763440861,0.3952968613351472,0.662879723388491,0.6840851063829788,0.514946677604594,0.6251545762791407,0.044255498559482825,0.08160992324930728,0.10054357000573957,0.10132237771215816,0.03767127541957043,0.10073929644975221,0.033365964019230344,0.6154757755315441,0.050976834399587063,0.46154583812811656,0.05668001744854661,0.0337915696339213,0.017495887942504534,0.06365363842084099
