Type,31740_s_at,34046_at,35900_at,39631_at,41038_at,41107_at,41641_at,32052_at,32626_at,33329_at,34224_at,35183_at,36894_at,37976_at,38671_at,38702_at,39026_r_at,40808_at,34847_s_at,34849_at,37363_at,39105_at,39182_at,39556_at,40165_at,40607_at,41337_at,41792_at,1955_s_at,1910_s_at,1814_at,1817_at,1555_f_at
3,0.0,0.4666895114080928,0.3462972828982419,0.13466332470672943,0.3457246020022977,0.045541488295837505,0.7746000744047619,0.030300565724045447,0.06776290259992239,0.1797863534234696,0.5249818609422302,0.025995544526982564,0.08199398614700315,0.2316073830434144,0.5094805117287757,0.544929467955126,0.009299302024698237,0.0036509996261024475,0.10897849258430377,0.1836642726376567,0.5366325898389096,0.4780944707422701,0.3282211713350309,0.14398771812225658,0.033317200279639594,0.14981916913254212,0.12897818279495013,0.022703475327006496,0.10989132436912878,0.1055121700963347,0.1877518936687152,0.2890503275703479,0.4085816616383493
1,0.26489529750091134,0.2335018133013507,0.13058071390516782,0.0558419769187401,0.20695880518627932,0.03984880225885782,0.05535404265873016,0.4252652245211396,0.12335079549864184,0.18246679017698772,0.16810528159323476,0.025868698320080548,0.05826520515308425,0.08768776914991014,0.3899444897634349,0.15044985004998335,0.02289367432181157,0.007047332188874985,0.13756021697075446,0.1497817208843825,0.37558085501858735,0.3076845603786887,0.26764641687886503,0.35208770298613956,0.04576409564456438,0.0218693987506231,0.07411184177800771,0.04659530972127578,0.09110333394731997,0.7186912158695776,0.12226668572245249,0.4212798708490548,0.24439386721713507
3,0.1236178055004253,0.1889831234472715,0.5526371870005328,0.0693728391036483,0.08550795995404561,0.1305674469441661,0.11923363095238096,0.44896851351325795,0.37364183158711683,0.2732862942961883,0.14413670594710898,0.027327429699453766,0.18374914739703918,0.04743820148519887,0.15895027954079705,0.4777296456736643,0.027066329814963732,0.002173930658788965,0.06914994499867239,0.13896634276862413,0.21282527881040889,0.06375264377077249,0.1992288104765369,0.1479231085259584,0.04151083603439762,0.14813282849173268,0.15235731269337527,0.045955424069672735,0.13608399336894458,0.3562104543122613,0.16285550950407318,0.32781438306020155,0.4279186294747614
1,0.4221718174085625,0.25317684685456465,0.20697922216302614,0.08981856961397647,0.149844083374364,0.1204572365424902,0.06037636408730158,0.08911619567129372,0.49582848273185876,0.2652449840356341,0.1891966273862243,0.13028691026423647,0.10065037994869971,0.239293343731986,0.4685541473508287,0.24919471287348655,0.024164255306575153,0.0017768815555064222,0.052858172438645074,0.2806365300661879,0.012159231722428743,0.3005337899083493,0.2682720989450709,0.4566998940471814,0.012383340910979763,0.3051215968267099,0.19518091467115017,0.03368125384346901,0.12274820408915087,0.2704782534344183,0.25969701300557385,0.2128925681890709,0.16944547363220946
3,0.1711288428044878,0.2813044347354294,0.5096430474160896,0.11552856628560172,0.16527162317413427,0.06070680389835139,0.3327752976190476,0.019738870405501763,0.24597400077609624,0.4566202845993142,0.2590757837323926,0.11430428819458205,0.04177994677836165,0.13768042227572255,0.3154931258828913,0.6406197934021993,0.027049445017824015,0.004888450038373696,0.14078443272768654,0.20070412617941133,0.31726301115241634,0.05962332561184409,0.1523463077482721,0.23873981014984755,0.028516394604715736,0.1329239449765079,0.10058000139279923,0.03945684511443149,0.10668631423834961,0.3681810408710027,0.07646134057453195,0.2499859210452216,0.04107341343354682
3,0.1711288428044878,0.299922898997687,0.7589770911028236,0.13147080200245892,0.29468242245199405,0.1406321158575462,0.1733940972222222,0.012110769184211174,0.3241171905316259,0.339272340257795,0.13905776977157294,0.05826997629561508,0.016648573871441884,0.18652018129824915,0.11828256501064444,0.8604909474619571,0.053273645575444444,0.009260620484724029,0.1341842734134962,0.1400647796085058,0.9229011771995044,0.2995266391378789,0.15190978537650054,0.234588189504184,0.029406156959946028,0.16262050972032197,0.3005262791368625,0.07869762494390613,0.1836065573770492,0.31858861084193124,0.03557238816635701,0.2577950479623059,0.1266783111910937
1,0.1812953137024586,0.3236243182272481,0.6955780500799148,0.06342252019100794,0.5547349417364188,0.48037161854449395,0.17626178075396826,0.1552232538873432,0.40749902987970504,0.37518230911742684,0.7207085491255724,0.03207623457034811,0.11023796028551391,0.22984413323838915,0.2053082907224289,0.3220593135621459,0.045810565239690244,0.010773574356415816,0.19432538026779958,0.234305027460921,0.14602695167286245,0.6188941484540235,0.4008439432520916,0.34400069193677424,0.0477587277376081,0.13368757092706313,0.15603330779868083,0.07886382900925756,0.21381469883956533,0.7945049307416063,0.15608117764756327,0.4226502224474854,0.3581926286631733
1,0.48643120417999913,0.04276250035694909,0.307858284496537,0.25020547619532807,0.24478910224848185,0.2290281446397668,0.08061290922619047,0.4937365590889403,0.6978075281334885,0.35872521581457695,0.28213115164252295,0.3028175713708111,0.08379045661091523,0.026126614899460856,0.29889974333976643,0.4046151282905697,0.023013978501432043,0.005588205673750656,0.11784508591586694,0.17189128291789887,0.07632434944237919,0.20661698056199013,0.07687886504183339,0.30724155080329535,0.14682545502544622,0.25413365575317914,0.19296735875523544,0.0657087772366912,0.2903849696076626,0.5064983184176025,0.31250535943975993,0.31264665577894163,0.4193263819051148
1,0.24413706508971608,0.3208829492561181,0.4562067128396377,0.09085444134248977,0.5420974889217135,0.3381227798524456,0.10738312251984125,0.12017994980168452,0.5891783081102057,0.2646340021285822,0.4829242663063874,0.09750112972403022,0.1421325161153968,0.37243000689475886,0.7460356936789956,0.1875763634344107,0.06147121458677625,0.004796422622306751,0.16340135796381292,0.23433319250809742,0.27656443618339527,0.7224796051968979,0.31804292469989087,0.22012238631695025,0.10516795486656008,0.13170426463881554,0.10480565476486564,0.09577509265876642,0.22446122674525698,0.735678048224363,0.16123338573674434,0.6618704360721593,0.4731029128954286
4,0.2900887034711815,0.02058882321025729,0.5770378263185936,0.1046468186850882,0.4783357951747907,0.755305583386465,0.13160342261904762,0.4856980194929857,0.2404443150950718,0.8568331428120936,0.3991843678851109,0.11782427043611308,0.6960218266357968,0.027805093079244517,0.5246214758958238,0.26707764078640445,0.6986359194510753,0.7371778027557292,0.6710351629177256,0.6277144064216308,0.4435021685254027,0.3833215832410111,0.12841033102946525,0.8091119423962635,0.6233078626637137,0.6106250066286975,0.43627943531939883,0.9798976182957435,0.2743046601584086,0.7872655760132247,0.23601543518650855,0.7998911227497137,0.27375218334833007
