Type,38032_at,38174_at,36924_r_at,916_at,41288_at,37588_s_at,33942_s_at,39666_at,607_s_at,34382_at,40862_i_at,35531_at,32836_at,40831_at,34355_at,41084_at,41344_s_at,40859_at,36146_at,33890_at,38176_at,32321_at,40548_at,36544_at,35188_at,38408_at,37879_r_at,310_s_at,36553_at,39686_g_at,36998_s_at,33807_at,38763_at,36034_at,41680_at,37718_at,32717_at,41247_at,39556_at,35183_at,36225_s_at,41745_at,32219_at,635_s_at,39839_at,37741_at,32749_s_at,895_at,35668_at,39704_s_at,31481_s_at,38096_f_at,36105_at,40899_at,31719_at,38127_at
3,0.04954646082714574,0.026134415561697513,0.0036708524814571667,0.02236142726568822,0.04482101101885548,0.21555224813038606,0.02446686306839938,0.007708387771100077,0.04752111641571795,0.0223156036533886,0.0,0.10168814477751921,0.0428144171160931,0.22487960608192198,0.05876908838500694,0.18005366414607796,0.1201309445022218,0.1959848813433298,0.3225527554516635,0.02246354529123307,0.1676246761658031,0.3932202225580436,0.1021058135665732,0.07378719934773746,0.017451199922114594,0.03252229714277794,0.0660861939363568,0.06390765765765766,0.3773710166919576,0.3054474013216645,0.045136390397069376,0.10158662800292334,0.07919960025438356,0.16088977814394162,0.1751264281700693,0.3024835276229093,0.055252982505776385,0.15059135399673734,0.14398771812225658,0.025995544526982564,0.1160189075630252,0.513882027727268,0.33530948944966654,0.24215516592670627,0.5878740327904335,0.07998121898501566,0.5015905841376956,0.29263211223028956,0.03531538726028461,0.15437795035784985,0.618406580268758,0.4487805845263116,0.007974255223492108,0.3450056168033857,0.6432992971429796,0.32575597129074013
1,0.08246968242462237,0.08610012944757373,0.0068584039893282685,0.068528081318515,0.006037685564442697,0.23337559487716594,0.06806335909478077,0.117742356937549,0.05292691883951523,0.0556450993936603,0.02114171088454442,0.0990308798499427,0.25974832120083513,0.06790758075861696,0.11208802509126431,0.11976861692859879,0.0333270303488702,0.12441910899064376,0.09231803772134874,0.04122092929162149,0.11880667098445596,0.11985964189220132,0.1386129200931692,0.16134438555963224,0.13379253273621186,0.08521770465901136,0.08318717113505388,0.03515625,0.19973444613050076,0.142418288980175,0.19546019493687447,0.16340146639319142,0.14970019078768054,0.2900017654328253,0.27364675032777674,0.21611758743030918,0.06965860329136604,0.2823205546492659,0.35208770298613956,0.025868698320080548,0.3179096638655462,1.0,0.2492686922266859,0.2763187598765896,0.1429305773497105,0.44996721417642815,0.06131293691589941,0.6449740855958036,0.0359032376135494,0.13256324914616371,0.48600816157365345,0.07577031367728118,0.04070960392391499,0.017591697580855842,0.24318485721017477,0.09188139781150724
3,0.05645240287600651,0.10759892243641325,0.008230084787193922,0.08348421426450642,0.21007528863817354,0.23453319368649286,0.09777367956301916,0.109537496733734,0.1936099889827396,0.05301634814644256,0.06445613838388023,0.10279968043349891,0.11291687828000677,0.1378172176830258,0.24479407681628873,0.13830714011917622,0.1780041599697457,0.15106264328644894,0.08021390374331551,0.1529074754406124,0.12467616580310881,0.14462838301964556,0.15667633217664115,0.2542012048738507,0.10358759674828409,0.06629891684742309,0.04394262089701829,0.014868384009009012,0.17991274658573594,0.43868547954991954,0.16388652667844134,0.1717471768394747,0.2275597347142727,0.2941211086918143,0.14628207529499904,0.3010136847440446,0.0748337812986278,0.276305057096248,0.1479231085259584,0.027327429699453766,0.23387605042016807,0.39636697112706404,0.4168649323296541,0.30145232899390473,0.4644770304637195,0.2314598191517781,0.3206350462827826,0.39722042755209214,0.0480484477423219,0.3686788922969827,0.17605964962619353,0.10068604512828648,0.050539673525405046,0.29761873661110816,0.17002897717015142,0.09979409342275562
1,0.034206453382442256,0.09176783402721897,0.00302272632034753,0.07652719640913087,0.06862275411105154,0.2413134152839792,0.14684806476568543,0.09393781029527046,0.08214469335291956,0.025500805894542948,0.0862413138376568,0.07176352078919032,0.10132449797254266,0.241220713164872,0.2390868425111831,0.13761020315712444,0.06150137089912074,0.11010595452010656,0.2264241570335265,0.026784702778811766,0.17025582901554406,0.26868388514905894,0.10557589009839806,0.14603433437514157,0.07951613688360999,0.019667223373365395,0.03514156852919068,0.017595720720720718,0.1243361153262519,0.3695302732630826,0.27688013780772336,0.10573590777282692,0.09898246570364312,0.19225563467310072,0.28048323656115376,0.14368981246832235,0.04695383599754798,0.18301386623164764,0.4566998940471814,0.13028691026423647,0.20997899159663866,0.5488091359140644,0.37567767853660444,0.04635412747385055,0.3097776094367188,0.34000113333711107,0.5052170170239503,0.22432111661054965,0.03533757029248328,0.23348778524657918,0.7583807565396202,0.4369631597731689,0.49042852748396876,0.18967814410366263,0.41347392513670067,0.8450111777856218
3,0.10298179965911095,0.042175418955323084,0.005886214747663813,0.08245376057379387,0.2865885966109008,0.27543501828271133,0.06872758246137736,0.12393519728246669,0.1492030848329049,0.039316140916417226,0.012771796752941291,0.0988224669144465,0.1710561319499867,0.1871651966884909,0.05722659262687028,0.22467505314144331,0.1364162806088683,0.15645331185327466,0.18863876525024817,0.07363770250368189,0.2106946243523316,0.11333402024087558,0.1623805675714218,0.1610726095031028,0.06340359246458649,0.21105882842114743,0.0611688799799549,0.03323831644144144,0.1336779210925645,0.45233077335238425,0.07274154510368286,0.13357851804700943,0.15737712364858725,0.19184370034720177,0.1910470125491665,0.12589964521033958,0.05481680577167916,0.16221451876019577,0.23873981014984755,0.11430428819458205,0.20598739495798318,0.5388975310328881,0.45212371777370414,0.1471894047708631,1.0,0.11135846643298333,0.31467344788177726,0.7699466911817026,0.03986290886101221,0.5328155931171006,0.2409178582245389,0.13432208430820478,0.06404418798824989,0.5267092063326192,0.24815412060255382,0.47665607718555125
3,0.10118919342515134,0.10040933421964104,0.011082398625525557,0.09030733135781195,0.029610992839171672,0.037557650258162954,0.1367284264157726,0.41309119414685125,0.08458318031582812,0.08880190344615858,0.2560233402148294,0.07323977908228838,0.4140285536933581,0.2561549699691575,0.31857679058049254,0.4860264139108617,0.1684551385080836,0.3478530268294194,0.3837138557110378,0.06651669390991924,0.22085492227979273,0.20678779136328249,0.251319104435043,0.2705077682656158,0.219150075451492,0.0236658096617487,0.1085254322225006,0.05634149774774775,0.32658383915022765,0.3177353098767636,0.23893940385076642,0.1890044086097555,0.5044517125465612,0.6593303124816101,0.5295935568458513,0.22954891028890018,0.1418753241854105,0.3787214518760195,0.234588189504184,0.05826997629561508,0.5133928571428571,0.33974311810891206,0.37388353679940717,0.37790653924298284,0.5483469509225691,0.37701268528037946,0.23398160562418674,0.3929653990761323,0.07103006910014531,0.5844242859318235,0.38537133566065707,0.1815838521632232,0.02126580738066505,0.2332671508438267,0.27087687303593233,0.04408753971055418
1,0.07194914092040045,0.11484098939929328,0.014275537427888983,0.07536284195634835,0.07140205655690114,0.1504878452125021,0.12743711367596838,0.30365821792526787,0.049122291590157914,0.11852406170849644,0.15906736635314017,0.1380214665323561,0.1713140986884004,0.24814674530598993,0.18196308293485525,0.11245077882705506,0.19076770350761088,0.23334779106512177,0.05760671171026929,0.11519849811455114,0.2771615932642487,0.11230938315702707,0.27879450491990304,0.45087647778230744,0.33965340992065424,0.02935530592303587,0.1646203958907542,0.0821192286036036,0.28125,0.15938560457224502,0.2858201958090752,0.24461890279840626,0.1959662033251567,0.5793562054963809,0.41693200973965155,0.26700456158134817,0.06481350497477247,0.37545880913539964,0.34400069193677424,0.03207623457034811,0.3910189075630252,0.48027926971547497,0.21681812863216196,0.5252464444277221,0.29048752773118336,0.28169903423487597,0.4958714075803827,0.3077965214074895,0.060371122128683764,0.35628358241423563,0.43423317870977,0.14073045961058014,0.33335361545768305,0.22774178379225662,0.6423231918337623,0.1838892810918932
1,0.0625208157827714,0.05220760591960255,0.006935229288597729,0.12792471284108312,0.22288990345413992,0.13002774562225533,0.12084958075783976,0.12073425659785733,0.23996327579875137,0.07486184664978127,0.21137567362697093,0.12320678036750148,0.18421243560908368,0.3259022780152589,0.2070543472672117,0.03579642471338467,0.24732911033374308,0.30723712745523263,0.32636331614845177,0.1592597387884575,0.1645077720207254,0.11435579520996474,0.15853020867994486,0.3072654799112199,0.15429830112447063,0.3263906695033298,0.12310511150087695,0.05685177364864865,0.34128414264036416,0.12755849258796212,0.5218595320642812,0.24563264728764408,0.26027755064958663,0.4045783557935621,0.4671755010301554,0.25344652812975166,0.061530390908662226,0.35246737357259383,0.30724155080329535,0.3028175713708111,0.33358718487394956,0.42204202184126716,0.1930067475330551,0.22853487847091578,0.3339375574914777,0.28618381108889407,0.29561364884453833,0.2503778294516279,0.08746769595936069,0.059685875263764704,0.22707347010345433,0.07342665662053377,0.37875515081449634,0.12051308845812214,0.1131608982616758,0.1842143193316861
1,0.06384812804889996,0.1384214393170766,0.012624491905407105,0.08272156209793387,0.07421308619962118,0.12784117009352666,0.08971704084582983,0.13276718055918474,0.2068233565919941,0.0958534806969069,0.04830249659378131,0.11799645698009657,0.07136811047425574,0.18759807369731077,0.40531646871304433,0.25580200020908106,0.17351328353975606,0.2520292459260177,0.19951007076755578,0.2618346307595203,0.2304080310880829,0.19389396437239545,0.27798640490564247,0.35344476151651044,0.20847734021321132,0.06948669794388118,0.13084126785266847,0.1268123592342342,0.45461874051593326,0.09087337024468656,1.0,0.25067779428059506,0.13939992731897882,0.42473371388218684,0.49433414497096834,0.6541561074505828,0.09826354505587777,0.47310868678629686,0.22012238631695025,0.09750112972403022,0.716938025210084,0.4682734047361285,0.370002730215687,0.5144104146286401,0.43420269465937994,0.2283188563009495,0.42668223443676495,0.08605830669789866,0.09525394026109428,0.10013704888076748,0.4122989495162036,0.29508069952809607,0.23546701281492222,0.026648793040388735,0.4828722587199251,0.10030738910460055
4,0.42830554630409656,0.4208795437847671,0.7156039166934391,0.6167876625002183,0.6023059326685428,0.8351248553001488,0.45400057826504847,0.41813430885811337,0.2626367976496511,0.40152736203852946,0.6128000701961348,0.3220500885754976,0.5694212677452902,0.5682592933282831,0.4508715101033472,0.5107850994877512,0.7571381299045098,0.3171819815354111,0.5788209676902878,0.5918205505834372,0.40086625647668395,0.18880226221550578,0.6005133811855303,0.5967296281197627,0.4036168037774424,0.40802905038773113,0.12584565271861686,0.21894355292792791,0.6517450682852808,0.4532595106268975,0.6463879985172587,0.3962326425725534,0.3750113564095576,0.6010710292473371,0.8234688143847163,0.563456664977192,0.19482953741689066,0.4145085644371941,0.8091119423962635,0.11782427043611308,0.5287289915966387,0.5446337541123176,0.6246343461133429,0.3228233877643163,0.13443536605162057,0.04862016206720689,0.20847289080627526,0.31408940967528015,0.7970363468982575,0.033365964019230344,0.0786707155723463,0.05668001744854661,0.021810044384048783,0.020501332358012433,0.10645667652971615,0.02349099894105189
