Type,35309_at,35325_at,35754_at,35755_at,35303_at,35294_at,36128_at,36191_at,36169_at,36172_s_at,34842_at,35807_at,35791_at,35852_at,35826_at,33905_at,33907_at,33396_at,34786_at,34397_at,34831_at,34832_s_at,34829_at,34311_at,34316_at,33921_at,34356_at,34358_at,34368_at,34363_at,38098_at,38099_r_at,38074_at,38055_at,38058_at,38059_g_at,38382_at,38369_at,37729_at,38029_at,37763_at,38822_at
3,0.084858461637778,0.20903157053416813,0.27059322966620014,0.19135265377150124,0.33247930626724476,0.5271266204936955,0.2433094505737388,0.09674277675576234,0.09488285316424896,0.4275506153235411,0.0639074620657306,0.34684308080608905,0.5996116774148811,0.028208757933420207,0.0,0.8377422734415926,0.33597046413502113,0.22731925454472673,0.19377458525739694,0.21494601651259618,0.295257521672616,0.3995467194537682,0.04590674817212036,0.2545105129404625,0.13796142853092858,0.420236741227516,0.24172276411594995,0.04020082220686144,0.15913144971261203,0.319048187497513,0.2527460516968141,0.05758271667942502,0.7443055994938311,0.16832259219477266,0.11243573711268585,0.20941800696401922,0.15745621492943376,0.6208427510494027,0.32178820405001657,0.056974381975041566,0.050476872620349084,0.3509057797373718
1,0.010705486158182976,0.18049820167843345,0.12092577160736463,0.37912455658925104,0.11792142950991988,0.19863256970342744,0.4717489670246012,0.28297803268044586,0.16415698892749475,0.2511680459278713,0.18487231340410565,1.0,0.5688232438804521,0.04552400416240895,0.23716390561310347,0.20439366160293346,0.24411040787623067,0.3393319723456451,0.1617923721566615,0.10075506315715192,0.24239333673295935,0.39613277103594685,0.29524751288505335,0.26419531437674637,0.2812062668972467,0.45229369392139523,0.20978156340156612,0.17877542110816025,0.14779008566583718,0.40780974361014943,0.19230559046942455,0.5469932805987923,0.2723426130971212,0.2525062656641604,0.4173683479227456,0.12792240092853588,0.19016040355948532,0.502623506619309,0.12276514013816217,0.18032873387330814,0.16756512232819393,0.3086839835138503
3,0.19104182133135364,0.23276941521246836,0.4452760176726781,0.2044709189478616,0.23209827880698988,0.3739122713549991,0.25633752663019793,0.27194026620495615,0.19535468519745294,0.4608971814211989,0.1172123566816973,0.12989312615845724,0.17814298592330635,0.05334258313099401,0.6817620881792005,0.47377553693033003,0.23927566807313644,0.4046050562408147,0.6154438173422269,0.3509279514501447,0.05226925038245786,0.32484149525202977,0.5121958528107395,0.12494152453440888,0.673493003992196,0.11845486330510976,0.2864404451160873,0.24084112489540516,0.3046092184368738,0.2781027416338387,0.4127001475490465,0.14774177085991327,0.33996361910787726,0.14744450411743645,0.2715298040850354,0.2223511855413696,0.14294621096185456,0.555577978689054,0.540919078708168,0.3171780597841859,0.16089267538734123,0.14238474072654078
1,0.3118255274738281,0.40186492606900226,0.32543513466769386,0.21665216518305339,0.2589015898042307,0.4144912093766649,0.1340381510200824,0.1400281354831728,0.13481417388835568,0.4865891023096263,0.07131509892337035,0.3798004495799977,0.6012065737466195,0.11642557819047708,0.49837328446954127,0.26404531168150863,0.2819532348804501,0.2670766785038285,0.31024456986488796,0.26836497071484017,0.24885262621111673,0.15095963508047164,0.1387989931679252,0.20560605869040247,0.15499720365869687,0.357555078141455,0.2172688556120346,0.2214501400662131,0.14737166640974259,0.3058506757921823,0.46450625717252314,0.06812962490431233,0.07604397342613096,0.24816505549588258,0.2720300125052105,0.20361465760238764,0.0871167035084736,0.06562802712302228,0.3350827550230006,0.1069440413687571,0.20643118332265242,0.15450972874532734
3,0.08206104816930807,0.48938324230717983,0.349318406943287,0.28605849675389866,0.13802391275785048,0.5122091990765406,0.22034762001240188,0.25246185477762145,0.3718874633282411,0.8572082938895166,0.12803175460100982,0.1991284457940608,0.47548713681436794,0.09803223054495683,0.16446654949328748,1.0,0.28445850914205345,0.5280088978858943,0.22028390627672306,0.07367158280996401,0.320074791772905,0.22336976790888488,0.33863718087019057,0.14016411060397255,0.34383400299479133,0.2671131892666077,0.43254567935155924,0.2533561319896679,0.3083089255433945,0.259042616688552,0.325591562380458,0.12945479288934253,0.19606137298323317,0.13670336555674903,0.3717104349034319,0.11847123196816448,0.19492149861134728,0.5537213432353891,0.46031394742250115,0.48405139434873223,0.15422022844648847,0.16251317933480305
3,0.24226676565206628,0.2040761955508192,0.20406911841008793,0.233853155745934,0.38109315464459337,0.8143757769490322,0.07502501857206884,0.47181041012877395,0.06726513174794169,0.3442859905742001,0.1552860170897811,0.0929605237212604,0.7329588794119687,0.008746683666294797,0.20178751729553873,0.41693949711891043,0.37122011251758086,0.3377308103595181,0.49350094065332645,1.0,0.3443821179670236,0.6006254123992312,0.7099664389308402,0.06331786630928148,0.41133278523325617,0.2629849614558322,0.4121445253468883,0.5078764506857788,0.8698936334206876,0.4992505935564309,0.7618449095578994,0.33775623033086677,0.24035115469788046,0.23442534908700324,0.5725996943170766,0.3269772840324987,0.13954542878195317,0.6164029706167259,0.40147646975133966,0.13815529113790465,0.5836317714027218,0.29914693760184036
1,0.3170330202382105,0.19397895297722126,0.19939938051288503,0.40803828391673913,0.45651031401918285,0.2185668620138519,0.07734575973575478,0.6219023915160697,0.04784566090283507,0.3740698893537321,0.04247664647340729,0.23118271088851203,0.29588794119686573,0.1187974013068464,0.18451067648928615,0.32228915662650603,0.46097046413502113,0.28228199893637096,0.5710620831195484,0.12407028438360031,0.5580486146523882,0.17144332558739994,0.26899796236365814,0.1823675925808858,0.3660500970343318,0.4711234677113611,0.4295232861656821,0.3232073343762506,0.10863485212182607,0.15144642075524253,0.28504289851904474,0.3938079442034533,0.35016608668142996,0.1622359470103831,0.45630123662637206,0.5159177582490465,0.5665136314685711,0.8231756538585728,0.26611233184210936,0.18977389652534102,0.19685603347532704,0.29996166011693665
1,0.32686162486685383,0.4656054349274011,0.28522350277511355,0.46272003212636365,0.2909932991722507,0.42956402060024856,0.8328636595263968,0.40607077156151933,0.12286560222802065,0.32025325475107136,0.27180363124659823,0.22821706037780493,0.8523680743360377,0.16350579831066195,0.06002019371003328,0.539205735987428,0.32052127285513365,1.0,0.27586796647853595,0.22838896337590858,0.3724290328063912,0.4059586309779958,0.2557982740021575,0.08879420429115094,0.21768937158350238,0.5052445343106281,0.4212803956587443,0.7595408738676466,0.12189213592019203,0.4474221744724311,0.21165090988578616,0.2678404354852429,0.28060740272065804,0.2697144647332617,0.12003612616367933,0.1760902006300779,0.42234880689225185,0.5496044559250889,0.2478224442371836,0.5705287180434266,0.16769706336939721,0.18640371896865715
1,0.2709456333451685,0.13519381910217132,0.156483388625965,0.2744796198380296,0.31523452897122584,0.4280989167110637,0.1060419084105379,0.6373228005627096,0.042032257628401876,0.4465447216538919,0.09278574052030462,0.34604645659975547,0.5621662852784134,0.19963157055939398,0.5146217418944693,0.7311092194866422,0.7852056962025316,0.2551194295288581,0.47857875833760893,0.5204643285583234,0.5213751487336393,0.47156955561293284,0.3559121419153781,0.23849139620446816,0.23049841884295902,0.30340368170521087,0.38023767000961667,0.3338851093244079,0.15260190711092517,0.30859628878012546,0.45221050330619167,0.35544781832100025,0.3255496678266372,0.20855710705334765,0.1184243434764485,0.45514839993367595,0.5327892081845491,0.7005569906360994,0.236709401033845,0.25553386275492707,0.4653560523240472,0.2685469184318988
4,0.11410219166585972,0.6846143599307314,0.30606437005707454,0.636804765410615,0.2635001970831691,0.26505061267980823,0.38972488780014614,0.4651011795260253,0.47098030202657953,0.7522012194501277,0.5215569312735914,0.05174902393816304,0.6669440399417517,0.7002409322296075,0.667327325081336,0.2460057621791514,0.6034634317862166,0.06187919232814671,0.31221139045664437,0.424938254181074,0.5573686894441612,0.5428751757179333,0.2050221742778377,0.1772849683284235,0.16762584180182313,1.0,0.44449787058661894,0.4343507840069852,0.12748574071219362,0.23824492990065388,0.3312749330564512,0.2048141532703921,0.463540018981335,0.25107411385606876,0.33636237321106016,0.29746310727905817,0.23975514368304707,0.8197852760736197,0.35746692170284067,0.23601034218927264,0.38040487050929245,0.20650819515000482
