Type,40165_at,37780_at,37545_at,40955_at,36750_at,40193_at,36158_at,35622_at,35999_r_at,35414_s_at,35778_at,38177_at,41435_at,34767_at,197_at,35531_at,39561_at,34656_at,33890_at,35264_at,39066_at,33341_at,35188_at,36133_at,37537_at,37247_at,36908_at,32654_g_at,38798_s_at,40569_at,37148_at,39956_at,39597_at,35625_at,32634_s_at,32854_at,39315_at,1166_at,41745_at,41428_at,34264_at,38627_at,33282_at,41225_at,41830_at,38096_f_at,39735_at,927_s_at,33236_at,1802_s_at
3,0.033317200279639594,0.021434532437299612,0.04852725276760088,0.11596219157903351,0.03187517947736192,0.0552914928703075,0.07110162518000411,0.055825844733176866,0.09392326051037267,0.17776621301246368,0.026161141087418606,0.09632883589582679,0.0039069252843757524,0.0,0.02315471127492678,0.10168814477751921,0.1378990264885669,0.07218226678565805,0.02246354529123307,0.23814815690539806,0.11847075224099124,0.27331451758186137,0.017451199922114594,0.7145140247879974,0.11561893285130882,0.17101769911504427,0.08006019713565286,0.27869011757846657,0.10722682836282642,0.14203552708212,0.2153365747338419,0.11708166688169269,0.2697292863002461,0.2945323067318697,0.007320923143914647,0.2341667178573623,0.0392348183335473,0.18339516458641178,0.513882027727268,0.11361672822888626,0.40042077580539115,0.037619426751592355,0.5182566811684276,0.10680042121598403,0.20481003834088535,0.4487805845263116,0.07885329300151245,0.03797779832753222,0.1302492527581777,0.008441582633748944
1,0.04576409564456438,0.16704001405543112,0.09171108495245149,0.24076271533205118,0.04129688632416688,0.014753216518664182,0.1653209216210656,0.09140861999885525,0.2541949697080962,0.02616265316743152,0.04384876552115494,0.08877863194226546,0.1687238529889707,0.053356582388840446,0.2541820243833286,0.0990308798499427,0.06187457550373557,0.11601658879731222,0.04122092929162149,0.3427044664601707,0.025575726423837448,0.12770118985321996,0.13379253273621186,0.16597086323113722,0.1109995313650666,0.20855457227138643,0.12333436319602938,0.17753376736954618,0.036051643773460394,0.1808750728013978,0.2278271439349485,0.21248871113404724,0.3444134536505333,0.2653730100926022,0.16492488569562377,0.10320044228760981,0.017948388753370133,0.08046970792592825,1.0,0.03507168346584862,0.0,0.41119767970882626,0.14354153718665838,0.2423931718672061,0.17032647844777507,0.07577031367728118,0.5959714010724598,0.04769351055512119,0.10119235908923649,0.013443197059261834
3,0.04151083603439762,0.10291210963236264,0.16011744944251194,0.15863987888211464,0.028142050349382594,0.0534396246880484,0.19023863402592062,0.07770972850247074,0.1082797870387369,0.21254461633891072,0.013599946138827172,0.11584170065892689,0.1391280295958234,0.09090380703283929,0.09105944617710993,0.10279968043349891,0.19127235680326013,0.11134442752900417,0.1529074754406124,0.22694062847279692,0.12952968388589048,0.127426674330225,0.10358759674828409,0.5204718417047185,0.24750619267590546,0.17020648967551624,0.08487397470524333,0.18535613642989016,0.11675535206038858,0.20398951659871872,0.056668622684214943,0.1332086182428074,0.0706152584085316,0.2398033503277494,0.06961680818637056,0.10461330548559493,0.12155604057003463,0.30314867796397016,0.39636697112706404,0.2696174794966506,0.38703484549638395,0.13762511373976344,0.1264760720944686,0.0755694729257884,0.27284768211920535,0.10068604512828648,0.25952151794307715,0.03797382949083794,0.07964338973422078,0.009177388107893298
1,0.012383340910979763,0.06821276408837353,0.10693454309786131,0.12737837063709642,0.014453910213458408,0.11957777405444492,0.15837790578070357,0.08913819090683608,0.029116945107398557,0.012274421367480932,0.014292446932317664,0.10178067147787888,0.04951076997545206,0.042487648939261845,0.10081750307154333,0.07176352078919032,0.2817183608784242,0.06640768544280541,0.026784702778811766,0.39401319367271176,0.06442995880158563,0.1722756478995273,0.07951613688360999,0.2989019352033051,0.11233848831760057,0.1968289085545723,0.16756530492241148,0.11417743659508307,0.13453367982510417,0.1451295864880606,0.24417386201693353,0.08231195974712942,0.04935192780968007,0.45936947247945065,0.15134443718702373,0.04177160759260397,0.14802927205032737,0.16796617096865468,0.5488091359140644,0.029938020409440932,0.5212360289283365,0.10549363057324838,0.369432359643671,0.20564761957545863,0.27089578250261415,0.4369631597731689,0.23834731197580095,0.19961264153863859,0.16013892565024565,0.04744548209229546
3,0.028516394604715736,0.20841568937497257,0.053315169230362267,0.21846229387454474,0.03789194437227365,0.07782255575445991,0.18990434067064388,0.15713658825100643,0.10545254268404625,0.2486687378110002,0.01878408402342961,0.09668183244430499,0.08048957577014833,0.09921534437663469,0.05431906247046595,0.0988224669144465,0.1774960380348653,0.07386214499448791,0.07363770250368189,0.26009032227555384,0.07104974182846194,0.18809460491211213,0.06340359246458649,0.8282235268536638,0.1383812010443864,0.18960176991150443,0.06842939294577274,0.13798464677873867,0.18456874149238958,0.09478741991846246,0.16369771145946854,0.11579151077280354,0.09050041017227237,0.08981895744459473,0.06942630089266275,0.11296762700411574,0.06735139299011425,0.38838148835162073,0.5388975310328881,0.5286295623865273,0.4039710716633793,0.06304026387625113,0.5483737310959187,0.10893421271407194,0.11000348553502963,0.13432208430820478,0.35487419221779193,0.09683167766695903,0.031187259123451452,0.014501887635984303
3,0.029406156959946028,0.1915491720472614,0.2046371367730501,0.22996030934162606,0.11337499487207536,0.11296395911780527,0.19152437770006173,0.10008967240951672,0.17870387369194052,0.09659207393039063,0.056169508805339954,0.09921164104173204,0.3698440687342253,0.18032548677709967,0.11426141196484264,0.07323977908228838,0.05151686665157347,0.2540815790855164,0.06651669390991924,0.31548956092024677,0.03654899028838889,0.195026121867735,0.219150075451492,0.7334746684061753,0.32476400883711587,0.31305309734513276,0.05725704376252031,0.45126809833835385,0.2284370746194778,0.40473937099592316,0.07938636935199933,0.27209392336472715,0.11294503691550452,0.29903235875559253,0.13286522969736556,0.199766570428159,0.12301964308640388,0.17423051529537525,0.33974311810891206,0.04632817880172792,0.34348454963839575,0.3924874886260237,0.16796146674953386,0.06847530898409356,0.202486348321134,0.1815838521632232,0.5383610614601954,0.07701924488913055,0.10954597393207362,0.022195246137797425
1,0.0477587277376081,0.2453551192515483,0.08499213035830015,0.11984942100740618,0.07924352855912155,0.16104198449721777,0.33583624768566145,0.1557438040180871,0.27134202313199923,0.176872572056373,0.048503909744063246,0.08507216818324442,0.2528783321232237,0.08660273176402207,0.16456384084680084,0.1380214665323561,0.045313561240661084,0.22914588692319812,0.11519849811455114,0.233679332277209,0.08323014259791436,0.16581595449905204,0.33965340992065424,0.24067188519243315,0.35268126129744926,0.4212389380530974,0.21967967948015188,0.27514332912253425,0.20389390751969647,0.19321490972626676,0.19159191885321486,0.31976519158818223,0.254109926168991,0.5269743002809281,0.2521500108861311,0.1955894096688986,0.17540120683014507,0.12588423931838902,0.48027926971547497,0.06170412571213923,0.20783694937541092,0.1973953594176524,0.3768515641185,0.20578617746494485,0.28967119786220513,0.14073045961058014,0.26667124982813145,0.054301623651091625,0.04591260337114195,0.030782748000596098
1,0.14682545502544622,0.21507005753942113,0.038819156956366466,0.22189260335256486,0.052045016340986475,0.04648189137470348,0.5260748817115819,0.2173888157518173,0.33328437672113087,0.03813218526754033,0.03348529878523819,0.16692814559146532,0.25339695052380456,0.19177564661435625,0.20392685001417638,0.12320678036750148,0.07051731944758886,0.32009554307312726,0.1592597387884575,0.39564466933062203,0.05802434522557883,0.035245219569525324,0.15429830112447063,0.1655794737986519,0.3586396197362255,0.4204646017699115,0.11565025862842221,0.24336799144883878,0.28598977024295674,0.2691103669190449,0.1020831586889094,0.2682557089407819,0.14172272354388843,0.3988398709811673,0.19825005443065535,0.1713864487990663,0.2088971626652972,0.22269468984814664,0.42204202184126716,0.05075439804670381,0.004970414201183433,0.14774795268425844,0.22061451211932875,0.16514714847863438,0.2092366678285117,0.07342665662053377,0.6790182868142446,0.7438036537110607,0.2672801688798797,0.042131848889771985
1,0.10516795486656008,0.2562700399701322,0.18756199822767733,0.2684507003832671,0.10014494933610468,0.08104568823358231,0.179746965644929,0.19937801690420315,0.32239765008261423,0.09831627530449502,0.15040732511950447,0.2629726231565736,0.4093627908584863,0.12506538796861377,0.2582222852282393,0.11799645698009657,0.16270658818202402,0.34505748333245845,0.2618346307595203,0.26455914690374294,0.05666534271006129,0.20636704441146442,0.20847734021321132,0.04971732985431616,0.36386155185110797,0.32304572271386434,0.15794771619641806,0.5402779127392866,0.3628263828734068,0.43537055911473505,0.48128510352921455,0.3292800928912399,0.22638228055783433,0.24977889917802515,0.19635858915741347,0.3501750721788808,0.16040570034664267,0.10977929386613011,0.4682734047361285,0.09014587115757842,0.26974358974358975,0.17426353503184713,0.05773513569504868,0.40828853294906603,0.4349366794469618,0.29508069952809607,0.6757871579815757,0.3222993058504621,0.10920059650232725,0.026763759872832943
4,0.6233078626637137,0.6289805420125621,0.340563704418903,0.588294665630072,0.5647554321814875,0.3364139013571548,0.5498868545566755,0.48028160952435467,0.8080044060950982,0.3247543801548628,0.10173990824364486,0.34036711641041734,0.7652733118971061,0.2509444928799768,0.6463235989036953,0.3220500885754976,0.5824994340049808,0.42495669063992864,0.5918205505834372,0.7023148038682524,0.05271683683403035,0.4783947704792869,0.4036168037774424,0.25373994346597084,0.4133360112472384,0.462094395280236,0.0902857370660873,0.3952968613351472,0.44691251082786787,0.47302708211997674,0.09726297258781122,0.4549090439943234,0.514946677604594,0.2689886588284257,0.2931362943609841,0.283985502795012,0.10132237771215816,0.22738705316439778,0.5446337541123176,0.15965692105427912,0.766259040105194,0.433888762511374,0.09252641392169048,0.235492988970792,0.6154757755315441,0.05668001744854661,0.5444108345937028,0.03929148327333775,0.023098326049204986,0.008714793105161194
