Type,35868_at,41430_at,34265_at,41289_at,34847_s_at,36894_at,33426_at,35778_at,35742_at,607_s_at,40120_at,32652_g_at,40986_s_at,38239_at,32685_at,37446_at,35147_at,310_s_at,34767_at,41662_at,1596_g_at,41018_at,38719_at,41746_at,35174_i_at,40380_at,36040_at,1252_at,32655_s_at,35156_at,37099_at,37490_at,1562_g_at,36105_at,36553_at,1566_at,40562_at,39435_at,33865_at,37039_at,41642_at,33361_at,32530_at,35264_at,40039_g_at,35367_at,36164_at,32634_s_at,39338_at,41247_at,36794_at,33730_at,37402_at,34256_at,31689_at
3,0.013934959215757286,0.01646811692648427,0.006468960823766126,0.0,0.10897849258430377,0.08199398614700315,0.0002475265723451545,0.026161141087418606,0.03751371280578144,0.04752111641571795,0.02248590832434403,0.015812400174241324,0.12670211386331215,0.08109210587308209,0.00023298075578955852,0.05131690114976307,0.052010638223999886,0.06390765765765766,0.0,0.11872240333429623,0.07891855470395014,0.12494142455482662,0.033616242303211835,0.10203788748564868,0.002599045641441715,0.02072612246824983,0.08385231316725979,0.08873317162694593,0.22920714509558135,0.02682604767530752,0.1667350490230755,0.0176527731398561,0.033985434813651294,0.007974255223492108,0.3773710166919576,0.06570321811680574,0.06100453580791476,0.05735555915196633,0.23502926609635302,0.7675914101205517,0.09375841456190426,0.02178397473910421,0.27609537622925995,0.23814815690539806,0.0,0.45235603272674074,0.4105203988047691,0.007320923143914647,0.6102768221457716,0.15059135399673734,0.1530566993981628,0.06260255338876046,0.01729135599752023,0.09497495206552115,0.12147505422993493
1,0.0009424411282954573,0.017215889306854963,0.006069505266895491,0.06067523863877978,0.13756021697075446,0.05826520515308425,0.00703122510948762,0.04384876552115494,0.02888454100270298,0.05292691883951523,0.11583281423297223,0.035240307826339475,0.332274240262828,0.07039354748991795,0.0869950142118261,0.11677625537229548,0.03672687123721434,0.03515625,0.053356582388840446,0.13295918788429,0.05297734355259834,0.1913464542330522,0.04613080379430853,0.06364810562571759,0.026636779933717464,0.09211085406732449,0.21268905693950177,0.12163913807928745,0.13074271388279537,0.38564180971575507,0.08169097777337615,0.06831911599526426,0.0,0.04070960392391499,0.19973444613050076,0.1325486690504569,0.055886147060047436,0.16313319307331284,0.09635299414678072,0.48133983642637823,0.12273143411061446,0.057257692561112204,0.09010057219362137,0.3427044664601707,0.260297354354759,0.27229706157083855,0.4955178840862697,0.16492488569562377,0.31954156332506595,0.2823205546492659,0.3452011403230915,0.025857178584717488,0.020346385626281074,0.08640301563878806,0.30378623545651745
3,0.005638184916003391,0.014767077465793692,0.0072826665877618645,0.01634941417396851,0.06914994499867239,0.18374914739703918,0.008629119418091987,0.013599946138827172,0.04962622001560716,0.1936099889827396,0.07228915662650602,0.018527660810222158,0.37695067652271647,0.031122236128493956,0.1483621452867993,0.16603607243874666,0.08286982063621023,0.014868384009009012,0.09090380703283929,0.06470515412866754,0.11872876835396838,0.11428069353327087,0.08453985688134463,0.18610074626865672,0.021961248091970465,0.07525612577309852,0.10108985765124555,0.14013270190839203,0.10015669069257288,0.23716033080825627,0.07883306687794457,0.2232931604990741,0.011534739080076798,0.050539673525405046,0.17991274658573594,0.07449344457687725,0.2825100911322875,0.15513837190483898,0.27444640006549054,0.48007408816310265,0.16853357746782271,0.03727299912316713,0.16165665195008044,0.22694062847279692,0.254008893680097,0.40184228592007387,0.4974704890387859,0.06961680818637056,0.12641411312905032,0.276305057096248,0.16407982261640797,0.033335569937598744,0.04006445163055923,0.03435085198737454,0.14878722145533424
1,0.04748421719769863,0.01589729831551428,0.009117203219315896,0.044493682926556324,0.052858172438645074,0.10065037994869971,0.004058455483203729,0.014292446932317664,0.0,0.08214469335291956,0.08032634953432899,0.033207492376942066,0.02020922491678554,0.11615445232466509,0.0779087647360328,0.0629982000514271,0.050892652542549426,0.017595720720720718,0.042487648939261845,0.12932777617298727,0.07408967124287599,0.09784051858794127,0.246746546846397,0.18441446613088405,0.04891431400321787,0.09890939993390302,0.07656806049822064,0.0733197294626471,0.0680664368536509,0.24737646813538117,0.2737086345694034,0.08509152727603897,0.058149681882367875,0.49042852748396876,0.1243361153262519,0.06078665077473183,0.17398360451084016,0.15805146463829092,0.26585076337440133,0.9540798304486047,0.17914265711669988,0.02529637457488811,0.1962114088076377,0.39401319367271176,0.14158020033239008,0.581135982533734,0.26289163042513536,0.15134443718702373,0.5197975838067045,0.18301386623164764,0.12796959138422553,0.18799065506072382,0.17303084630464285,0.3367035592993941,0.11368566357720372
3,0.01635485171985217,0.016981853676357263,0.010678038821162267,0.03532861091527624,0.14078443272768654,0.04177994677836165,0.004296179022980759,0.01878408402342961,0.016455366937718416,0.1492030848329049,0.0962032239930719,0.03413677943952374,0.18819435438550988,0.034496824734621984,0.06090116956339405,0.11453550306725929,0.060044858307466885,0.03323831644144144,0.09921534437663469,0.08480171666735445,0.10769533114349084,0.1010231177756951,0.19003161923780995,0.13669632606199772,0.012775203179361655,0.06732448892875689,0.07078514234875445,0.05075783826794491,0.13939204011281733,0.2802835499339773,0.08096942601264838,0.16156157979417748,0.06619385342789598,0.06404418798824989,0.1336779210925645,0.13205204608661106,0.1589613416004328,0.10043696391001779,0.22962629446195407,0.4752782834732675,0.058834616834509135,0.010238164023497094,0.2849332972059737,0.26009032227555384,0.22836095764272554,0.16744882226498756,0.25975562853170026,0.06942630089266275,0.425582046563725,0.16221451876019577,0.15343680709534369,0.06981865205960754,0.029704159196644497,0.0660827933363975,0.13094064287122856
3,0.04764060480850748,0.04619064199969176,0.014446975973487989,0.03920054609952888,0.1341842734134962,0.016648573871441884,0.00976627119599448,0.056169508805339954,0.061625631920019006,0.08458318031582812,0.11261185979732294,0.0698562509075069,0.30644533782907535,0.09116024660455198,0.22226364102325147,0.13977151673217497,0.08780006805130233,0.05634149774774775,0.18032548677709967,0.14022201130689557,0.09840253797130744,0.0945602936582318,0.13601264769512397,0.17806400688863377,0.03582970062844649,0.18072801095321278,0.23476423487544482,0.1334847726485196,0.39279222814164844,0.22180137605115016,0.10813372759298821,0.1970644485595458,0.11196788677868215,0.02126580738066505,0.32658383915022765,0.19025625744934446,0.3132620365361408,0.2413011814209418,0.2673652326961647,0.44286924073218664,0.27327804405191447,0.06045078332091575,0.40883154556031936,0.31548956092024677,0.31370435251313833,0.6024623833800375,0.5183870299695276,0.13286522969736556,0.10046003680294421,0.3787214518760195,0.531073804244536,0.051598460402954766,0.03447659579221331,0.05896230135983517,0.41500690199171764
1,0.019062826664910736,0.025018979718814754,0.02257293762575453,0.07460749096361947,0.19432538026779958,0.11023796028551391,0.012170464933327125,0.048503909744063246,0.06544825324300789,0.049122291590157914,0.11659247329798385,0.0758675765935821,0.21419616997363075,0.09132712186529458,0.24919621639252598,0.22638945009734415,0.027185800887444538,0.0821192286036036,0.08660273176402207,0.2041431106342591,0.14413655633229458,0.05691580756013746,0.08244300216342151,0.1902626291618829,0.045387037775546965,0.28058165336858504,0.2624555160142349,0.09015772789691857,0.30742713882795364,0.19146570296754462,0.2561508750583608,0.2441789866731429,0.11217414758754185,0.33335361545768305,0.28125,0.2630115216527612,0.32096042611626646,0.2369315423207638,0.22831648315664527,0.4064591654665833,0.1669179815822069,0.022407387696970614,0.11851899077158473,0.233679332277209,0.28185779095360014,0.7215694880538394,0.15966983225348363,0.2521500108861311,0.5667853428274261,0.37545880913539964,0.35242318656952804,0.18408066414947027,0.05738652547626627,0.06166535370544302,0.5517649378820746
1,0.05098853431884964,0.02929441111497999,0.020298260149130075,0.06780362798088652,0.11784508591586694,0.08379045661091523,0.008880322127650189,0.03348529878523819,0.039277999570237844,0.23996327579875137,0.15358027317339976,0.052214316828807894,0.3122703497168547,0.13936865526352385,0.18021061460323376,0.17764390405172095,0.09048740009304973,0.05685177364864865,0.19177564661435625,0.3108570956959518,0.12543867037255396,0.4454857856919713,0.1357547012814112,0.22429319747416765,0.03779273642376821,0.18183749586893913,0.22250333629893237,0.18220203031353066,0.35399561266060803,0.5158975606365973,0.07457449668227671,0.193421571901278,0.06267155346121504,0.37875515081449634,0.34128414264036416,0.21464044497417561,0.1998252257500728,0.47638776501051944,0.35172526707871143,0.28202184604515934,0.17153589315525877,0.11271356962204954,0.08349006231969525,0.39564466933062203,0.5073440237164802,0.5266326794737612,0.5764918197686459,0.19825005443065535,0.29179734378750294,0.35246737357259383,0.31995565410199556,1.0,0.43451792526068284,0.375745311466306,0.3373594951686058
1,0.02003201830558139,0.03376962902498473,0.020547919872174223,0.07982229384183256,0.16340135796381292,0.1421325161153968,0.010549288422373461,0.15040732511950447,0.07320093642912882,0.2068233565919941,0.11977544478038255,0.06720633076811383,0.3572169627804435,0.22605108237148286,0.2106146032337729,0.19512911875987218,0.09173384996771035,0.1268123592342342,0.12506538796861377,0.17517434902818474,0.2575310929560066,0.21568455170259293,0.10475120652354798,0.17069101607347878,0.2174122306412355,0.24080543883669323,0.2843638790035587,0.21716782812921107,0.419492322156064,0.3660435054555563,0.1314285310055036,0.22353601894295858,0.11500626715534612,0.23546701281492222,0.45461874051593326,0.22790027810885974,0.17691731513461778,0.38635701569833303,0.36580573861078136,0.6448002427338351,0.14455544186547473,0.08422917268538932,0.197825186082466,0.26455914690374294,0.38130530476575486,0.4007562713123334,0.543859649122807,0.19635858915741347,0.23703696295703652,0.47310868678629686,0.3446943300601837,0.0633040338174565,0.38486950499583916,0.15610916124390894,0.44473476631828046
4,0.02270501181138008,0.15942963804391877,0.22925050301810868,0.6304540011861998,0.6710351629177256,0.6960218266357968,0.5067677686092192,0.10173990824364486,0.31844245145384015,0.2626367976496511,0.32996551147844844,0.13336721359082326,0.5424285652531016,0.040893709729754785,0.4882344718326266,0.3270763692465929,0.4115298349408717,0.21894355292792791,0.2509444928799768,0.4682045145050138,0.18849490440495242,0.48398937831927524,0.47333999001497745,0.39609644087256035,0.17189455300540438,0.30272413955903876,0.6576957295373665,0.574866207215185,0.43779379504857413,0.7054694558343177,0.08587880760034522,0.4158343705412707,0.23163088834943757,0.021810044384048783,0.6517450682852808,0.46369686134286847,0.512379842703175,0.4838323353293412,0.44402603249969297,0.16106703257886584,0.3064246863051322,0.2550367205437377,0.3310753733603225,0.7023148038682524,0.4042132686520235,0.10054357000573957,0.5232685423508181,0.2931362943609841,0.03520681654532362,0.4145085644371941,0.5597719353816915,0.028980291449868554,0.07974074136130334,0.06086600748650841,0.3365213961743246
