Type,41626_at,36505_at,353_at,1360_at,31553_at,33788_at,1595_at,34445_at,33935_at,41548_at,38154_at,40305_r_at,33900_at,39322_at,32554_s_at,31960_f_at,37961_at,41787_at,37883_i_at,34082_at,34220_at,1228_s_at
3,0.3163053722902922,0.07320817921697256,0.36971138078058385,0.4087039433358306,0.05304101838755304,0.1422397769516729,0.10254200775527791,0.2639618001121834,0.052548896394627266,0.11046712802768165,0.16495666018043514,0.15481256332320165,0.08921664740109937,0.6023984669592631,0.048585390946502056,0.0036180418313570494,0.17158965065941814,0.0,0.11474829243612447,0.3985803657362849,0.209285389167046,0.08526268922528941
1,0.1994344957587182,0.12254867750715333,0.23958674975401772,0.3979431996186066,0.19616336633663367,0.34934944237918214,0.18068720379146921,0.13797120625925874,0.4915560443013118,0.32076124567474046,0.43348664425968514,0.3141843971631206,0.0794521750581625,0.4908203004265316,0.2818672839506173,0.006716279644268775,0.12982986006241823,0.181837314532253,0.1295218821148495,0.40573869104908566,0.23413746017296314,0.14398613407963362
3,0.2715362865221489,0.11375532137623004,0.5806001967858315,0.3273854117006062,0.2942008486562942,0.1413568773234201,0.24644549763033177,0.1817514993743618,0.25803157646689184,0.12301038062283735,0.32902883424730234,0.16190476190476194,0.07109238205327051,0.3454286950608889,0.08827160493827162,0.019654767786561264,0.3041175878385181,0.19204461748921392,0.2815077156589932,0.24500721847930704,0.1677742375967228,0.21934232285968705
1,0.1759660697455231,0.054155907599972075,0.13709412922269595,0.35667098004495,0.2500884016973126,0.3431226765799257,0.13464024127531238,0.3125170792043608,0.3163930563192208,0.12292387543252593,0.1822925880063683,0.16220871327254305,0.028200888654775668,0.3671261667799963,0.061548353909465024,0.008934453227931488,0.1179099969797644,0.1763653583079028,0.04457374146218062,0.1413618864292589,0.18060992262175696,0.029671797481236484
3,0.5323279924599434,0.038732640100495506,0.5539521154476879,0.4584213035483213,0.18175388967468176,0.2856412639405205,0.2160706591986213,0.1116800184095845,0.22834027177755087,0.12344290657439445,0.3685653635237927,0.22006079027355624,0.01906071823985875,0.3558756258886073,0.24138374485596706,0.01756011198945982,0.2433907178093225,0.1263811427970115,0.14950670376928915,0.30323628488931664,0.21957214383249887,0.2534982826612391
3,0.7158341187558906,0.287110056528718,0.411364381764513,0.5608526867806307,0.5114922206506365,0.34981412639405207,0.3115575183110728,0.8010038976542162,0.6642840311051763,0.35354671280276817,0.34848752874579875,0.46464032421479234,0.03074686995498198,0.5529455399641466,0.3467335390946502,0.033967391304347824,0.5875767643209504,0.4241818373145323,0.2641538072350114,0.37560153994225215,0.383340919435594,0.07592863503371072
1,0.6257304429783224,0.37260101891269454,0.5783863561823548,0.5671184362868624,0.583981612446959,0.1586895910780669,0.3600818612666954,0.13535359346459752,0.5132354096300369,0.41046712802768165,0.5786308154961967,0.5477203647416414,0.21336493861843933,0.7440192866415282,0.13276748971193417,0.029031826416337284,0.2037249572133293,0.5702409765337262,0.43283582089552247,1.0,0.5022303140646336,0.07233494466352883
1,0.3661168708765316,0.30909344685602624,0.3591341423417514,0.4754137437853301,0.4405940594059406,0.4057620817843866,0.39228780697975013,0.2063024061902228,0.40067551645589505,0.3256055363321799,0.38603396426676095,0.3440729483282675,0.10650200703315142,0.6822031278976325,0.27488425925925924,0.027227952075098816,0.2270411758783852,0.29648532042512893,0.17546167467746018,0.36200673724735327,0.34788347746927634,0.15601545604884876
1,0.5604618284637135,0.3000209365622165,0.39545752705805187,0.6080501259960499,0.3913101131541725,0.6194237918215614,0.38418246445497634,0.2468466395317062,0.5784306024664204,0.34022491349480966,0.47324429506456744,0.46362715298885515,0.15399284979198066,0.636891883538357,0.3752057613168725,0.026600069993412388,0.3816973723950468,0.4533831421656319,0.4667594232228688,0.31956809432146294,0.47064178425125175,0.15244561760590256
4,0.48284637134778513,0.26247470165398845,0.44416202033453595,0.45705918409044477,0.408504243281471,0.42323420074349444,0.3826475657044378,0.12255317924894649,0.3716911475924908,0.3859861591695502,0.4356978595436052,0.5904761904761906,0.06675153271000689,0.7315942387340051,0.33004115226337455,0.02680850625823452,0.7854625994160879,0.29958960328317374,0.27983809764735645,0.2971607314725698,0.5732362312243969,0.48533901539244373
