Type,36119_at,38174_at,40093_at,37780_at,607_s_at,41279_f_at,38239_at,38982_at,37406_at,34730_g_at,36095_at,33323_r_at,35371_at,41018_at,41428_at,36133_at,37286_at,39326_at,35668_at,32624_at,41723_s_at,41619_at,39686_g_at,33450_at,34338_at,38404_at,35188_at,33865_at,39160_at,38856_at,36937_s_at,40530_at,41101_at,37628_at,41620_at,31431_at,37530_s_at,41164_at,38627_at,33916_at,36673_at,31432_g_at,41256_at,33520_at,33143_s_at,33819_at
3,0.16188775545110595,0.026134415561697513,0.0,0.021434532437299612,0.04752111641571795,0.045903009441245424,0.08109210587308209,0.08479693755138902,0.06711248695890129,0.008718372331064695,0.10707944684788319,0.8779075886748764,0.08355915215858051,0.12494142455482662,0.11361672822888626,0.7145140247879974,0.03170920340293889,0.15722101237584324,0.03531538726028461,0.11223917782622235,0.6501071510180891,0.2713404842957159,0.3054474013216645,0.11523904382470121,0.22545797451151703,0.30590848373769064,0.017451199922114594,0.23502926609635302,0.26444589949255193,0.06515966059977976,0.28511704758419554,0.05221762270845653,0.22640938785385914,0.006048885790740033,0.2606263982102908,0.11092965083827754,0.01685319131071047,0.42493973044206007,0.037619426751592355,0.2555237126744938,0.11139186295503212,0.12673319059998983,0.30482624903804834,0.2222222222222222,0.2294554108917822,0.09719622307312954
1,0.016084782058386867,0.08610012944757373,0.06326530612244897,0.16704001405543112,0.05292691883951523,0.09176352265403112,0.07039354748991795,0.07339362978339106,0.10094237972258804,0.07021387397417708,0.08262272124834331,0.09069648637755719,0.07342514569954342,0.1913464542330522,0.03507168346584862,0.16597086323113722,0.1318341364745077,0.32743754536923925,0.0359032376135494,0.06776705076300218,0.2029662613249671,0.03569593422827414,0.142418288980175,0.2648406374501992,0.09285684569621835,0.934955940066064,0.13379253273621186,0.09635299414678072,0.17125006820538002,0.18207137767990153,0.13056544351663948,0.13282081608515672,0.23058311154125327,0.08664972678824402,0.26451707032389843,0.3069377545324871,0.11502153130135424,0.7155963875738537,0.41119767970882626,0.2778959045946196,0.470321199143469,0.3273245144517511,0.08924912799704167,0.31530631659056313,0.23335977724889947,0.1508059664496939
3,0.13639566785027674,0.10759892243641325,0.02943732698126569,0.10291210963236264,0.1936099889827396,0.14652699572912906,0.031122236128493956,0.13446737386944155,0.06145136739126717,0.0986675525706179,0.12946060166545803,0.1338703756472361,0.11741341549426482,0.11428069353327087,0.2696174794966506,0.5204718417047185,0.302159557379975,0.15768134416883556,0.0480484477423219,0.12195577701650577,0.1651484365832721,0.2282179330721305,0.43868547954991954,0.12315737051792829,0.6487914465199485,0.16339970799291728,0.10358759674828409,0.27444640006549054,0.16052818246303266,0.20033680937884576,0.22543442341173472,0.10969840331164991,0.16047665134285022,0.05229925119740954,0.19803521058262813,0.13320447356996673,0.02674919332589633,0.2889753550595201,0.13762511373976344,0.5604449785830945,0.2425267665952891,0.18550237039302647,0.22017450053469523,0.3430840943683409,0.07642291598612472,0.21204030994141476
1,0.07319225795858049,0.09176783402721897,0.12728706624605676,0.06821276408837353,0.08214469335291956,0.09926410697717244,0.11615445232466509,0.12619121433096553,0.06487198344421831,0.010217824626932673,0.1260596664082623,0.13998269758510656,0.13255874382864993,0.09784051858794127,0.029938020409440932,0.2989019352033051,0.12659884585638648,0.2766062923815089,0.03533757029248328,0.06340703830582373,0.7042940693301054,0.060007065322114465,0.3695302732630826,0.11533864541832671,0.26669994869021374,0.46709225145744665,0.07951613688360999,0.26585076337440133,0.19244830032192936,0.17637152665328062,0.10446122625503178,0.04630396215257243,0.24582627631260584,0.00624676755638506,0.2907304736893298,0.331620945568809,0.008672496311490155,1.0,0.10549363057324838,0.358232411944162,0.2836402569593148,0.3354233572921447,0.3830716491599788,0.2202720700152207,0.373535862616081,0.4851832821670079
3,0.021373398192429,0.042175418955323084,0.013864031416983195,0.20841568937497257,0.1492030848329049,0.07756269964373996,0.034496824734621984,0.0564369380905525,0.04085925875250133,0.029980067161096847,0.10542899297306761,0.8982289412411016,0.09057500278406772,0.1010231177756951,0.5286295623865273,0.8282235268536638,0.32738413944910466,0.12774207255537262,0.03986290886101221,0.08277795079414513,0.1295261269384453,0.34088573447234893,0.45233077335238425,0.09038844621513945,0.3607771352498233,0.24132003769169438,0.06340359246458649,0.22962629446195407,0.13624706716865825,0.12034458190297297,0.299122836199918,0.14654050857480783,0.26651342850229853,0.05620291875604326,0.11963816749343449,0.14430570772951853,0.03064761836218167,0.16281399502854216,0.06304026387625113,0.329543003297279,0.19177730192719486,0.1539608502829179,0.244150834024606,0.35987442922374424,0.16203120382036804,0.34254929653833344
3,0.04090638533691837,0.10040933421964104,0.03087941801326208,0.1915491720472614,0.08458318031582812,0.1331477664690592,0.09116024660455198,0.13880763994662285,0.09671791889719339,0.13659381902418877,0.12125834604516245,0.05751897746321954,0.39114295259660714,0.0945602936582318,0.04632817880172792,0.7334746684061753,0.27669700755547627,0.20516633912289092,0.07103006910014531,0.2408595453129866,0.16119897974938394,0.11763761320572934,0.3177353098767636,0.2903386454183267,0.4373257894079961,0.14363227817298832,0.219150075451492,0.2673652326961647,0.2500409232280242,0.30999417060690454,0.36393980726792863,0.23329390892962745,0.570106460198403,0.053792359065458394,0.19414453846902052,0.14122547702230584,0.05441001835258555,0.09434777720873878,0.3924874886260237,0.2713321623370621,0.4035974304068523,0.13407376255288783,0.3155101592092507,0.5989821156773212,0.10614121050912315,0.1953813461950586
1,0.049896348597114185,0.11484098939929328,0.01321380287130625,0.2453551192515483,0.049122291590157914,0.09604855902371998,0.09132712186529458,0.07470110124142393,0.11356445295797775,0.06041805089159049,0.2044062117082198,0.12739608924349427,0.1874234381380155,0.05691580756013746,0.06170412571213923,0.24067188519243315,0.3254803974061515,0.5137479860484058,0.060371122128683764,0.2466521332918094,0.22240784086066662,0.11265174384995826,0.15938560457224502,0.3152390438247012,0.1388415082303671,0.21207273254429293,0.33965340992065424,0.22831648315664527,0.22406831450864842,0.32651078437722647,0.28411901039067616,0.33920756948551156,0.36547302201790466,0.048098760990308284,0.27745355510164377,0.31046244805986806,0.06425803975194021,0.013950060581835441,0.1973953594176524,0.27204092323811285,0.2587152034261242,0.25213462812866394,0.30755469382452005,0.5231164383561644,0.3019972933874656,0.0958949029044743
1,0.1298892332532857,0.05220760591960255,0.03829266722461855,0.21507005753942113,0.23996327579875137,0.10371558690832855,0.13936865526352385,0.1610885710819663,0.10495305204467326,0.07354948192576363,0.11083047838155495,0.14859154748794096,0.3236385908905305,0.4454857856919713,0.05075439804670381,0.1655794737986519,0.221696710095782,0.3063419557019175,0.08746769595936069,0.1342260977888508,0.07759802619796073,0.1191992099685272,0.12755849258796212,0.2859561752988048,0.057536298206931,0.17909767740465762,0.15429830112447063,0.35172526707871143,0.4574671250068205,0.27922792927003043,0.126889339853843,0.25269071555292727,0.34620735543188963,0.037381664455487844,0.19910514541387023,0.22502222314100842,0.048538390490241945,0.5528910651161048,0.14774795268425844,0.3123478475239593,0.33700214132762313,0.238960467961462,0.19955625293582657,0.3817541856925419,0.1695171652122513,0.27250780404803526
1,0.09506167771597462,0.1384214393170766,0.07185347325049893,0.2562700399701322,0.2068233565919941,0.21959926056562476,0.22605108237148286,0.12223510223887639,0.15412440780584585,0.10009068543825309,0.22985070894495988,0.111913765174911,0.19850402761795166,0.21568455170259293,0.09014587115757842,0.04971732985431616,0.3085251948360997,0.226394716807422,0.09525394026109428,0.2874182497664279,0.23234787334564388,0.0806771468944698,0.09087337024468656,0.24056274900398406,0.19226608977825857,0.5030572727366862,0.20847734021321132,0.36580573861078136,0.26493697822884266,0.3704255456959647,0.15668629473147258,0.282909520993495,0.5366864263247035,0.04230622203233567,0.3879000097266803,0.4364986666115394,0.07114925570069691,0.48410382602395796,0.17426353503184713,0.5287972635666082,0.4170877944325482,0.45709078860172303,0.5035030032881258,0.4662528538812786,0.3608155614665485,0.09964652632720455
4,0.04657813536941633,0.4208795437847671,0.5870662460567823,0.6289805420125621,0.2626367976496511,0.4701286927451855,0.040893709729754785,0.3457385865829166,0.4253536061844739,0.39420331495681216,0.5335967391032534,0.0015685126854426106,0.4504250343368351,0.48398937831927524,0.15965692105427912,0.25373994346597084,0.6466773752156583,0.6406756254315611,0.7970363468982575,0.5170351915291186,0.04631888390017354,0.14999357697989593,0.4532595106268975,0.454382470119522,0.5803414180915534,0.15235107121037972,0.4036168037774424,0.44402603249969297,0.31800076390025644,0.6852127728479822,0.11353227541390822,0.2575399172087522,0.6300508105492377,0.18980009444356993,0.5434296274681452,0.24867177971182272,0.038924274593064405,0.018696678616485756,0.433888762511374,0.6913500354380451,0.5264668094218415,0.18941479329153285,0.13510299129496187,0.4806411719939117,0.059669917712756856,0.02261560189930777
1,0.21395975725730862,0.13018227617814784,0.09887336638125281,0.07128738964290421,0.2498420859346309,0.10481694749590974,0.05409539702405785,0.17412284840070633,0.05401152747609845,0.028381848546339357,0.10655430243316914,0.18197570987392855,0.17316901147035899,0.13942908466104342,0.029800287985976337,0.11287236355729506,0.04229876851686596,0.31116658699385635,0.02690801805698821,0.18903768296480847,0.5403993305377314,0.10775419102061791,0.46540453652437924,0.13814741035856573,0.3882625396957469,0.5945139945947626,0.18505086890911746,0.37305063239327085,0.03721285535003001,0.11309022605091,0.3385009481353338,0.04642223536369013,0.12672392934914103,0.0977221110386544,0.42977336834938235,0.26584044818390423,0.016205452996989212,0.4818142073772437,0.24340309372156507,0.30036054358879544,0.1804282655246253,0.26741474231533874,0.31884825649379855,0.27264079147640785,0.24874391401060866,0.08082127761755128
