Type,32715_at,40899_at,769_s_at,37759_at,41835_at,36750_at,231_at,37182_at,36495_at,38163_at,31841_at,40986_s_at,31720_s_at,41256_at,38225_at,32654_g_at,39182_at,36867_at,607_s_at,37639_at,34338_at,927_s_at,39584_at,41642_at,40224_s_at,2035_s_at,32854_at,41476_at,1287_at,38833_at,40117_at
3,0.3065696281637329,0.3450056168033857,0.6333489301794869,0.5744170735040186,0.028537551537362905,0.03187517947736192,0.32230396128377137,0.030855539971949508,0.12473693842071554,0.1171123699117376,0.018585213373199235,0.12670211386331215,0.579222492078555,0.30482624903804834,0.03589115956053964,0.27869011757846657,0.3282211713350309,0.049502629199182774,0.04752111641571795,0.0022093052201837137,0.22545797451151703,0.03797779832753222,0.09035491736656734,0.09375841456190426,0.18489197609683844,0.2922111554970799,0.2341667178573623,0.15030930548852717,0.30559303087538064,0.49150243069241883,0.4839279848586758
1,0.2588532444537027,0.017591697580855842,0.4782218774498336,0.19203344140921003,0.09240346007707026,0.04129688632416688,0.830389646865649,0.10434782608695652,0.0596177600878397,0.09063364510604664,0.09017396031530307,0.332274240262828,0.21209367410290642,0.08924912799704167,0.19599248591108326,0.17753376736954618,0.26764641687886503,0.10697658840472922,0.05292691883951523,0.45989021931243923,0.09285684569621835,0.04769351055512119,0.1195249706493272,0.12273143411061446,0.5049798253230502,0.3458275535657941,0.10320044228760981,0.0,0.10968276606406353,0.24080935488109315,0.1700114185606357
3,0.3651051973752734,0.29761873661110816,0.8454516723513067,0.11561013180287953,0.03457382306179094,0.028142050349382594,0.1849823378811939,0.058831229546517066,0.012055082807210175,0.15541430641549203,0.06163359608589291,0.37695067652271647,0.15703225944809912,0.22017450053469523,0.0817726418853532,0.18535613642989016,0.1992288104765369,0.12181397997119606,0.1936099889827396,0.01940454556769809,0.6487914465199485,0.03797382949083794,0.033188837713356824,0.16853357746782271,0.21114459369732877,0.26722172279738765,0.10461330548559493,0.2833326021146843,0.18746868133986042,0.3379910655630009,0.4587445840046301
1,0.8375624934902615,0.18967814410366263,0.7592298441546714,0.6634927141952074,0.02503435824193592,0.014453910213458408,0.43730758012768584,0.05322113136979897,0.2756542227102205,0.03952048478461336,0.0447132372927426,0.02020922491678554,0.3653783260686579,0.3830716491599788,0.07952410770194113,0.11417743659508307,0.2682720989450709,0.0519476169742439,0.08214469335291956,0.10162181673346445,0.26669994869021374,0.19961264153863859,0.06551973268310306,0.17914265711669988,0.25486490627713365,0.3812027076102422,0.04177160759260397,0.09810029394989689,0.3125120456385152,0.7349756930758112,0.34862586225774667
3,0.3378359025101552,0.5267092063326192,0.954814294919943,0.2653200660877775,0.0397208224419952,0.03789194437227365,0.20429724211686165,0.06077606358111267,0.03559337542318602,0.10153471215913581,0.06323049741777657,0.18819435438550988,0.25253727502291995,0.244150834024606,0.08487504980930152,0.13798464677873867,0.1523463077482721,0.0754261982114747,0.1492030848329049,0.05955166662517736,0.3607771352498233,0.09683167766695903,0.09514133477828954,0.058834616834509135,0.17687318044843964,0.30506456471652843,0.11296762700411574,0.12459965778967226,0.41716455305862854,0.230074891604257,0.4599802912515056
3,0.28926023330903033,0.2332671508438267,0.3104305960868334,0.07851650331060013,0.11533590234174998,0.11337499487207536,0.171911289712761,0.14679756895745674,0.029451459419892034,0.134534316954288,0.12285947268279424,0.30644533782907535,0.15326052573732435,0.3155101592092507,0.21492002049296977,0.45126809833835385,0.15190978537650054,0.16800080383159727,0.08458318031582812,0.06085235617734186,0.4373257894079961,0.07701924488913055,0.17664589542129508,0.27327804405191447,0.31196690331477606,0.27312452744819044,0.199766570428159,0.27460185144561927,0.5541571907643681,0.21905794245171464,0.8099200700755502
1,0.26933392354963026,0.22774178379225662,0.5816638551299258,0.3579423346873874,0.13306744994475733,0.07924352855912155,0.37327024662151215,0.1758765778401122,0.14995653765211822,0.18018047688051642,0.169951073661321,0.21419616997363075,0.5925294474021413,0.30755469382452005,0.21765241646268568,0.27514332912253425,0.4008439432520916,0.2036373379776937,0.049122291590157914,0.03527420278310223,0.1388415082303671,0.054301623651091625,0.1734850537343087,0.1669179815822069,0.3166147402829562,0.1925957456941972,0.1955894096688986,0.3962181371473698,0.03162702848552597,0.26718565234528974,0.20586257058391083
1,0.5850074211019685,0.12051308845812214,0.5657489154035273,0.04741363246748407,0.11843488102616617,0.052045016340986475,0.3010338010824124,0.11187470780738662,0.3661674215390247,0.1277005664602819,0.12657991301984237,0.3122703497168547,0.09489113709595269,0.19955625293582657,0.1873256674446405,0.24336799144883878,0.07687886504183339,0.15163948152861978,0.23996327579875137,0.1663762415672998,0.057536298206931,0.7438036537110607,0.10421746590806467,0.17153589315525877,0.19730323305582512,0.2730352263188288,0.1713864487990663,0.20701531171851004,0.1300061673669198,0.16837143607935884,0.1048786973455757
1,0.4592295073429851,0.026648793040388735,0.502786910141644,0.7887799848445323,0.1377563394324827,0.10014494933610468,0.3519136662669734,0.1218700327255727,0.12007903284838506,0.15852654459228036,0.17994020114161458,0.3572169627804435,0.25852594105694326,0.5035030032881258,0.19089770592588373,0.5402779127392866,0.31804292469989087,0.19260140000669862,0.2068233565919941,0.12569079684349405,0.19226608977825857,0.3222993058504621,0.16524428790752282,0.14455544186547473,0.43196792481740637,0.2827571426019968,0.3501750721788808,0.14026236125126135,0.19479242955710593,0.24250919721455788,0.12087250316747745
4,0.17589313613165294,0.020501332358012433,0.16527731602904297,0.03767127541957043,0.2034007922606376,0.5647554321814875,0.23702887513368118,0.4098176718092566,0.06484467929362248,0.43189303122118294,0.4197132372927426,0.5424285652531016,0.0880500109908374,0.13510299129496187,0.5999032276427392,0.3952968613351472,0.12841033102946525,0.6639648993535855,0.2626367976496511,0.5077730203380547,0.5803414180915534,0.03929148327333775,0.22979319064390863,0.3064246863051322,0.7127534603401604,0.024861434414273888,0.283985502795012,0.4388189356381345,0.12315460817947037,0.1637991065563001,0.050976834399587063
