Type,33322_i_at,41418_at,40568_at,36908_at,40380_at,38317_at,236_at,33249_at,700_s_at,35367_at,33397_at,195_s_at,36034_at,31719_at,39607_at
3,1.0,0.06723244792240714,0.200492563897705,0.08006019713565286,0.02072612246824983,0.081219229201292,0.0,0.061478912180163874,0.06299070815558609,0.45235603272674074,0.17070867890995264,0.3459073118157582,0.16088977814394162,0.6432992971429796,0.1910878300803674
1,0.10710031768799542,0.0870164223520335,0.13455350402040625,0.12333436319602938,0.09211085406732449,0.1601492677725862,0.14841024128949826,0.22736641029507865,0.06319990043506699,0.27229706157083855,0.20647585900473936,0.3072494185716717,0.2900017654328253,0.24318485721017477,0.411308840413318
3,0.19354280679055835,0.20549983467430838,0.09674629294358236,0.08487397470524333,0.07525612577309852,0.2487378092759259,0.07366455354071454,0.2218368270245815,0.06125361783483342,0.40184228592007387,0.46051170023696686,0.24939020931419822,0.2941211086918143,0.17002897717015142,0.2756171067738232
1,0.16112529664995037,0.1384051581615783,0.28629543572114435,0.16756530492241148,0.09890939993390302,0.15776600081532818,0.07391026586073027,0.18071683506761174,0.3603191373863675,0.581135982533734,0.12138995853080568,0.6606160304044472,0.19225563467310072,0.41347392513670067,0.31135189437428246
3,0.9621495386045874,0.09384988427201588,0.16526544942790755,0.06842939294577274,0.06732448892875689,0.1889366239142024,0.050862450243255204,0.08103352938219473,0.13665551857177283,0.16744882226498756,0.28050947867298576,0.19385671337001534,0.19184370034720177,0.24815412060255382,0.5741963260619978
3,0.07574056621623326,0.19252176788272893,0.09874000395810276,0.05725704376252031,0.18072801095321278,0.2914798206278027,0.14320114010516488,0.2507414668476348,0.0857847226083894,0.6024623833800375,0.29228376777251186,0.21317147881331897,0.6593303124816101,0.27087687303593233,0.5616389207807119
1,0.14286229135394912,0.30910393475146036,0.10977871273702806,0.21967967948015188,0.28058165336858504,0.25667157954153474,0.2828640228021033,0.2188709596340421,0.033944757350195816,0.7215694880538394,0.1593046504739337,0.2504396165409269,0.5793562054963809,0.6423231918337623,0.49856486796785304
1,0.17203985245437856,0.16746114846247107,0.0807672855477941,0.11565025862842221,0.18183749586893913,0.31650412367901154,0.09673694039019116,0.15673855124918312,0.8546563818209261,0.5266326794737612,0.3130831605450237,0.3862669465085938,0.4045783557935621,0.1131608982616758,0.5334026980482205
1,0.12643009152225348,0.2651273007825416,0.2104977680698385,0.15794771619641806,0.24080543883669323,0.27045376148515166,0.2914639540026537,0.21992660734931885,0.3054604480951586,0.4007562713123334,0.22794172097156398,0.4350360201939985,0.42473371388218684,0.4828722587199251,0.5363805970149255
4,0.0046977459108707665,0.5855009368455857,0.3646805297993829,0.0902857370660873,0.30272413955903876,0.46574053748941635,0.2288564548626468,0.4503594229125823,0.030798929147369338,0.10054357000573957,0.544579383886256,0.09722616143853878,0.6010710292473371,0.10645667652971615,0.7610505166475316
1,0.18642861390367005,0.20423233770527938,0.509268557271548,0.401885645375086,0.06623861007506726,0.44084166954122106,0.007715366848493784,0.13095058563313727,0.583410787436812,0.7939160673891759,0.4357597748815166,0.4677236371887231,0.2639910551403519,0.7721237787209043,0.374784730195178
2,0.10810942306202215,0.20764906866527058,0.34387850090523275,0.5625940580244576,0.1830886171568859,0.3912007275235975,0.1071797139908595,0.3565073141305987,0.29769914972606404,0.7213669153808929,0.2702347452606636,0.39077656134777927,0.47460719119637507,0.48536912998112053,0.644159012629162
1,0.20889742624070406,0.2862338807450678,0.08408036414545296,0.05960911727478398,0.1007978848968415,0.1577973595910816,0.10496830311071798,0.17885688433117175,0.3683823081587636,0.5775234365328562,0.0063499703791469325,0.6473708094616825,0.2974754310598482,0.4861188033377294,0.2890355912743972
3,0.4624369534387968,0.22269370660200594,0.1543586774072961,0.08035918953127959,0.08446248996742364,0.09344915174511587,0.08236276966927122,0.04378424571457297,0.027735189054212576,0.346196698065431,0.4879850414691944,0.31507742923591814,0.2913552639322074,0.38582780767971503,0.16805396096440872
