Type,34046_at,38952_s_at,40304_at,41038_at,41107_at,32052_at,33329_at,34224_at,36894_at,36908_at,38671_at,38702_at,39026_r_at,40808_at,41214_at,32254_at,34317_g_at,34847_s_at,34849_at,36105_at,36133_at,36139_at,36156_at,39105_at,39556_at,40594_r_at,40607_at,41792_at,32562_at,1955_s_at,1910_s_at,1814_at,1817_at,1555_f_at,607_s_at
3,0.4666895114080928,0.12962808885930607,0.27718121754877406,0.3457246020022977,0.045541488295837505,0.030300565724045447,0.1797863534234696,0.5249818609422302,0.08199398614700315,0.08006019713565286,0.5094805117287757,0.544929467955126,0.009299302024698237,0.0036509996261024475,0.5490668386313633,0.054020961640093984,0.48894542760986126,0.10897849258430377,0.1836642726376567,0.007974255223492108,0.7145140247879974,0.2554439632666851,0.038059611909404434,0.4780944707422701,0.14398771812225658,0.12958403337002491,0.14981916913254212,0.022703475327006496,0.08494588744588745,0.10989132436912878,0.1055121700963347,0.1877518936687152,0.2890503275703479,0.4085816616383493,0.04752111641571795
1,0.2335018133013507,0.18637157833430404,0.03268112558889691,0.20695880518627932,0.03984880225885782,0.4252652245211396,0.18246679017698772,0.16810528159323476,0.05826520515308425,0.12333436319602938,0.3899444897634349,0.15044985004998335,0.02289367432181157,0.007047332188874985,0.02911387603368485,0.014305822270826904,0.5837265100400959,0.13756021697075446,0.1497817208843825,0.04070960392391499,0.16597086323113722,0.07893362818268372,0.030422383503067543,0.3076845603786887,0.35208770298613956,0.6255865824691502,0.0218693987506231,0.04659530972127578,0.019025974025974023,0.09110333394731997,0.7186912158695776,0.12226668572245249,0.4212798708490548,0.24439386721713507,0.05292691883951523
3,0.1889831234472715,0.07679507446542977,0.6104155171682016,0.08550795995404561,0.1305674469441661,0.44896851351325795,0.2732862942961883,0.14413670594710898,0.18374914739703918,0.08487397470524333,0.15895027954079705,0.4777296456736643,0.027066329814963732,0.002173930658788965,0.5458425005690009,0.06064538409615355,0.935814238096005,0.06914994499867239,0.13896634276862413,0.050539673525405046,0.5204718417047185,0.48561073743051075,0.08214075989449335,0.06375264377077249,0.1479231085259584,0.08162910607728406,0.14813282849173268,0.045955424069672735,0.17214285714285715,0.13608399336894458,0.3562104543122613,0.16285550950407318,0.32781438306020155,0.4279186294747614,0.1936099889827396
1,0.25317684685456465,0.15542058407521425,0.0248716098637579,0.149844083374364,0.1204572365424902,0.08911619567129372,0.2652449840356341,0.1891966273862243,0.10065037994869971,0.16756530492241148,0.4685541473508287,0.24919471287348655,0.024164255306575153,0.0017768815555064222,0.3397314316060997,0.05635468392714182,0.24949678749134474,0.052858172438645074,0.2806365300661879,0.49042852748396876,0.2989019352033051,0.11078350072176663,0.07364053116696462,0.3005337899083493,0.4566998940471814,0.409144893111639,0.3051215968267099,0.03368125384346901,0.35958874458874457,0.12274820408915087,0.2704782534344183,0.25969701300557385,0.2128925681890709,0.16944547363220946,0.08214469335291956
3,0.2813044347354294,0.08037274315666865,0.354866092271126,0.16527162317413427,0.06070680389835139,0.019738870405501763,0.4566202845993142,0.2590757837323926,0.04177994677836165,0.06842939294577274,0.3154931258828913,0.6406197934021993,0.027049445017824015,0.004888450038373696,0.21670396783248613,0.025995363950793,0.4464716080793115,0.14078443272768654,0.20070412617941133,0.06404418798824989,0.8282235268536638,0.41340336005405565,0.05804163814331644,0.05962332561184409,0.23873981014984755,0.8765714616766122,0.1329239449765079,0.03945684511443149,0.12006493506493507,0.10668631423834961,0.3681810408710027,0.07646134057453195,0.2499859210452216,0.04107341343354682,0.1492030848329049
3,0.299922898997687,0.18395873200765456,0.04564039443713481,0.29468242245199405,0.1406321158575462,0.012110769184211174,0.339272340257795,0.13905776977157294,0.016648573871441884,0.05725704376252031,0.11828256501064444,0.8604909474619571,0.053273645575444444,0.009260620484724029,0.039697291556027615,0.12500588663132944,0.8983483894515922,0.1341842734134962,0.1400647796085058,0.02126580738066505,0.7334746684061753,0.26776006634110383,0.050926752036648315,0.2995266391378789,0.234588189504184,0.09472220612942471,0.16262050972032197,0.07869762494390613,0.09743506493506493,0.1836065573770492,0.31858861084193124,0.03557238816635701,0.2577950479623059,0.1266783111910937,0.08458318031582812
1,0.3236243182272481,0.6423995340710542,0.06065107593056322,0.5547349417364188,0.48037161854449395,0.1552232538873432,0.37518230911742684,0.7207085491255724,0.11023796028551391,0.21967967948015188,0.2053082907224289,0.3220593135621459,0.045810565239690244,0.010773574356415816,0.19956755936575374,0.008152330321122279,0.6100438532927543,0.19432538026779958,0.234305027460921,0.33335361545768305,0.24067188519243315,0.49491692005282717,0.02339833953547223,0.6188941484540235,0.34400069193677424,0.4782457563292973,0.13368757092706313,0.07886382900925756,0.1906168831168831,0.21381469883956533,0.7945049307416063,0.15608117764756327,0.4226502224474854,0.3581926286631733,0.049122291590157914
1,0.04276250035694909,0.2653298943339712,0.0486962918947979,0.24478910224848185,0.2290281446397668,0.4937365590889403,0.35872521581457695,0.28213115164252295,0.08379045661091523,0.11565025862842221,0.29889974333976643,0.4046151282905697,0.023013978501432043,0.005588205673750656,0.5722393976177832,0.06173637310254251,0.33411700294681235,0.11784508591586694,0.17189128291789887,0.37875515081449634,0.1655794737986519,0.2872324088577659,0.04525236270670642,0.20661698056199013,0.30724155080329535,0.5088204623138869,0.25413365575317914,0.0657087772366912,0.28205627705627706,0.2903849696076626,0.5064983184176025,0.31250535943975993,0.31264665577894163,0.4193263819051148,0.23996327579875137
1,0.3208829492561181,0.38018969964223315,0.058422817367683885,0.5420974889217135,0.3381227798524456,0.12017994980168452,0.2646340021285822,0.4829242663063874,0.1421325161153968,0.15794771619641806,0.7460356936789956,0.1875763634344107,0.06147121458677625,0.004796422622306751,0.05621254077839315,0.10491285169351844,0.40514645496851903,0.16340135796381292,0.23433319250809742,0.23546701281492222,0.04971732985431616,0.12862802911637336,0.04920237357531949,0.7224796051968979,0.22012238631695025,0.18098603788888248,0.13170426463881554,0.09577509265876642,0.32753787878787877,0.22446122674525698,0.735678048224363,0.16123338573674434,0.6618704360721593,0.4731029128954286,0.2068233565919941
4,0.02058882321025729,0.34994591896164406,0.061514084008884744,0.4783357951747907,0.755305583386465,0.4856980194929857,0.8568331428120936,0.3991843678851109,0.6960218266357968,0.0902857370660873,0.5246214758958238,0.26707764078640445,0.6986359194510753,0.7371778027557292,0.057080267051058335,0.46303457153172767,0.19605159337208733,0.6710351629177256,0.6277144064216308,0.021810044384048783,0.25373994346597084,0.2646272919929973,0.10818649891151652,0.3833215832410111,0.8091119423962635,0.11189965818898094,0.6106250066286975,0.9798976182957435,0.6882683982683981,0.2743046601584086,0.7872655760132247,0.23601543518650855,0.7998911227497137,0.27375218334833007,0.2626367976496511
