Type,35836_at,36497_at,31620_at,32801_at,39558_s_at,39826_f_at,36358_at,143_s_at,39676_at,32203_at,35140_at,353_at,34459_at,36272_r_at,34022_at,31491_s_at,1425_at,37118_at,33535_at,33091_at,235_at,39222_at,39889_at,1560_g_at,33575_at,40194_at,34416_at,41771_g_at,39478_at,38412_at,41767_r_at,33042_r_at,33969_at,38818_at,35424_g_at,34756_g_at,34488_i_at,33085_at,38251_at,38624_at,39970_at,41581_at,1024_at,35077_at,37373_at,40361_at,39194_at,AFFX-LysX-5_at,693_g_at,33671_f_at,37289_at,37684_at,33563_s_at,39875_at,648_at,38704_at,33063_at,40846_g_at,40575_at,37963_at,32979_at,39515_s_at,38752_r_at,40809_at
3,0.21528555431131016,0.30638465689733896,0.3112983823155755,0.07258958256372368,0.23893731143144484,0.2726142110936075,0.32597621985466485,0.13474298858710076,0.15913503971756396,0.14766960657640957,0.09332915753210146,0.36971138078058385,0.09925690021231423,0.2828750340321263,0.022858288636021858,0.1474419089298739,0.1795901119797169,0.06931830044889861,0.23107884144897797,0.1678276364814515,0.20769604272881767,0.13884681409673835,0.15029888983774553,0.42924103118802953,0.09131175468483818,0.15268650947042908,0.38223763570566954,0.04989666989300756,0.1524420736789465,0.2884526697812444,0.28208822460817595,0.1358724071814537,0.12975912975912976,0.4492396567836209,0.15663930468372766,0.1885302793683845,0.4641366718831508,0.30534647319003644,0.1772390484856363,0.03003490543063561,0.07051318240840063,0.024800375763269145,0.09538964390159983,0.33497564843130595,0.09061053888640098,0.00393532380870905,0.4186445266672683,0.048766993360733465,0.29302629125489466,0.0033372595210051045,0.1126553152323976,0.540501212611156,0.18358831710709322,0.2648823697494999,0.0,0.16676471532019127,0.0529100529100529,0.4501123073348309,0.22900031349696645,0.35266057129876766,0.16220078599499826,0.272237072541248,0.07214010212114681,0.5386975317250035
1,0.7344624860022396,0.08202914193200214,0.506945032607775,0.01840906292328531,0.34822326516929264,0.2673907636182738,0.33173150945155605,0.18649915951517296,0.39355692850838486,0.26695129487107466,0.1174966071614991,0.23958674975401772,0.16765241128298453,0.3101914874308013,0.16010827610406536,0.26393664686881313,0.21846608916120855,0.25806451612903225,0.6847131244574224,0.3171877531184189,0.277433843165817,0.3494900535191356,0.4614289780814119,0.2992608617270596,0.2365701306076093,0.35968303053730194,0.48439384800965024,0.0733094409710414,0.30480080013335553,0.30726044152146453,0.13267517758929578,0.26076346522572774,0.41006216006216,0.2632571574207799,0.2875905359729599,0.27251431546069754,0.347678664580073,0.3643982307751997,0.19511243988041077,0.2821251724977677,0.14447016315700337,0.32616251761390325,0.5461035609840014,0.3438101710272964,0.14041896800517495,0.22790657883480198,0.3265048280841079,0.2100063231109706,0.40164087264590714,0.020645203507394322,0.23598711458812702,0.3284963621665319,0.38019074110868273,0.2454519478045528,0.49730058550680567,0.04713822720903616,0.1911936149224285,0.1692045542560607,0.0,0.6251916633539667,0.2101941169465286,0.3651949488432113,0.4387866846690738,0.5345604983033515
3,0.2821015304217992,0.0866993233426045,0.07063606335224867,0.4139884250708041,0.20868253436138112,0.31962523837161094,0.4622122084134787,0.252322392285234,0.3444836716681377,0.343894537760051,0.19443574485854473,0.5806001967858315,0.21807703973309067,0.23559306652146295,0.04210737380319816,0.22319474835886213,0.17325163743925628,0.23572397953857396,0.17472969773498542,0.34164911712295476,0.3323622238407381,0.18519640512975868,0.2583736597400133,0.27239949522264284,0.18955139125496875,0.1721105527638191,0.5659680337756333,0.06980406518952571,0.22078679779963328,0.36095683034908665,0.4480136308397749,0.21919121492069024,0.18482905982905984,0.2940107042732139,0.19594398841139543,0.17872635779975707,0.2674752217005737,0.12252657717079227,0.09212920837124658,0.28180047081743653,0.07248913227572971,0.19849694692343825,0.281696198176501,0.3169101823536074,0.5846146190973777,0.20489348960561213,0.19059651655987728,0.16361049636421118,0.18114861085213502,0.013503281171125694,0.16511734928670038,0.21903799514955538,0.13590303993641964,0.29231355367177825,0.6101817352292602,0.1726262420981699,0.1659044031925388,0.6735496863139958,0.17482066129418924,0.4468169685956045,0.2830772895081577,0.2584570006452207,0.11186707538581299,0.3818621298749594
1,0.33818589025755874,0.21576238116982852,0.37075463707969847,0.2641916020194557,0.16728126047603084,0.18903905148826797,0.3815774351011947,0.0870565336636291,0.09708737864077668,0.12422523079227757,0.1035598705501618,0.13709412922269595,0.17455262359720955,0.16444323441328612,0.31440172439721287,0.11899551943315617,0.10542995985632792,0.1688067647979956,0.02920053665851153,0.16183379232139963,0.3968196164117504,0.09885893163687774,0.10209697314735743,0.13674058049396068,0.1820556501987507,0.14398917665249322,0.16375150784077203,0.08004813351819394,0.23953992332055343,0.5015138451667235,0.18539445495433415,0.11913892278194178,0.10819735819735819,0.306583977571999,0.1894736842105263,0.31450633350685403,0.20976786645800724,0.5215333281601613,0.1139022487976082,0.16482669047812323,0.060859255913735685,0.22555190230155,0.12205401685876482,0.26798051874504475,0.6238244514106582,0.2356916759346394,0.326595072646873,0.06757824849826115,0.2485549132947977,0.01079234206442687,0.12600092038656233,0.5922797089733225,0.18696602424001593,0.23221259167539762,0.556041365675614,0.22328352461734285,0.11442919917496189,0.2705135156068469,0.15501502941339187,0.5707876653983759,0.12968917470525193,0.27463360678403537,0.23881483175519072,0.5798354483335657
3,0.13787793952967528,0.21918718087093692,0.08829507919031084,0.24011821204285183,0.2537713711029165,0.3753420114418374,0.2666234405528895,0.15367601521719895,0.23239187996469549,0.03173978989944386,0.11311201586804469,0.5539521154476879,0.262208067940552,0.1826844541246937,0.15464434307484085,0.15004688965301655,0.21233889710542997,0.2162021087796221,0.26185778549443606,0.3510988714293428,0.18463219227967956,0.1972129657679491,0.23332384476705573,0.8060212727600504,0.17978421351504825,0.21675686122922305,0.19850723763570569,0.10180239098019722,0.2919653275545925,0.5070077998115212,0.23866497951615528,0.1632386264598222,0.21221833721833722,0.22122164641916575,0.19816513761467888,0.24969633871247615,0.560641627543036,0.06068130674322961,0.1640452359287664,0.17339069729685852,0.14006661773838425,0.29018318459370596,0.07130569413383794,0.2911428247819685,0.9680549335721749,0.29455043203011383,0.18761844598862917,0.2071609231742017,0.26421778855118405,0.013311645820479744,0.19595029912563275,0.23100242522231204,0.2539241009338367,0.4158491284884275,0.4998859402326819,0.10868425837781177,0.20294144022957583,0.7304933777399116,0.2032566802515352,0.43046169572377757,0.2393712040014291,0.3088303069407319,0.5239140282438416,0.4883558778413053
3,0.5833333333333333,0.11216737930175598,0.8706699415600915,0.43264376308336416,0.4681528662420382,0.5123124119061437,0.5636085275436364,0.41891533221268684,0.4709620476610768,0.28992753216111455,0.48397536277273195,0.411364381764513,0.589171974522293,0.449677829204102,0.17975838387889115,0.36511409815567364,0.4338685822945278,0.40693183004488986,0.2819824796780049,0.3749662508774772,0.2606822044185482,0.37443199030596785,0.40212543884619034,0.4980169460969894,0.44009085746734805,0.32972555083107846,0.43275030156815447,0.022769246867397386,0.3148024670778463,0.7307761714755479,0.9360929102093487,0.380948230782639,0.4733877233877234,0.5872398266927195,0.40560115886045384,0.4449939267742495,0.20650756390193004,0.3948164817257701,0.37355388015078633,0.5461888140271126,0.20261954496697343,0.41249412869891966,0.35325993462927924,0.5116094687960131,0.32233666716425335,0.46128839079476436,0.34265860481905963,0.2847771103382864,0.472310274100317,0.027095368968160487,0.38720662678324896,0.14834276475343575,0.3843632028611167,0.49633298409372323,0.9284845258915673,0.19143019114139329,0.45081158640480673,0.3937262799163504,0.2586165563280285,0.28025441535578394,0.4495653209479576,0.3004885242879528,0.1805283735822005,0.5391158834193279
1,0.2935330347144457,0.3881232097637926,0.1549081053612264,0.2642531707917744,0.496144820650352,0.7817759721416134,0.25236316007468435,0.49155091568610104,0.5363636363636364,0.39949066531842786,0.3200751644221735,0.5783863561823548,0.4489687594783136,0.6342680824031219,0.3102411148428493,0.5432947796186308,0.5717304035495459,0.6360789226432821,0.4103070002367611,0.5069928181867271,0.5461883952415636,0.5143895789154801,0.5951228769332955,0.7253470344330268,0.6159000567859171,0.5498647081561655,0.7390681544028952,0.013974415988699083,0.49749958326387733,0.4102821165761033,0.16131497513123438,0.5371274185114171,0.5924630924630924,0.2606065754821171,0.5394495412844036,0.4250390421655388,0.39632237871674486,0.4084736556219446,0.14532692057714805,0.3170711908434126,0.26709196635239657,0.5731329262564585,0.3818166179253398,0.5765658624985842,0.18241528586356176,0.5452989990589443,0.533345365941702,0.4326588681631362,0.608987506992355,0.0271514573634715,0.5669581224114127,0.32566693613581243,0.6184184383071727,0.7207353081245833,0.38746102957949974,0.2003829245595833,0.4735898125728635,0.32175664162342194,0.3996533092370959,0.3176216707365552,0.6723829939264024,0.26735182966171994,0.14764026264749733,0.584297866406359
1,0.24545072788353864,0.18506372203080243,0.09104768357753876,0.24119566555842872,0.3036791820315119,0.38504269961031423,0.26958132111436633,0.25625940015924975,0.3350838481906443,0.32360541542609966,0.18524898214844973,0.3591341423417514,0.614877161055505,0.46664851619929215,0.18707704646849466,0.4008023340627279,0.4392562856539193,0.38448689842363504,0.2881382684870965,0.42545493817160757,0.2830784170915271,0.3970009088155104,0.46128664958724747,0.46128537948440596,0.42509937535491193,0.3037785079242366,0.43116706875753924,0.5097234938655923,0.4180280046674446,0.49357367713993533,0.2528721231786918,0.3207686944396026,0.37422299922299923,0.3776059808002719,0.49874456784162235,0.24314593093874715,0.24308815858111635,0.2272445099712889,0.16196542311191992,0.3108003896420164,0.44134251679557396,0.43828088304368246,0.13155857560639947,0.44127307735870425,0.9916903020351295,0.36718282145606984,0.5630358270914178,0.32212298450837806,0.5721144881596122,0.017520612485276796,0.3188679245283018,0.20968067906224735,0.34999006556725615,0.3772740260977236,0.4662763287962893,0.04915446406605983,0.33248139180342573,0.0,0.26064506611097793,0.7256800499744449,0.4153864475407884,0.3175407871693244,0.2162092032175638,0.3659880072514293
1,0.5677491601343786,0.10836896508779939,0.08958668586431777,0.26600788080285676,0.43421052631578944,0.7481966669430397,0.053443523781229615,0.4122356896399186,0.46610767872903797,0.3866730333501863,0.28901764276020464,0.39545752705805187,0.5134212920837126,0.5025864416008712,0.3437766304075392,0.4819735333958528,0.47221635326431444,0.519521870758952,0.5298713597979638,0.5391489821264647,0.3121813546977422,0.42689084115924475,0.523009773223266,0.39809807102938527,0.43390119250425896,0.6064456899884035,0.5294028950542823,0.24826431579773459,0.4674529088181364,0.3026086259098109,0.32220398651950033,0.5000871535645808,0.4717365967365967,0.24093110186050468,0.45234186383389663,0.4285094568800972,0.2525756390193009,0.5330953674245363,0.23781359677629013,0.4334361555321049,0.2875853892621239,0.4360732738374824,0.4972905556511268,0.5055498924000453,0.020276658207692703,0.4497818461801695,0.42554823571879796,0.37227315839392977,0.48060786873018835,0.026557855179763307,0.38182236539346526,0.6469078415521423,0.4485396383866482,0.4804743308886561,0.42563303170861533,0.25137713790632255,0.5004932293067887,0.06822089690961194,0.21102034042082357,0.5365438128229882,0.47064427771823275,0.31380772421421327,0.34365393157619284,0.52461302468275
4,0.3830253826054498,0.1453360454979451,0.1656220885915135,0.40555350326314493,0.4968152866242038,0.5524417544150567,0.2948490808668065,0.5199504556312483,0.3789938217122683,0.18128195045222179,0.3317674078713853,0.44416202033453595,0.611995753715499,0.4892458480805881,0.20291743947065016,0.34219026779201833,0.42425522924149583,0.46330514667501826,0.3830794728119328,0.34910092337599224,0.3507526098567614,0.3920024235080279,0.3830534206281431,0.4206778438795745,0.41805792163543437,0.4419211441824508,0.3954312424607962,0.08264838988149736,0.3413902317052842,0.5564132897559801,0.18504366128365424,0.45136831096391844,0.4378399378399378,0.2107212641236938,0.4867213906325446,0.3773208398403609,0.3729134063641105,0.21455730581205865,0.4726699597036266,0.27157236788700384,0.21063625585728,0.46106153123532173,0.2939102012730088,0.4667006455997281,0.4603672189879086,0.5141586106595946,0.4103420268928797,0.3608915586468542,0.4278388961402201,0.015629966160001493,0.36097560975609755,0.15747776879547293,0.42479634412875034,0.509286598723688,0.4100068435860391,0.31644757249360905,0.35207604699130124,0.26958407559445435,0.3235657513784646,0.7130444658981203,0.692151959032988,0.15213383722002025,0.44895481952880023,0.3663831171849579
