Type,33703_f_at,2053_at,607_s_at,35633_at,37563_at,36133_at,34355_at,32206_at,38837_at,34338_at,39160_at,37891_at,38454_g_at,40453_s_at,38712_at,34256_at
3,0.0023381830094038234,0.039963542683890886,0.04752111641571795,0.03405557667378188,0.04696769132715596,0.7145140247879974,0.05876908838500694,0.01683422960018705,0.19876837093769406,0.22545797451151703,0.26444589949255193,0.0,0.21436253826425083,0.1728268659772704,0.14585730724971233,0.09497495206552115
1,0.1843197480292243,0.06651600122764431,0.05292691883951523,0.03477684532686141,0.038289944599696035,0.16597086323113722,0.11208802509126431,0.050054555373704304,0.12854481473814947,0.09285684569621835,0.17125006820538002,0.4351524799761206,0.15979978489286006,0.08678884679703765,0.22497123130034524,0.08640301563878806
3,0.005319516615224636,0.033667215386475456,0.1936099889827396,0.06172695108044095,0.09123890768250233,0.5204718417047185,0.24479407681628873,0.0701426233341127,0.14784723659697788,0.6487914465199485,0.16052818246303266,0.248942838664743,0.16269545793000742,0.14142862018361146,0.10021097046413502,0.03435085198737454
1,0.003819833682457917,0.014815434837197623,0.08214469335291956,0.046112459428638265,0.01495317938912585,0.2989019352033051,0.2390868425111831,0.2909554984023069,0.18039743324363489,0.26669994869021374,0.19244830032192936,0.22098403064524155,0.1768428890543559,0.10822156240401352,0.29190640583045646,0.3367035592993941
3,0.00832789861061439,0.03370441672944394,0.1492030848329049,0.04396814721678022,0.0500890653854325,0.8282235268536638,0.05722659262687028,0.0638103031720053,0.10168702132063755,0.3607771352498233,0.13624706716865825,0.13994328640366152,0.15214693472325638,0.10593495102556227,0.20090141925584962,0.0660827933363975
3,0.016893221974111684,0.07773220613264138,0.08458318031582812,0.029766952250065794,0.07028811426516972,0.7334746684061753,0.31857679058049254,0.14184397163120568,0.2629372800662389,0.4373257894079961,0.2500409232280242,0.3756529525894234,0.23537685116240586,0.23606702842906382,0.5074798619102416,0.05896230135983517
1,0.01936364155474143,0.06735303144443515,0.049122291590157914,0.05352008343323878,0.15250608749652728,0.24067188519243315,0.18196308293485525,0.1516834229600187,0.2845684123369903,0.1388415082303671,0.22406831450864842,0.2678473707775732,0.33304376602961855,0.1454557864919286,0.3922132719601074,0.06166535370544302
1,0.013243192070614328,0.055113789607804844,0.23996327579875137,0.08460286363149021,0.09224395744472227,0.1655794737986519,0.2070543472672117,0.11888200452030238,0.2137497412543987,0.057536298206931,0.4574671250068205,0.33980896472812294,0.36522710349962767,0.17729770315006316,0.3510740314537783,0.375745311466306
1,0.013590313070082375,0.09349162504766423,0.2068233565919941,0.04131699757302845,0.10595512411956008,0.04971732985431616,0.40531646871304433,0.15257968981373238,0.25765886979921343,0.19226608977825857,0.26493697822884266,0.25093278941346203,0.47515926201704306,0.4523053820688714,0.5449271192942079,0.15610916124390894
4,0.5956806727235022,0.3138305292821071,0.2626367976496511,0.22958760977416492,0.34456047457959504,0.25373994346597084,0.4508715101033472,0.5626802275738446,0.28099772303870835,0.5803414180915534,0.31800076390025644,0.5897716531515844,0.26036237279722013,0.46547899389099356,0.46154583812811656,0.06086600748650841
1,0.0017371076856496272,0.01439691972880221,0.2498420859346309,0.04570309073364718,0.019512673432367508,0.11287236355729506,0.36243508663684504,0.2613397241056815,0.281463465121093,0.3882625396957469,0.03721285535003001,0.378389134868912,0.21634814263258043,0.2417664926111737,0.24472573839662445,0.21664386075809577
2,0.0059326134454539175,0.025464319261925356,0.7990892398090342,0.07719523962688968,0.030560049680508572,0.025331593824744512,0.3434109722864928,0.08044969215181981,0.26009107845166635,0.16671520295100611,0.16183772575980793,0.4623650564648525,0.608546372135352,0.3343913177024675,0.2027234369006521,0.09794094724630487
1,0.007411258741889239,0.054611571477730346,0.14022769004774147,0.018957669327563185,0.05146181628017192,0.3184279191128506,0.1732222736387475,0.04982074662925727,0.09387290416062928,0.0879338797132199,0.195094669067496,0.11959603999801004,0.39017125837676836,0.1293471212586601,0.17894131185270426,0.07813609290085899
3,0.005274435965943072,0.041386494052435295,0.09060594932060227,0.035507860853631196,0.061414260267032734,0.8331050228310503,0.02863900457607075,0.015256020575169515,0.14738149451459326,0.4537865235539655,0.11845910405412777,0.14934580369135864,0.13464879622735168,0.0,0.09407364787111622,0.062012438247875154
1,0.04820924634170531,0.20200794248672374,0.12235769372016159,0.09395498893729837,0.06957722540896538,0.4224070450097847,0.15134454213584245,0.10656807731275816,0.25258745601324784,1.0,0.2822884269111147,0.2101636734490821,0.21351451973194338,0.15258864885157503,0.43344840813195246,0.09097296211414453
4,0.014071173329085734,0.930954307450499,0.11466764597869997,0.2962562258155697,0.24657220833129057,0.0957055881713416,0.7914031569746517,0.30159379627464733,0.5774684330366384,0.6071473145567251,0.5211163856605009,0.5837520521367097,0.5095970877802598,0.37752977714071195,0.30983889528193326,0.0958163691380839
4,0.1619146653362866,0.45297285231996876,0.13933161953727508,0.25783404972854956,0.2684218267392264,0.1721678625788215,1.0,0.47143636505338626,0.7877768577934176,0.5897297222337786,0.28037867626998414,1.0,0.2644990485645735,0.8949182621753523,0.9614499424626007,0.06215968623557364
