Type,35592_at,39561_at,32562_at,32223_at,37563_at,32611_at,36040_at,40020_at,41096_at,40569_at,39338_at,40224_s_at,33916_at,35625_at
3,0.057031859085323135,0.1378990264885669,0.08494588744588745,0.1471855244728773,0.04696769132715596,0.13133512879656714,0.08385231316725979,0.17409376124055795,0.6957671126197387,0.14203552708212,0.6102768221457716,0.18489197609683844,0.2555237126744938,0.2945323067318697
1,0.05564438336614823,0.06187457550373557,0.019025974025974023,0.13834273384562973,0.038289944599696035,0.3543935157145986,0.21268905693950177,0.23168538427720714,0.021431589681267526,0.1808750728013978,0.31954156332506595,0.5049798253230502,0.2778959045946196,0.2653730100926022
3,0.038439684448379294,0.19127235680326013,0.17214285714285715,0.3489646818336677,0.09123890768250233,0.21171861912554926,0.10108985765124555,0.0,0.012051558740435757,0.20398951659871872,0.12641411312905032,0.21114459369732877,0.5604449785830945,0.2398033503277494
1,0.009170553801022763,0.2817183608784242,0.35958874458874457,0.17117007987280916,0.01495317938912585,0.1430743656817391,0.07656806049822064,0.3261660205427441,0.012194738661721723,0.1451295864880606,0.5197975838067045,0.25486490627713365,0.358232411944162,0.45936947247945065
3,0.04159784346631076,0.1774960380348653,0.12006493506493507,0.25970397849869403,0.0500890653854325,0.2322204038503666,0.07078514234875445,0.14707645577714717,0.3599403533401082,0.09478741991846246,0.425582046563725,0.17687318044843964,0.329543003297279,0.08981895744459473
3,0.05227479947672344,0.05151686665157347,0.09743506493506493,0.433546579853882,0.07028811426516972,0.5399920106181461,0.23476423487544482,0.3402741696974541,0.012900161688545258,0.40473937099592316,0.10046003680294421,0.31196690331477606,0.2713321623370621,0.29903235875559253
1,0.07913897221084344,0.045313561240661084,0.1906168831168831,0.2278002801226483,0.15250608749652728,0.11646456966869835,0.2624555160142349,0.29235442228528036,0.03359489860417038,0.19321490972626676,0.5667853428274261,0.3166147402829562,0.27204092323811285,0.5269743002809281
1,0.04665882632768212,0.07051731944758886,0.28205627705627706,0.10703713517810501,0.09224395744472227,0.4759223225906215,0.22250333629893237,0.45323927900563526,0.011817581795895276,0.2691103669190449,0.29179734378750294,0.19730323305582512,0.3123478475239593,0.3988398709811673
1,0.06852147944553827,0.16270658818202402,0.32753787878787877,0.2823257750690843,0.10595512411956008,0.4358852106233006,0.2843638790035587,0.34962631389632703,0.03900605197081924,0.43537055911473505,0.23703696295703652,0.43196792481740637,0.5287972635666082,0.24977889917802515
4,0.5083975316146253,0.5824994340049808,0.6882683982683981,0.5190521255252301,0.34456047457959504,0.44395190907568,0.6576957295373665,0.6332280884057392,0.017495887942504534,0.47302708211997674,0.03520681654532362,0.7127534603401604,0.6913500354380451,0.2689886588284257
1,0.03217622263038968,0.15228661987774508,0.35022727272727266,0.2107052276942878,0.019512673432367508,0.1823898560622656,0.22408807829181493,0.1889612725310739,0.012316965423795108,0.21785818287711126,0.46239299143931506,0.25077889575565654,0.30036054358879544,0.30446883779003225
2,0.06259497601649112,0.2129726058410686,0.8760822510822511,0.24241208312828863,0.030560049680508572,0.2763424094429339,0.24076957295373663,0.2859997602014308,0.20233068974307936,0.34511502620850326,0.6075606048483878,0.12641095050819756,0.5811223074789683,0.8554520861512849
1,0.057111143412133136,0.2296807788091465,0.15154761904761904,0.14329409092629747,0.05146181628017192,0.14096104532041287,0.1272241992882562,0.18440509971623836,0.7712543608762611,0.114480198019802,0.43122249779982397,0.2091015884365902,0.25925241132784815,0.22973675996254292
3,0.021486052565508673,0.22025130178854427,0.08429653679653679,0.2706666161941174,0.061414260267032734,0.18023787740164682,0.19289368327402134,0.1563087006914192,0.10298826972303418,0.06723209085614444,0.29414753180254416,0.19005056438020326,0.29897383747804385,0.24201435854749764
