Type,223440_at,206025_s_at,228608_at,205795_at,211034_s_at,211721_s_at,211719_x_at,237509_at,203276_at,203303_at,223993_s_at,213295_at,225482_at,200665_s_at,227434_at,225904_at,226601_at
1.0,0.6816621234500465,0.42986127636570265,0.9779461209327469,0.9297601482134443,0.9437528105404176,0.1447780070340771,0.14758696184582568,0.9534496948659181,0.11715467991788409,0.9545223753297036,0.09235613805964395,0.9091522944332602,0.9669909051980815,0.2403903185834869,0.9281254497611073,0.8378837291236775,0.11505475156607968
3.0,0.09121501013877795,0.8034325463153106,0.5769628879589791,0.16681131763769544,0.27399911592649406,0.6234785165884622,0.5605700955455865,0.5261019414534364,0.6184534230620016,0.7280965837811643,0.4717587907909894,0.48488583496156895,0.6909938819416884,0.847881718729286,0.7859204168187637,0.42715974974092025,0.5375550723809233
4.0,0.1735679239150939,0.030479310974201788,0.8059370729558665,0.2251874614350599,0.4559877080575654,0.6843280559158929,0.4837045222781459,0.5775498427443644,0.26344077218143697,0.11061883993695505,0.2920340007004412,0.5646288422944825,0.835910839466689,0.8495709915088985,0.30979462246025835,0.5523930842857253,0.4082327109856771
3.0,0.3921697990662529,0.3547160205589704,0.8255394252689003,0.8184928598291165,0.6791947873046781,0.6534177088253466,0.3897269088745512,0.612356542157784,0.6026829031645459,0.6481971764851531,0.26634347333699543,0.6377106922016915,0.8475813283791457,0.79203657383038,0.8776196807703717,0.7182452376887837,0.4380704357543409
3.0,0.1691271489933715,0.42986127636570265,0.6337788326006014,0.18740066404633615,0.2719632838568858,0.7866333119854472,0.7692397695018511,0.6019351724936554,0.8227386554611965,0.6501456847758115,0.4935116659616582,0.3076789810768096,0.7905849144298692,0.7016585944940619,0.7904399296431699,0.42641801120489775,0.38047885161953193
1.0,0.7646762549841783,0.6157187307191099,0.9398611182168641,0.9304895361488843,0.8827715262896512,0.1105427412166188,0.1543922368027385,0.8938795110696102,0.2210929401208318,0.8818649992750313,0.12803729873326963,0.9147668629341642,0.9620969849748523,0.29867637990177853,0.9512918360443153,0.9254647035154042,0.21366672974376516
4.0,0.18496229430540562,0.6414231959201327,0.8644849089040242,0.5839634072848019,0.5357002119368419,0.42289703411579393,0.8179444751750308,0.26297034791529006,0.3590623240597458,0.7794878108730338,0.3354241792003369,0.8548687587380216,0.8112484355371948,0.8294159860950352,0.07384095655507586,0.623284115254598,0.5831567536396639
2.0,0.4605392218661905,0.7065588347916615,0.7435504144367967,0.5869654347234663,0.3605130879227731,0.15776225246820788,0.6804742272699132,0.7350832375835784,0.3545741509138231,0.8425529965393813,0.5741816558068178,0.5923442248472683,0.8273658306286354,0.5540819763644167,0.780612572179986,0.6182204277822311,0.40839884920783015
1.0,0.6487044218380373,0.4505759874098683,0.9803229164233014,0.9296699964673835,0.9318637168165184,0.058509230851881325,0.20504379810256335,0.9928042344441368,0.08088099445872014,0.939144965204869,0.23182002208061475,0.8691376350132485,0.9872228564878077,0.3366757634086965,0.976583249561744,0.8132087780800915,0.18133259759603193
2.0,0.4392855579567874,0.32577640813869596,0.8919801946502561,0.8284142291481911,0.7219554110303692,0.20679252737786405,0.3960945786261052,0.7900828823805758,0.35896339363801993,0.7701261216137295,0.19373641421512633,0.7481890362860526,0.9534743963691139,0.5617983410468115,0.8891809914375096,0.697564272393748,0.33406392117151806
1.0,0.6828368618096087,0.4866535298999506,0.9312345204962645,0.9329629138720714,0.8387193728227378,0.14547098636688582,0.2594265645138827,0.9245990967682924,0.1439063704445344,0.94884043521659,0.18407099552773945,0.973762890622305,0.9445611513849276,0.30194450675318896,0.9654851487573018,0.8478691514818295,0.12798424976916722
3.0,0.26440682774210733,0.6000020106459032,0.3665051369336876,0.1258313301930408,0.16081074396565337,0.32158423114435475,0.9175481702460527,0.36178438807585883,0.5739812627272937,0.796486950363042,0.7472171856094842,0.5078714943859963,0.5476670844274681,0.9649274022058113,0.1840987909736274,0.4113316764846618,0.6809600817595732
3.0,0.23447004300423824,0.37995764349073896,0.17339119906933007,0.05421758692016545,0.07044855100429402,0.23594388115747916,0.7159288624924451,0.30532188659422177,0.41383855290975774,0.6813262218890656,0.8297092459166648,0.06429132801349606,0.5411304872186148,0.7501684237381858,0.950008178977312,0.33788276640600806,0.5519309664926112
3.0,0.6096303282657143,0.6278153900011266,0.8196972646889034,0.45528052080560943,0.4954080601556069,0.42363547847340677,0.8097152631715284,0.5121755088419117,0.4114054190002104,0.6954606702878683,0.5484866125698159,0.7734277830602603,0.8386585624759811,0.7885167122589167,0.5990268175851418,0.539059463603536,0.5288718708670689
4.0,0.3133363864355485,0.32684484416107334,0.9285728399456596,0.1893230346118749,0.6598770174467121,0.35189305156438794,0.41478305954303035,0.43869707319847695,0.4828508666626412,0.2062984043617548,0.3377662083015173,0.5492555362568355,0.8624932546822067,0.876368292854853,0.6146373396294684,0.5550175152021785,0.15919714085225092
3.0,0.2148572689767569,0.919664403698292,0.25311015915782364,0.04976694092723073,0.24677960882546005,0.6685078298834449,0.8267469547908944,0.4649623867339989,0.7992311073023343,0.7181102819977769,0.6716372141260699,0.18254791564113143,0.6313870799442395,0.7876273909169451,0.25861486550131413,0.5120112933148624,0.6835137371509177
4.0,0.2689151728725114,0.3851118346030601,0.8466175106289585,0.3541662437090872,0.6471705324477927,0.21839144010057737,0.3527530185961792,0.5362639243267491,0.2668032172145376,0.40384073895195266,0.31769266061743195,0.7389621110263543,0.8862019158124559,0.773584264449214,0.7280118461636069,0.6333142115839262,0.2748668920015331
3.0,0.5140848062693079,0.8265407567369423,0.7539527125542161,0.601800213630333,0.47224808967961857,0.6107415861288068,0.8576531384590147,0.6705006767222479,0.5065949591025597,0.8569139776070985,0.6358591345305267,0.7343140377986451,0.8313118398022391,0.7546607580684057,0.7401564174118033,0.5296478285850197,0.6967000353035963
3.0,0.3776537467453716,0.6428129036729439,0.7789159236022545,0.16899173181102017,0.5848412929669795,0.3059738814706339,0.8592952080459244,0.1492590787907138,0.2953164585838713,0.636641491446523,0.6964776281603556,0.7507883342448919,0.8286610824919679,0.7205094059764914,0.42487999083703576,0.6065518036551052,0.6689839511962601
4.0,0.43183486679504857,0.4748514883958351,0.17720959907605616,0.0964975613587099,0.31670176979834896,0.629885374528405,0.6579901375822347,0.5695753549333392,0.7251495221747267,0.2919227736365691,0.3798433318946659,0.37331788006549776,0.7101304728014086,0.8055815811559434,0.45580044337797543,0.5523486831485469,0.36487480418715845
2.0,0.45547168329648297,0.3419116843802088,0.8678629840377817,0.5845514963256956,0.6683153437262445,0.23481402316544467,0.2782446327268454,0.7709147310248431,0.32030443101329575,0.7358283440019378,0.1654853138745106,0.790189706604526,0.9366761981745764,0.7582572654978433,0.8505218752811998,0.6392986676059799,0.34792874521768874
2.0,0.006806360517343439,0.3947942428281728,0.8044718736898872,0.654853919665511,0.5511131852216492,0.4580445976100377,0.5574037683196562,0.563499702101089,0.3076811097884043,0.24961008744812632,0.3434371065365396,0.5340786793785594,0.8232069700222551,0.7074675903405964,0.5399264368255415,0.49569046245966975,0.3877136991093163
1.0,0.6461681589413596,0.4875528791173339,0.8880095698153646,0.8426992127749882,0.7040752779077334,0.13496039780215258,0.3412062145930569,0.9095142938249241,0.06839439258426645,0.9562078502884096,0.0,0.9124169379480914,0.9622549860229129,0.27600166463549086,0.9328844987835934,0.7001736042103857,0.16178065538461758
2.0,0.44111244516602366,0.6638983314511244,0.6297590362813096,0.5218853603116724,0.1130359809771698,0.3812715816479547,1.0,0.5702400910676949,0.3594576834304537,0.5979465961713377,0.523167966996965,0.5818483736998907,0.8165074590813597,0.8853766550620891,0.7558520398123738,0.49855035051549257,0.18691106752306963
2.0,0.4254858081738365,0.40947131678285886,0.8416946670425669,0.6446385363682648,0.7110316504567505,0.4245568015061471,0.42016888426738414,0.5933909499236375,0.4288352992714786,0.6172924034756665,0.2591481165383168,0.5669710928056609,0.9230160464061836,0.9509778401267415,0.8113561381396622,0.5807788838758724,0.39399197282570203
3.0,0.2579002158613573,0.6002385431773318,0.8036712088235042,0.6209829706729714,0.4400461734583082,0.668295846081834,0.6890995876941829,0.6699132778425454,0.7933017694232327,0.7626320407690343,0.487586667334448,0.382666938452087,0.8054366666956475,0.7028311195111199,0.7176743432525504,0.47050998174411895,0.45158903930395383
1.0,0.6280153597159116,0.442212742831845,0.9624188008460023,0.8371102437264992,1.0,0.034248864100924786,0.2200609267898166,0.9540437970313415,0.05223549982538455,0.9868435331296231,0.13283973184381975,0.9425138052918027,0.9460288417385638,0.30656008200986756,0.9363855427622205,0.8486250950945882,0.20676913886820747
3.0,0.23891274118370198,0.8772271080700612,0.37738895746471285,0.04976694092723073,0.2736404171936406,0.6296540185482128,0.9827120294525247,0.5561197311728996,0.6255458520093103,0.7815108568071472,0.6171957656888952,0.30727724658278144,0.6718271529145431,0.8697990315167059,0.42155621905223895,0.13166488449419364,0.9196864704613088
4.0,0.2311522271471939,0.10220743294353246,0.7042117899460612,0.34672501519534527,0.39254358213997714,0.3871203102103854,0.6799150714152261,0.6583523758198819,0.6182263866815617,0.3253084458722851,0.5116882956406865,0.2765161070831725,0.8059059251801963,0.9456120583349017,0.8043702734423962,0.3613683488373181,0.20440722438356962
4.0,0.30609811291027067,0.278878050524395,0.8523229943444286,0.25958513294259833,0.5374875901205242,0.7550345433135371,0.16260054005340596,0.5644559980046023,0.4025440729658705,0.07869255432203333,0.38181372873674313,0.4419274398474198,0.6618736460337735,0.6141033231621912,0.4058543179624376,0.5421666320699297,0.23357430401224255
4.0,0.3413749167173868,0.24617548865745834,0.7888834187355549,0.5924089918317018,0.7193230513348515,0.266460766327475,0.4074537191970377,0.4590739807570144,0.40820918537458406,0.15024813415610622,0.3596258284601752,0.5578628341062288,0.8576004879263766,0.8641338101465033,0.7481436464451797,0.71818996311391,0.05856748251975423
2.0,0.46575768913306254,0.5544876467777122,0.7332493399742953,0.08601402615338581,0.09627437692272355,0.4664950127632707,0.5519720967878408,0.46752924830661446,0.21305762511854157,0.5374003563654275,0.4533448096000015,0.6561486803452434,0.8309959325823075,0.8344346751374625,0.6208467317167933,0.4485513686171575,0.4153275520624912
3.0,0.5714156526195198,0.6071657168302664,0.8011794412780657,0.2950865163988342,0.42881921800038764,0.19980660842408374,0.8137986641899974,0.5913521808577341,0.4708335913599253,0.7570290077317453,0.48863102689285315,0.6581575656344172,0.8149176796997986,0.7773687696214664,0.7095546843798956,0.5406547609666532,0.4082327109856771
3.0,0.4070077458275408,0.5477714819531153,0.8096492277401741,0.5633513119906199,0.4998823713394272,0.19611744933133518,0.8452389269625447,0.8002050954013301,0.5514336930975924,0.8237268962314507,0.41252669043957224,0.674379492937658,0.8685775886883913,0.6935525027247855,0.8226562868075626,0.6459308516194242,0.40221488475614364
1.0,0.6197840825770597,0.44920541663770286,0.9039064096846071,0.795368460284631,0.8597529778802324,0.01838045915090147,0.20380301517366256,0.8521819897509805,0.0,0.8134203913734548,0.15523095757128594,0.814256362917811,0.9207240983089996,0.2841830804130435,0.9159975104768591,0.7605194654158766,0.1661020602254617
2.0,0.2216261450056598,0.3159033367445817,0.8670232425939908,0.22131046553898717,0.2774541223875082,0.28778928241395413,0.46629506905832707,0.5761332144758268,0.4876224043881829,0.3008144678434048,0.3673640662214313,0.5204175848213376,0.7581598621775695,0.9610591951413696,0.6296579766020706,0.583429777741659,0.2958683151558244
