Type,34046_at,39631_at,41038_at,41641_at,32052_at,33329_at,34224_at,36908_at,38671_at,38702_at,39026_r_at,40808_at,32254_at,34847_s_at,34849_at,36139_at,36156_at,36989_at,39105_at,39182_at,40594_r_at,32562_at,1955_s_at,1817_at,613_at
3,0.4666895114080928,0.13466332470672943,0.3457246020022977,0.7746000744047619,0.030300565724045447,0.1797863534234696,0.5249818609422302,0.08006019713565286,0.5094805117287757,0.544929467955126,0.009299302024698237,0.0036509996261024475,0.054020961640093984,0.10897849258430377,0.1836642726376567,0.2554439632666851,0.038059611909404434,0.3747847433407833,0.4780944707422701,0.3282211713350309,0.12958403337002491,0.08494588744588745,0.10989132436912878,0.2890503275703479,1.0
1,0.2335018133013507,0.0558419769187401,0.20695880518627932,0.05535404265873016,0.4252652245211396,0.18246679017698772,0.16810528159323476,0.12333436319602938,0.3899444897634349,0.15044985004998335,0.02289367432181157,0.007047332188874985,0.014305822270826904,0.13756021697075446,0.1497817208843825,0.07893362818268372,0.030422383503067543,0.40552522624848863,0.3076845603786887,0.26764641687886503,0.6255865824691502,0.019025974025974023,0.09110333394731997,0.4212798708490548,0.010513925897041513
3,0.1889831234472715,0.0693728391036483,0.08550795995404561,0.11923363095238096,0.44896851351325795,0.2732862942961883,0.14413670594710898,0.08487397470524333,0.15895027954079705,0.4777296456736643,0.027066329814963732,0.002173930658788965,0.06064538409615355,0.06914994499867239,0.13896634276862413,0.48561073743051075,0.08214075989449335,0.1469241197376617,0.06375264377077249,0.1992288104765369,0.08162910607728406,0.17214285714285715,0.13608399336894458,0.32781438306020155,0.37041128995376094
1,0.25317684685456465,0.08981856961397647,0.149844083374364,0.06037636408730158,0.08911619567129372,0.2652449840356341,0.1891966273862243,0.16756530492241148,0.4685541473508287,0.24919471287348655,0.024164255306575153,0.0017768815555064222,0.05635468392714182,0.052858172438645074,0.2806365300661879,0.11078350072176663,0.07364053116696462,0.3476715641373246,0.3005337899083493,0.2682720989450709,0.409144893111639,0.35958874458874457,0.12274820408915087,0.2128925681890709,0.011464704452291375
3,0.2813044347354294,0.11552856628560172,0.16527162317413427,0.3327752976190476,0.019738870405501763,0.4566202845993142,0.2590757837323926,0.06842939294577274,0.3154931258828913,0.6406197934021993,0.027049445017824015,0.004888450038373696,0.025995363950793,0.14078443272768654,0.20070412617941133,0.41340336005405565,0.05804163814331644,0.13153555856813104,0.05962332561184409,0.1523463077482721,0.8765714616766122,0.12006493506493507,0.10668631423834961,0.2499859210452216,0.8141288100344447
3,0.299922898997687,0.13147080200245892,0.29468242245199405,0.1733940972222222,0.012110769184211174,0.339272340257795,0.13905776977157294,0.05725704376252031,0.11828256501064444,0.8604909474619571,0.053273645575444444,0.009260620484724029,0.12500588663132944,0.1341842734134962,0.1400647796085058,0.26776006634110383,0.050926752036648315,0.2653427618803356,0.2995266391378789,0.15190978537650054,0.09472220612942471,0.09743506493506493,0.1836065573770492,0.2577950479623059,0.14954663508637642
1,0.3236243182272481,0.06342252019100794,0.5547349417364188,0.17626178075396826,0.1552232538873432,0.37518230911742684,0.7207085491255724,0.21967967948015188,0.2053082907224289,0.3220593135621459,0.045810565239690244,0.010773574356415816,0.008152330321122279,0.19432538026779958,0.234305027460921,0.49491692005282717,0.02339833953547223,0.2750155717583263,0.6188941484540235,0.4008439432520916,0.4782457563292973,0.1906168831168831,0.21381469883956533,0.4226502224474854,0.011946111315709027
1,0.04276250035694909,0.25020547619532807,0.24478910224848185,0.08061290922619047,0.4937365590889403,0.35872521581457695,0.28213115164252295,0.11565025862842221,0.29889974333976643,0.4046151282905697,0.023013978501432043,0.005588205673750656,0.06173637310254251,0.11784508591586694,0.17189128291789887,0.2872324088577659,0.04525236270670642,0.8865460008060674,0.20661698056199013,0.07687886504183339,0.5088204623138869,0.28205627705627706,0.2903849696076626,0.31264665577894163,0.012747653743299418
1,0.3208829492561181,0.09085444134248977,0.5420974889217135,0.10738312251984125,0.12017994980168452,0.2646340021285822,0.4829242663063874,0.15794771619641806,0.7460356936789956,0.1875763634344107,0.06147121458677625,0.004796422622306751,0.10491285169351844,0.16340135796381292,0.23433319250809742,0.12862802911637336,0.04920237357531949,0.342432125453413,0.7224796051968979,0.31804292469989087,0.18098603788888248,0.32753787878787877,0.22446122674525698,0.6618704360721593,0.015154688060387679
4,0.02058882321025729,0.1046468186850882,0.4783357951747907,0.13160342261904762,0.4856980194929857,0.8568331428120936,0.3991843678851109,0.0902857370660873,0.5246214758958238,0.26707764078640445,0.6986359194510753,0.7371778027557292,0.46303457153172767,0.6710351629177256,0.6277144064216308,0.2646272919929973,0.10818649891151652,0.5931923936540505,0.3833215832410111,0.12841033102946525,0.11189965818898094,0.6882683982683981,0.2743046601584086,0.7998911227497137,0.026022448002041166
