Type,34046_at,35900_at,39631_at,41038_at,41641_at,32052_at,32626_at,34224_at,36894_at,37247_at,37976_at,38671_at,39026_r_at,40808_at,41214_at,32254_at,33823_at,34317_g_at,34847_s_at,36105_at,36139_at,37363_at,39105_at,39182_at,40165_at,41337_at,1955_s_at,1910_s_at,1814_at,1555_f_at,607_s_at
3,0.4666895114080928,0.3462972828982419,0.13466332470672943,0.3457246020022977,0.7746000744047619,0.030300565724045447,0.06776290259992239,0.5249818609422302,0.08199398614700315,0.17101769911504427,0.2316073830434144,0.5094805117287757,0.009299302024698237,0.0036509996261024475,0.5490668386313633,0.054020961640093984,0.48645141592244867,0.48894542760986126,0.10897849258430377,0.007974255223492108,0.2554439632666851,0.5366325898389096,0.4780944707422701,0.3282211713350309,0.033317200279639594,0.12897818279495013,0.10989132436912878,0.1055121700963347,0.1877518936687152,0.4085816616383493,0.04752111641571795
1,0.2335018133013507,0.13058071390516782,0.0558419769187401,0.20695880518627932,0.05535404265873016,0.4252652245211396,0.12335079549864184,0.16810528159323476,0.05826520515308425,0.20855457227138643,0.08768776914991014,0.3899444897634349,0.02289367432181157,0.007047332188874985,0.02911387603368485,0.014305822270826904,0.21868559651934968,0.5837265100400959,0.13756021697075446,0.04070960392391499,0.07893362818268372,0.37558085501858735,0.3076845603786887,0.26764641687886503,0.04576409564456438,0.07411184177800771,0.09110333394731997,0.7186912158695776,0.12226668572245249,0.24439386721713507,0.05292691883951523
3,0.1889831234472715,0.5526371870005328,0.0693728391036483,0.08550795995404561,0.11923363095238096,0.44896851351325795,0.37364183158711683,0.14413670594710898,0.18374914739703918,0.17020648967551624,0.04743820148519887,0.15895027954079705,0.027066329814963732,0.002173930658788965,0.5458425005690009,0.06064538409615355,0.1990687733760782,0.935814238096005,0.06914994499867239,0.050539673525405046,0.48561073743051075,0.21282527881040889,0.06375264377077249,0.1992288104765369,0.04151083603439762,0.15235731269337527,0.13608399336894458,0.3562104543122613,0.16285550950407318,0.4279186294747614,0.1936099889827396
1,0.25317684685456465,0.20697922216302614,0.08981856961397647,0.149844083374364,0.06037636408730158,0.08911619567129372,0.49582848273185876,0.1891966273862243,0.10065037994869971,0.1968289085545723,0.239293343731986,0.4685541473508287,0.024164255306575153,0.0017768815555064222,0.3397314316060997,0.05635468392714182,0.4484390504541638,0.24949678749134474,0.052858172438645074,0.49042852748396876,0.11078350072176663,0.012159231722428743,0.3005337899083493,0.2682720989450709,0.012383340910979763,0.19518091467115017,0.12274820408915087,0.2704782534344183,0.25969701300557385,0.16944547363220946,0.08214469335291956
3,0.2813044347354294,0.5096430474160896,0.11552856628560172,0.16527162317413427,0.3327752976190476,0.019738870405501763,0.24597400077609624,0.2590757837323926,0.04177994677836165,0.18960176991150443,0.13768042227572255,0.3154931258828913,0.027049445017824015,0.004888450038373696,0.21670396783248613,0.025995363950793,0.041676207923059316,0.4464716080793115,0.14078443272768654,0.06404418798824989,0.41340336005405565,0.31726301115241634,0.05962332561184409,0.1523463077482721,0.028516394604715736,0.10058000139279923,0.10668631423834961,0.3681810408710027,0.07646134057453195,0.04107341343354682,0.1492030848329049
3,0.299922898997687,0.7589770911028236,0.13147080200245892,0.29468242245199405,0.1733940972222222,0.012110769184211174,0.3241171905316259,0.13905776977157294,0.016648573871441884,0.31305309734513276,0.18652018129824915,0.11828256501064444,0.053273645575444444,0.009260620484724029,0.039697291556027615,0.12500588663132944,0.36791084650026723,0.8983483894515922,0.1341842734134962,0.02126580738066505,0.26776006634110383,0.9229011771995044,0.2995266391378789,0.15190978537650054,0.029406156959946028,0.3005262791368625,0.1836065573770492,0.31858861084193124,0.03557238816635701,0.1266783111910937,0.08458318031582812
1,0.3236243182272481,0.6955780500799148,0.06342252019100794,0.5547349417364188,0.17626178075396826,0.1552232538873432,0.40749902987970504,0.7207085491255724,0.11023796028551391,0.4212389380530974,0.22984413323838915,0.2053082907224289,0.045810565239690244,0.010773574356415816,0.19956755936575374,0.008152330321122279,0.5298068849706129,0.6100438532927543,0.19432538026779958,0.33335361545768305,0.49491692005282717,0.14602695167286245,0.6188941484540235,0.4008439432520916,0.0477587277376081,0.15603330779868083,0.21381469883956533,0.7945049307416063,0.15608117764756327,0.3581926286631733,0.049122291590157914
1,0.04276250035694909,0.307858284496537,0.25020547619532807,0.24478910224848185,0.08061290922619047,0.4937365590889403,0.6978075281334885,0.28213115164252295,0.08379045661091523,0.4204646017699115,0.026126614899460856,0.29889974333976643,0.023013978501432043,0.005588205673750656,0.5722393976177832,0.06173637310254251,0.3752385314098161,0.33411700294681235,0.11784508591586694,0.37875515081449634,0.2872324088577659,0.07632434944237919,0.20661698056199013,0.07687886504183339,0.14682545502544622,0.19296735875523544,0.2903849696076626,0.5064983184176025,0.31250535943975993,0.4193263819051148,0.23996327579875137
1,0.3208829492561181,0.4562067128396377,0.09085444134248977,0.5420974889217135,0.10738312251984125,0.12017994980168452,0.5891783081102057,0.4829242663063874,0.1421325161153968,0.32304572271386434,0.37243000689475886,0.7460356936789956,0.06147121458677625,0.004796422622306751,0.05621254077839315,0.10491285169351844,0.4567971910541181,0.40514645496851903,0.16340135796381292,0.23546701281492222,0.12862802911637336,0.27656443618339527,0.7224796051968979,0.31804292469989087,0.10516795486656008,0.10480565476486564,0.22446122674525698,0.735678048224363,0.16123338573674434,0.4731029128954286,0.2068233565919941
4,0.02058882321025729,0.5770378263185936,0.1046468186850882,0.4783357951747907,0.13160342261904762,0.4856980194929857,0.2404443150950718,0.3991843678851109,0.6960218266357968,0.462094395280236,0.027805093079244517,0.5246214758958238,0.6986359194510753,0.7371778027557292,0.057080267051058335,0.46303457153172767,0.40813678345164495,0.19605159337208733,0.6710351629177256,0.021810044384048783,0.2646272919929973,0.4435021685254027,0.3833215832410111,0.12841033102946525,0.6233078626637137,0.43627943531939883,0.2743046601584086,0.7872655760132247,0.23601543518650855,0.27375218334833007,0.2626367976496511
