Type,31740_s_at,35900_at,38952_s_at,39631_at,40304_at,32052_at,34224_at,35183_at,36894_at,36908_at,40808_at,32254_at,34847_s_at,34849_at,36989_at,37363_at,39182_at,40165_at,40607_at,41337_at,41792_at,1955_s_at,1910_s_at,1817_at,1555_f_at,613_at
3,0.0,0.3462972828982419,0.12962808885930607,0.13466332470672943,0.27718121754877406,0.030300565724045447,0.5249818609422302,0.025995544526982564,0.08199398614700315,0.08006019713565286,0.0036509996261024475,0.054020961640093984,0.10897849258430377,0.1836642726376567,0.3747847433407833,0.5366325898389096,0.3282211713350309,0.033317200279639594,0.14981916913254212,0.12897818279495013,0.022703475327006496,0.10989132436912878,0.1055121700963347,0.2890503275703479,0.4085816616383493,1.0
1,0.26489529750091134,0.13058071390516782,0.18637157833430404,0.0558419769187401,0.03268112558889691,0.4252652245211396,0.16810528159323476,0.025868698320080548,0.05826520515308425,0.12333436319602938,0.007047332188874985,0.014305822270826904,0.13756021697075446,0.1497817208843825,0.40552522624848863,0.37558085501858735,0.26764641687886503,0.04576409564456438,0.0218693987506231,0.07411184177800771,0.04659530972127578,0.09110333394731997,0.7186912158695776,0.4212798708490548,0.24439386721713507,0.010513925897041513
3,0.1236178055004253,0.5526371870005328,0.07679507446542977,0.0693728391036483,0.6104155171682016,0.44896851351325795,0.14413670594710898,0.027327429699453766,0.18374914739703918,0.08487397470524333,0.002173930658788965,0.06064538409615355,0.06914994499867239,0.13896634276862413,0.1469241197376617,0.21282527881040889,0.1992288104765369,0.04151083603439762,0.14813282849173268,0.15235731269337527,0.045955424069672735,0.13608399336894458,0.3562104543122613,0.32781438306020155,0.4279186294747614,0.37041128995376094
1,0.4221718174085625,0.20697922216302614,0.15542058407521425,0.08981856961397647,0.0248716098637579,0.08911619567129372,0.1891966273862243,0.13028691026423647,0.10065037994869971,0.16756530492241148,0.0017768815555064222,0.05635468392714182,0.052858172438645074,0.2806365300661879,0.3476715641373246,0.012159231722428743,0.2682720989450709,0.012383340910979763,0.3051215968267099,0.19518091467115017,0.03368125384346901,0.12274820408915087,0.2704782534344183,0.2128925681890709,0.16944547363220946,0.011464704452291375
3,0.1711288428044878,0.5096430474160896,0.08037274315666865,0.11552856628560172,0.354866092271126,0.019738870405501763,0.2590757837323926,0.11430428819458205,0.04177994677836165,0.06842939294577274,0.004888450038373696,0.025995363950793,0.14078443272768654,0.20070412617941133,0.13153555856813104,0.31726301115241634,0.1523463077482721,0.028516394604715736,0.1329239449765079,0.10058000139279923,0.03945684511443149,0.10668631423834961,0.3681810408710027,0.2499859210452216,0.04107341343354682,0.8141288100344447
3,0.1711288428044878,0.7589770911028236,0.18395873200765456,0.13147080200245892,0.04564039443713481,0.012110769184211174,0.13905776977157294,0.05826997629561508,0.016648573871441884,0.05725704376252031,0.009260620484724029,0.12500588663132944,0.1341842734134962,0.1400647796085058,0.2653427618803356,0.9229011771995044,0.15190978537650054,0.029406156959946028,0.16262050972032197,0.3005262791368625,0.07869762494390613,0.1836065573770492,0.31858861084193124,0.2577950479623059,0.1266783111910937,0.14954663508637642
1,0.1812953137024586,0.6955780500799148,0.6423995340710542,0.06342252019100794,0.06065107593056322,0.1552232538873432,0.7207085491255724,0.03207623457034811,0.11023796028551391,0.21967967948015188,0.010773574356415816,0.008152330321122279,0.19432538026779958,0.234305027460921,0.2750155717583263,0.14602695167286245,0.4008439432520916,0.0477587277376081,0.13368757092706313,0.15603330779868083,0.07886382900925756,0.21381469883956533,0.7945049307416063,0.4226502224474854,0.3581926286631733,0.011946111315709027
1,0.48643120417999913,0.307858284496537,0.2653298943339712,0.25020547619532807,0.0486962918947979,0.4937365590889403,0.28213115164252295,0.3028175713708111,0.08379045661091523,0.11565025862842221,0.005588205673750656,0.06173637310254251,0.11784508591586694,0.17189128291789887,0.8865460008060674,0.07632434944237919,0.07687886504183339,0.14682545502544622,0.25413365575317914,0.19296735875523544,0.0657087772366912,0.2903849696076626,0.5064983184176025,0.31264665577894163,0.4193263819051148,0.012747653743299418
1,0.24413706508971608,0.4562067128396377,0.38018969964223315,0.09085444134248977,0.058422817367683885,0.12017994980168452,0.4829242663063874,0.09750112972403022,0.1421325161153968,0.15794771619641806,0.004796422622306751,0.10491285169351844,0.16340135796381292,0.23433319250809742,0.342432125453413,0.27656443618339527,0.31804292469989087,0.10516795486656008,0.13170426463881554,0.10480565476486564,0.09577509265876642,0.22446122674525698,0.735678048224363,0.6618704360721593,0.4731029128954286,0.015154688060387679
4,0.2900887034711815,0.5770378263185936,0.34994591896164406,0.1046468186850882,0.061514084008884744,0.4856980194929857,0.3991843678851109,0.11782427043611308,0.6960218266357968,0.0902857370660873,0.7371778027557292,0.46303457153172767,0.6710351629177256,0.6277144064216308,0.5931923936540505,0.4435021685254027,0.12841033102946525,0.6233078626637137,0.6106250066286975,0.43627943531939883,0.9798976182957435,0.2743046601584086,0.7872655760132247,0.7998911227497137,0.27375218334833007,0.026022448002041166
