Method,Dataset,Feature Selection method,Classification method,No. genes,No. selected genes,Iterations,Initialized particles,Accuracy,Precision,Sensitivity,F-measure
Hybrid approach,chi2_lung_cancer_df,Artificial_Bee_Colony,Naive_Bayes,501,14,50,10,0.875,0.9019999999999999,0.875,0.8828511530398322
Hybrid approach,chi2_lung_cancer_df,Artificial_Bee_Colony,SVM,501,14,50,10,0.8,0.6444444444444445,0.8,0.7125000000000001
Hybrid approach,chi2_lung_cancer_df,Artificial_Bee_Colony,kNN,501,14,50,10,0.9,0.8966666666666667,0.9,0.8960317460317461
Hybrid approach,chi2_lung_cancer_df,Artificial_Bee_Colony,Random_Forest,501,14,50,10,0.85,0.8383333333333333,0.85,0.8424603174603174
Hybrid approach,Ridge_lung_cancer_df,Artificial_Bee_Colony,Naive_Bayes,1001,118,50,10,0.65,0.8344444444444445,0.65,0.6670534117045743
Hybrid approach,Ridge_lung_cancer_df,Artificial_Bee_Colony,SVM,1001,118,50,10,0.825,0.76,0.825,0.7622222222222222
Hybrid approach,Ridge_lung_cancer_df,Artificial_Bee_Colony,kNN,1001,118,50,10,0.8,0.74375,0.8,0.7673809523809523
Hybrid approach,Ridge_lung_cancer_df,Artificial_Bee_Colony,Random_Forest,1001,118,50,10,0.825,0.8201149425287356,0.825,0.8211779448621552
Hybrid approach,SVM_RFE_lung_cancer_df,Artificial_Bee_Colony,Naive_Bayes,51,46,50,10,0.925,0.9290740740740742,0.925,0.9257070707070707
Hybrid approach,SVM_RFE_lung_cancer_df,Artificial_Bee_Colony,SVM,51,46,50,10,0.975,0.9800000000000001,0.975,0.9761616161616162
Hybrid approach,SVM_RFE_lung_cancer_df,Artificial_Bee_Colony,kNN,51,46,50,10,0.95,0.9550000000000001,0.95,0.9496031746031747
Hybrid approach,SVM_RFE_lung_cancer_df,Artificial_Bee_Colony,Random_Forest,51,46,50,10,0.95,0.9550000000000001,0.95,0.9496031746031747
Hybrid approach,chi2_lung_cancer_df,Particle_Swarm_Optimization,Naive_Bayes,501,248,50,10,0.95,0.9550000000000001,0.95,0.9496031746031747
Hybrid approach,chi2_lung_cancer_df,Particle_Swarm_Optimization,SVM,501,248,50,10,0.95,0.9550000000000001,0.95,0.9496031746031747
Hybrid approach,chi2_lung_cancer_df,Particle_Swarm_Optimization,kNN,501,248,50,10,0.975,0.9800000000000001,0.975,0.9761616161616162
Hybrid approach,chi2_lung_cancer_df,Particle_Swarm_Optimization,Random_Forest,501,248,50,10,0.95,0.9550000000000001,0.95,0.9496031746031747
Hybrid approach,Ridge_lung_cancer_df,Particle_Swarm_Optimization,Naive_Bayes,1001,388,50,10,0.675,0.8444444444444444,0.675,0.6944388944388944
Hybrid approach,Ridge_lung_cancer_df,Particle_Swarm_Optimization,SVM,1001,388,50,10,0.925,0.9267241379310345,0.925,0.9238721804511278
Hybrid approach,Ridge_lung_cancer_df,Particle_Swarm_Optimization,kNN,1001,388,50,10,0.825,0.8084482758620689,0.825,0.8112573099415205
Hybrid approach,Ridge_lung_cancer_df,Particle_Swarm_Optimization,Random_Forest,1001,388,50,10,0.8,0.7833333333333334,0.8,0.7867816091954023
Hybrid approach,SVM_RFE_lung_cancer_df,Particle_Swarm_Optimization,Naive_Bayes,51,26,50,10,0.9,0.8966666666666667,0.9,0.8960317460317461
Hybrid approach,SVM_RFE_lung_cancer_df,Particle_Swarm_Optimization,SVM,51,26,50,10,0.875,0.7896774193548387,0.875,0.8295668549905837
Hybrid approach,SVM_RFE_lung_cancer_df,Particle_Swarm_Optimization,kNN,51,26,50,10,0.95,0.9550000000000001,0.95,0.9496031746031747
Hybrid approach,SVM_RFE_lung_cancer_df,Particle_Swarm_Optimization,Random_Forest,51,26,50,10,0.925,0.9317241379310344,0.925,0.9187134502923977
Hybrid approach,chi2_lung_cancer_df,Artificial_Bee_Colony,Naive_Bayes,501,131,50,20,0.95,0.9550000000000001,0.95,0.9496031746031747
Hybrid approach,chi2_lung_cancer_df,Artificial_Bee_Colony,SVM,501,131,50,20,0.95,0.9550000000000001,0.95,0.9496031746031747
Hybrid approach,chi2_lung_cancer_df,Artificial_Bee_Colony,kNN,501,131,50,20,0.975,0.9800000000000001,0.975,0.9761616161616162
Hybrid approach,chi2_lung_cancer_df,Artificial_Bee_Colony,Random_Forest,501,131,50,20,0.925,0.9290740740740742,0.925,0.9257070707070707
Hybrid approach,Ridge_lung_cancer_df,Artificial_Bee_Colony,Naive_Bayes,1001,34,50,20,0.625,0.8363636363636363,0.625,0.6438095238095236
Hybrid approach,Ridge_lung_cancer_df,Artificial_Bee_Colony,SVM,1001,34,50,20,0.725,0.6025641025641025,0.725,0.6250746268656717
Hybrid approach,Ridge_lung_cancer_df,Artificial_Bee_Colony,kNN,1001,34,50,20,0.7,0.6055555555555555,0.7,0.6354166666666667
Hybrid approach,Ridge_lung_cancer_df,Artificial_Bee_Colony,Random_Forest,1001,34,50,20,0.8,0.79875,0.8,0.768888888888889
