Type,209311_at,212664_at,220990_s_at,242826_at,215423_at,208396_s_at,212731_at,226628_at
1.0,0.9818622845551691,0.8821947708973805,0.4202260179489568,0.8102574882981419,0.9079116249464905,0.8275203673504861,0.862213717314735,0.42198544176569946
3.0,0.2732843861965794,0.18674833676524646,0.4236180989305571,0.46268634426594696,0.34567387338761973,0.22626275161776593,0.5248857773749166,0.7697134421109925
4.0,0.37358990144873755,0.40157264081039745,0.1439298777159348,0.7326179447017515,0.5025021067790392,0.39773568267517817,0.6978401453639599,0.8291436542779338
3.0,0.6572727933658635,0.8756637357070693,0.4987170271523317,0.5267363168693785,0.9355416178226317,0.6589028508363811,0.6573976086481619,0.549909606069533
3.0,0.2658295507628952,0.3988644280134354,0.3510245742677234,0.2705312416151004,0.47556324869450317,0.4081648675539166,0.39744016896913587,0.7150738995608338
1.0,0.8995822824308088,0.95076156277719,0.3971729244215464,0.9794179005765046,0.8634583080111571,0.8132489162994528,0.8398035806804741,0.4405582636164599
4.0,0.6806032204962261,0.4898043461947675,0.4098341104952919,0.7515155291619102,0.2995486874297678,0.2391413002720809,0.7766023577556147,0.749735677312905
2.0,0.6291855671686939,0.7527409546306311,0.6368111170773221,0.4107704806479452,0.7762987086298571,0.6206238919334222,0.6792115627254377,0.5557455219946512
1.0,0.8282701464901483,0.9370408669402568,0.3524879960942884,0.770655344202809,0.8651119082540566,0.755183434836965,0.9178001715514955,0.24630461391985717
2.0,0.8482670500367376,0.859681787974121,0.19535525968464104,0.7230003707883578,0.7210844310877692,0.6207162800708729,0.8026895009582891,0.5617668642708465
1.0,0.9627020274991597,0.874810816806931,0.273880512500728,0.9304898106482938,1.0,0.6860936674570437,0.9053686770195125,0.5190901204800062
3.0,0.5003243422631232,0.128262812993959,0.7221711256888407,0.20418341370772738,0.35856352097498134,0.10924534240636051,0.4223287286442021,0.7635819607920963
3.0,0.38459746606754924,0.24131475701413788,0.5655577878847167,0.03313398867557809,0.07762751210476812,0.19436240305590158,0.7330628529578753,1.0
3.0,0.6481808969980354,0.7957092763836595,0.3953099835755002,0.604125419086291,0.5455697326505607,0.3580953387269495,0.571716091467637,0.8291436542779338
4.0,0.536201097578072,0.6355006704370462,0.09581849155650222,0.6827686449235969,0.6246616013741807,0.5031338521120777,0.8377806810968865,0.613708994756645
3.0,0.12198026000430055,0.17432645105738254,0.4621834061313377,0.2557752250080099,0.08537584403163159,0.2326473887374483,0.36210596764020614,0.8435092101806227
4.0,0.5929510335390091,0.6175196304563677,0.24781527091462047,0.7323270502586388,0.7605763401622566,0.47642850420082966,0.7562581227362871,0.638877577334709
3.0,0.5120565098298291,0.591702634003894,0.6437001975199281,0.5409058100809511,0.642187970795348,0.4387379913902188,0.5472916205268713,0.7994642688434203
3.0,0.6624379122064836,0.6799773467314775,0.7525225900563777,0.5334360395852077,0.32870455517276687,0.41757941208033184,0.5265441486542374,0.8466455854603537
4.0,0.2028222747628297,0.24988154963872564,0.15846142003010522,0.5971812943421179,0.21153429462889112,0.2832628872186486,0.3440746277828766,0.8024957988178977
2.0,0.7520286941774327,0.8446723193803644,0.20306413170505014,0.8001616631112634,0.7898790951526075,0.6065128066232537,0.9191720278137395,0.600877565064105
2.0,0.47187128547948576,0.4598776554961845,0.1914558457501771,0.7414084176355065,0.625571058095198,0.4453262677953619,0.7162016362816122,0.6299437885816992
1.0,0.8965939112218443,0.9805565710599261,0.31687907701181045,0.8688677708373336,0.9373192809550576,0.7652881244086055,0.8243216735351946,0.3912825695646449
2.0,0.3917027874486882,0.4100754257683341,0.5344756753503205,0.3286389064231756,0.46933877908358745,0.5252474266313284,0.6548000362703755,0.6538513954244984
2.0,0.629477977011961,0.6541708127002737,0.20149173895141087,0.5032944135024683,0.6796669174168458,0.40240716720783776,0.7377069710796736,0.630897846192616
3.0,0.491993556448852,0.6268028650488228,0.5188788213103245,0.45417111404482047,0.6741674459247643,0.44902771104785755,0.5692432640658626,0.6157281849962658
1.0,0.9925589584194617,0.845016950715778,0.2941070936973562,0.8007315385993876,0.8786650191634324,0.7061012530436751,0.977165565079553,0.45973607620720636
3.0,0.30882283094970464,0.160144834356167,0.6688396675204448,0.37760272318827964,0.3829245758436306,0.42813629544683945,0.5322047035933616,0.8458785252919414
4.0,0.33994582359061487,0.6712468689977369,0.34234759090336625,0.5736331653229922,0.1704789979203902,0.444114100638966,0.8589804813189488,0.6176079250862833
4.0,0.3784832974885746,0.36669073721686096,0.04478456979840662,0.5406908869783984,0.6086802143850314,0.6295716519853314,0.8585338957990168,0.6415254955314261
4.0,0.38709916511748843,0.5986446283749614,0.37377861682975844,0.48869629687681093,0.7317600866062993,0.48554733679342355,0.8799848153415629,0.4336171292036482
2.0,0.5736182963635847,0.7137066596575813,0.5255778155378715,0.4849779125462424,0.22398788552318566,0.37712239376525675,0.7026006340526777,0.7413876611247103
3.0,0.6742158976369254,0.7999091478040334,0.6028751030283653,0.6656549392959867,0.6969732811074331,0.5446435795109693,0.597599100592941,0.6943660704970809
3.0,0.7271043617056469,0.7923384010963072,0.5706925415143705,0.590137525690501,0.8627165999310716,0.6599327574437248,0.7155965652325672,0.6784816820460163
1.0,0.8786536735369352,0.9173747456856503,0.36213631789678763,0.7011695856650045,0.8398810659119511,0.8329812406238685,0.793807691426619,0.3738049437668567
2.0,0.5135794056682018,0.5141591958715205,0.19833205888698321,0.4935712936329202,0.4097963153266008,0.45623348918442763,0.6768763478689191,0.7934326036834224
3.0,0.22151985050455245,0.065895999692685,0.37634962488030876,0.20948802939060363,0.25837576142356805,0.35485725026141324,0.2807540970544246,0.9850919270352044
3.0,0.8332068854775309,0.8210931643480138,0.343750364922958,0.7241851880378953,0.919217757859837,0.7756652759550339,0.8353599784690267,0.5020099409061658
2.0,0.5696910757598324,0.7103603310064982,0.5098978535824528,0.5811140226646739,0.5438007902349299,0.465292825609734,0.7087390822726011,0.6549452527108491
3.0,0.5058565932032218,0.28141532180645895,0.7248759134767664,0.22506637367667998,0.32625532618015457,0.3400708910076801,0.4703916027450265,0.9445249458302559
