Type,34046_at,40304_at,41107_at,41641_at,32052_at,36894_at,36908_at,37247_at,38702_at,40808_at,41214_at,36133_at,36139_at,36156_at,37363_at,39105_at,39556_at,40607_at,41792_at,32562_at,1910_s_at,1814_at,1555_f_at,607_s_at
3,0.4666895114080928,0.27718121754877406,0.045541488295837505,0.7746000744047619,0.030300565724045447,0.08199398614700315,0.08006019713565286,0.17101769911504427,0.544929467955126,0.0036509996261024475,0.5490668386313633,0.7145140247879974,0.2554439632666851,0.038059611909404434,0.5366325898389096,0.4780944707422701,0.14398771812225658,0.14981916913254212,0.022703475327006496,0.08494588744588745,0.1055121700963347,0.1877518936687152,0.4085816616383493,0.04752111641571795
1,0.2335018133013507,0.03268112558889691,0.03984880225885782,0.05535404265873016,0.4252652245211396,0.05826520515308425,0.12333436319602938,0.20855457227138643,0.15044985004998335,0.007047332188874985,0.02911387603368485,0.16597086323113722,0.07893362818268372,0.030422383503067543,0.37558085501858735,0.3076845603786887,0.35208770298613956,0.0218693987506231,0.04659530972127578,0.019025974025974023,0.7186912158695776,0.12226668572245249,0.24439386721713507,0.05292691883951523
3,0.1889831234472715,0.6104155171682016,0.1305674469441661,0.11923363095238096,0.44896851351325795,0.18374914739703918,0.08487397470524333,0.17020648967551624,0.4777296456736643,0.002173930658788965,0.5458425005690009,0.5204718417047185,0.48561073743051075,0.08214075989449335,0.21282527881040889,0.06375264377077249,0.1479231085259584,0.14813282849173268,0.045955424069672735,0.17214285714285715,0.3562104543122613,0.16285550950407318,0.4279186294747614,0.1936099889827396
1,0.25317684685456465,0.0248716098637579,0.1204572365424902,0.06037636408730158,0.08911619567129372,0.10065037994869971,0.16756530492241148,0.1968289085545723,0.24919471287348655,0.0017768815555064222,0.3397314316060997,0.2989019352033051,0.11078350072176663,0.07364053116696462,0.012159231722428743,0.3005337899083493,0.4566998940471814,0.3051215968267099,0.03368125384346901,0.35958874458874457,0.2704782534344183,0.25969701300557385,0.16944547363220946,0.08214469335291956
3,0.2813044347354294,0.354866092271126,0.06070680389835139,0.3327752976190476,0.019738870405501763,0.04177994677836165,0.06842939294577274,0.18960176991150443,0.6406197934021993,0.004888450038373696,0.21670396783248613,0.8282235268536638,0.41340336005405565,0.05804163814331644,0.31726301115241634,0.05962332561184409,0.23873981014984755,0.1329239449765079,0.03945684511443149,0.12006493506493507,0.3681810408710027,0.07646134057453195,0.04107341343354682,0.1492030848329049
3,0.299922898997687,0.04564039443713481,0.1406321158575462,0.1733940972222222,0.012110769184211174,0.016648573871441884,0.05725704376252031,0.31305309734513276,0.8604909474619571,0.009260620484724029,0.039697291556027615,0.7334746684061753,0.26776006634110383,0.050926752036648315,0.9229011771995044,0.2995266391378789,0.234588189504184,0.16262050972032197,0.07869762494390613,0.09743506493506493,0.31858861084193124,0.03557238816635701,0.1266783111910937,0.08458318031582812
1,0.3236243182272481,0.06065107593056322,0.48037161854449395,0.17626178075396826,0.1552232538873432,0.11023796028551391,0.21967967948015188,0.4212389380530974,0.3220593135621459,0.010773574356415816,0.19956755936575374,0.24067188519243315,0.49491692005282717,0.02339833953547223,0.14602695167286245,0.6188941484540235,0.34400069193677424,0.13368757092706313,0.07886382900925756,0.1906168831168831,0.7945049307416063,0.15608117764756327,0.3581926286631733,0.049122291590157914
1,0.04276250035694909,0.0486962918947979,0.2290281446397668,0.08061290922619047,0.4937365590889403,0.08379045661091523,0.11565025862842221,0.4204646017699115,0.4046151282905697,0.005588205673750656,0.5722393976177832,0.1655794737986519,0.2872324088577659,0.04525236270670642,0.07632434944237919,0.20661698056199013,0.30724155080329535,0.25413365575317914,0.0657087772366912,0.28205627705627706,0.5064983184176025,0.31250535943975993,0.4193263819051148,0.23996327579875137
1,0.3208829492561181,0.058422817367683885,0.3381227798524456,0.10738312251984125,0.12017994980168452,0.1421325161153968,0.15794771619641806,0.32304572271386434,0.1875763634344107,0.004796422622306751,0.05621254077839315,0.04971732985431616,0.12862802911637336,0.04920237357531949,0.27656443618339527,0.7224796051968979,0.22012238631695025,0.13170426463881554,0.09577509265876642,0.32753787878787877,0.735678048224363,0.16123338573674434,0.4731029128954286,0.2068233565919941
4,0.02058882321025729,0.061514084008884744,0.755305583386465,0.13160342261904762,0.4856980194929857,0.6960218266357968,0.0902857370660873,0.462094395280236,0.26707764078640445,0.7371778027557292,0.057080267051058335,0.25373994346597084,0.2646272919929973,0.10818649891151652,0.4435021685254027,0.3833215832410111,0.8091119423962635,0.6106250066286975,0.9798976182957435,0.6882683982683981,0.7872655760132247,0.23601543518650855,0.27375218334833007,0.2626367976496511
