Type,35343_at,35349_at,35330_at,35753_at,35741_at,35734_at,35299_at,35273_at,36147_at,36207_at,36107_at,35805_at,35806_at,35790_at,36096_at,35815_at,34841_at,33850_at,33835_at,33910_at,33885_at,33359_at,33366_at,34389_at,34396_at,34833_at,34796_at,34310_at,38054_at,38065_at,38378_at,37747_at,37755_at,37733_at,37725_at,38025_r_at,38023_at,38015_at,38743_f_at,38793_at,38825_at,38826_at
3,0.09559965487489215,0.3384103417381288,0.09434897042885895,0.1703300797258028,0.07747231396930249,0.9217105263157894,0.26597902300515736,0.12366025744600632,0.16744502299282477,0.2117008357739838,0.49683517596421645,0.14293617315538346,0.24677453845605532,0.73190001295169,0.5503793834165014,0.6099055656017681,0.16020701458437397,0.17379451354574885,0.07647907647907647,0.24012748756218907,0.2622048926396753,0.06531903190319031,0.2006968076486793,0.39377077053868154,0.21950534007869588,0.1970058926580666,0.2260122155452665,0.28640795042321643,0.3154783518031692,0.9736782676335535,0.741478008227138,0.7210463892554666,0.12767753508494248,0.26837672281776415,0.2029411764705882,0.24983204568357406,0.307688736187204,0.33615487763995977,0.47722376924289395,0.11484907002744178,0.023779999686072608,0.1821998898678414
1,0.3318832023977113,0.0977857417125304,0.1087165195850751,0.08157613689988327,0.0771323100835438,0.27254784688995215,0.18160746363794403,0.055744062045564695,0.4836187306529246,0.0745624687477677,0.40041353700734234,0.21091210842956917,0.40594482856939196,0.10762854552519101,0.18101032196322372,0.5446051838456902,0.5569003496646658,0.16186743908672688,0.01797837863411634,0.13292910447761197,0.17490118577075098,0.16591034103410343,0.3870928536703938,0.3089110441301492,0.22322934232715008,0.36433614694484256,0.698810462023446,1.0,0.2963355652060246,0.14480716633628585,0.4301700083422029,0.20780782787364482,0.3145510182547219,0.2986217457886677,0.28809182209469153,0.2832549546523346,0.2940848732472839,0.5197787462286289,0.4056113066778753,0.4073584713893688,0.6637994631841654,0.3648816079295154
3,0.045102402252395445,0.41962114424676816,0.09437993497445424,0.3080744107493232,0.09954018522116442,0.36608851674641146,0.07150721446369589,0.0,0.16746291624170195,0.12085148939209943,0.16693391847413283,0.2583154691930018,0.3138498823864851,0.25294650951949227,0.40077927404470565,0.3963230861965039,0.4784264271149799,0.2468478446072585,0.1729945828306484,0.3119558457711443,0.2737688281166542,0.05913091309130914,0.25575271430886404,0.37823633974804854,0.28355115233277123,0.3184158836332749,0.10210816668308541,0.3863361547762999,0.1613193708152387,0.32602313502120295,0.11943733279636394,0.42789369059352184,0.16939256445429285,0.4037409757164734,0.8641678622668579,0.22934161907961034,0.16227133438573685,0.0,0.6063153470288447,0.2230917776196768,0.007024125319813526,0.30155561674008813
1,0.02762817310748831,0.2065787789581467,0.05236104660164112,0.2433872289695254,0.21041383330095198,0.9276913875598086,0.1910529060671032,0.13001561910917217,0.2676651099540143,0.111722265876134,0.2947506118659802,0.5152479081667934,0.3168436809466106,0.5374303846651988,0.4960010937179574,0.532147880249146,0.07272533717664208,0.13601124552734709,0.02604499325810801,0.0886971393034826,0.14835487661574617,0.0787953795379538,0.34159779614325064,0.38364634052090585,0.26324480044969084,0.05966979880023359,0.30477292877549006,0.46359204957678357,0.20114450044298554,0.18917020048678895,0.6654201305986249,0.5367088184688371,0.07062713235552741,0.46625464887333185,0.1848995695839311,0.21741686261336918,0.4079301699322128,0.28930606771706335,0.47680344664530033,0.20967578005894907,0.011536831530866909,0.4721916299559471
3,0.08235774942100722,0.43043645206706765,0.08453320947515094,0.46818418895760366,0.15567320769380216,0.3742822966507177,0.4837457263719071,0.026390908601281834,0.28237336053107165,0.07361954425316093,0.21997636931386616,0.22418919853398797,0.5137215767339082,0.19848465224711817,0.37774283956524707,0.41390395820775566,0.15844640795302864,0.10887715113307207,0.04452014288079862,0.2290111940298508,0.34710501014848844,0.07515126512651266,0.17902284880894506,0.46394620913517276,0.041561270376616076,0.5630939109199978,0.08750369421731848,0.39663316203143895,0.26606730475955326,0.2192306727222543,0.200903259212381,0.4137781267226835,0.08293763849319404,0.34248523299059286,0.4161764705882353,0.36630836412495804,0.10850589655492618,0.3382500838082467,0.28592444701308256,0.23864213842870208,0.016426250608234313,0.1691216960352423
3,0.11005858044593798,0.5776270318699603,0.1287815451308252,0.990810421478777,0.28689851693543156,0.6718301435406698,0.28058179289563656,0.2766198093391501,0.5955767888775565,0.18621330095006786,0.4144231580724112,0.26512689302261255,0.41571031434884875,0.7465354228726847,0.3696766696288194,0.7913401647578863,0.20744040551274595,0.2855256432100869,0.48288505665554843,0.3255597014925374,0.6910586475803867,0.23617986798679869,0.3919543023821099,0.37931833990262004,0.44909359190556486,1.0,0.1731479657176633,0.34255970374848854,0.2427706206155321,0.7550498080445639,0.12294681126485055,0.3082872559009739,0.20868066547078892,0.47527893239991253,0.4584648493543759,0.42450453476654354,0.6056736930077072,0.5654542406972847,0.3479220301581464,0.43632482975912185,0.031745907171671195,0.37954295154185025
1,0.09714363562054404,0.32471521822603355,0.2092583991329927,0.051126344286317446,0.09716015802085354,0.3002392344497607,0.49730544127020926,0.2426347821403565,0.06241165208366882,0.04998928494892492,0.2308211663431513,0.2491183182352534,0.6650509658564401,0.6485558865431937,0.655615558137945,0.5812738597548724,0.21937977513368323,0.4172346225932868,0.14243133915265063,0.5151585820895523,0.2418010896271766,0.3928080308030803,0.4254577864203533,0.4800216400030915,0.42717116357504215,0.4811275680840898,0.034836469313368146,0.4179640266021765,0.2645858447952826,0.17436579429403057,0.19095014814601735,0.27626413644488246,0.20628890999261368,0.42769634653248734,0.3723098995695839,0.6225226738327175,0.13283498932119975,0.5866577271203487,0.412651710187569,0.6675475149913608,0.03564645497496429,0.3526294052863436
1,0.0925116933835884,0.28577371048252914,0.12478711874903235,0.4511896778680178,0.13327342788679486,0.1688098086124402,0.25036217187228377,0.2563149674153066,0.32028020827741693,0.08158439888563469,0.1250949447210735,0.5497199363806099,0.7285979043410078,0.2210853516383888,0.13868001914006425,0.37743620655013066,0.3461639247606803,0.23988328505707956,0.0832209684668701,0.30523165422885573,0.358027988462771,0.29730473047304734,0.4124939231891103,0.48972099853157125,0.1553892636312535,0.35231193926846105,0.1778950349719239,0.7750717956469165,0.42146083571770926,0.1656838882894638,0.0625809049851854,0.32969446903763594,0.144349477682811,0.4843579085539269,0.20163199426111914,0.44071212630164597,0.33132138545825984,0.4332467314783775,0.5886880680922608,0.5293729037503812,0.029881963301888272,0.20787444933920707
1,0.08257572317333453,0.5542365288621529,0.1921814522371884,0.3898989146362665,0.26366491807525416,0.47897727272727275,0.5364779509764154,0.32891689556740444,0.32407357703938305,0.08922065861847274,0.30154443412946247,0.2818096950418366,0.31883954665336084,0.447707550835384,0.42728484517055154,0.6571227647177015,0.23576570010727413,0.31506645084341456,0.09480046365292268,0.4172885572139304,0.600042730477513,0.43760313531353134,0.39776778479987035,0.44763892109127446,0.35767987633501963,0.3295376121463078,0.3021685055659541,0.2084907799274486,0.11251833669808717,0.18554437558025744,0.5563817852314242,0.3295107161351753,0.20166367697231893,0.5146576241522642,0.38038020086083213,0.7537789721195834,0.7346085987556876,0.5859872611464969,0.3902432617033574,0.5768878951112918,0.04839190695192202,0.5103937224669604
4,0.101666590981336,0.7593114040701396,0.09831243226505651,0.5919454586096417,0.23261122984262672,0.083433014354067,0.3839021846207336,0.1622771583993106,0.4717376133984647,0.47100507179084217,0.298210819478437,0.27245695318442703,0.34834984674602604,0.0360704571946639,0.4382391140884544,0.934699618243922,0.32626906982647785,0.5606150962685297,0.29546045939488563,0.3385416666666667,0.29315778228821704,0.2544004400440044,0.5757170636849782,0.4602364943194992,0.14281197301854975,0.20826033869512128,0.07432765244803467,0.2985943168077388,0.4795427807874977,0.030562316513185958,0.033598941403216065,0.09416501010640962,0.2582040730188878,0.5022423977247867,0.5007173601147776,0.5537453812562984,0.5871947256012628,0.4585987261146497,0.48894026165081705,0.335704848053664,0.029556263636220936,0.5002753303964758
1,0.0,0.0,0.05524074934200341,0.25780493256836295,0.21036526131727218,0.7586124401913875,0.31679898012400765,0.2855065438681531,0.40762610267146204,0.12929494963925994,0.3369482656764284,0.41812461102275084,0.5457267089600113,0.5981090532314466,0.2791715086472075,0.4485633916013663,0.3774904394965483,0.05763332765377407,0.10746812386156648,0.12336753731343285,0.24866467257771604,0.16020352035203522,0.22427483390050235,0.19120488445784062,0.3374789207419898,0.37251154642458983,0.6029947788395232,0.3454882103990327,0.3167274258906915,0.18666097909818585,0.5956908207001698,0.8176001870938643,0.09310259927543878,0.6574053817545394,0.12126972740315639,0.2296775277124622,0.3233355000464296,0.32978545088836736,0.3700940471812116,0.16861469661550968,0.0,0.4763215859030837
