Method,Dataset,Feature Selection method,Classification method,No. genes,No. selected genes,Iterations,Initialized particles,Accuracy,Precision,Sensitivity,F-measure
Hybrid approach,ANOVA_lung_cancer_df,Artificial_Bee_Colony,Naive_Bayes,501,493,50,10,0.95,0.9550000000000001,0.95,0.9496031746031747
Hybrid approach,ANOVA_lung_cancer_df,Artificial_Bee_Colony,SVM,501,493,50,10,0.95,0.9550000000000001,0.95,0.9496031746031747
Hybrid approach,ANOVA_lung_cancer_df,Artificial_Bee_Colony,kNN,501,493,50,10,0.975,0.9800000000000001,0.975,0.9761616161616162
Hybrid approach,ANOVA_lung_cancer_df,Artificial_Bee_Colony,Random_Forest,501,493,50,10,0.95,0.9550000000000001,0.95,0.9496031746031747
Hybrid approach,MI_lung_cancer_df,Artificial_Bee_Colony,Naive_Bayes,501,44,50,10,0.925,0.9290740740740742,0.925,0.9257070707070707
Hybrid approach,MI_lung_cancer_df,Artificial_Bee_Colony,SVM,501,44,50,10,0.875,0.7896774193548387,0.875,0.8295668549905837
Hybrid approach,MI_lung_cancer_df,Artificial_Bee_Colony,kNN,501,44,50,10,0.9,0.8966666666666667,0.9,0.8960317460317461
Hybrid approach,MI_lung_cancer_df,Artificial_Bee_Colony,Random_Forest,501,44,50,10,0.95,0.9550000000000001,0.95,0.9496031746031747
Hybrid approach,RF_lung_cancer_df,Artificial_Bee_Colony,Naive_Bayes,1001,887,50,10,0.9,0.905,0.9,0.8996031746031747
Hybrid approach,RF_lung_cancer_df,Artificial_Bee_Colony,SVM,1001,887,50,10,0.925,0.9267241379310345,0.925,0.9238721804511278
Hybrid approach,RF_lung_cancer_df,Artificial_Bee_Colony,kNN,1001,887,50,10,0.9,0.905,0.9,0.8933908045977011
Hybrid approach,RF_lung_cancer_df,Artificial_Bee_Colony,Random_Forest,1001,887,50,10,0.925,0.9267241379310345,0.925,0.9238721804511278
Hybrid approach,ANOVA_lung_cancer_df,Particle_Swarm_Optimization,Naive_Bayes,501,227,50,10,0.925,0.9267241379310345,0.925,0.9238721804511278
Hybrid approach,ANOVA_lung_cancer_df,Particle_Swarm_Optimization,SVM,501,227,50,10,0.95,0.9550000000000001,0.95,0.9496031746031747
Hybrid approach,ANOVA_lung_cancer_df,Particle_Swarm_Optimization,kNN,501,227,50,10,0.975,0.9800000000000001,0.975,0.9761616161616162
Hybrid approach,ANOVA_lung_cancer_df,Particle_Swarm_Optimization,Random_Forest,501,227,50,10,0.925,0.9317241379310344,0.925,0.9187134502923977
Hybrid approach,MI_lung_cancer_df,Particle_Swarm_Optimization,Naive_Bayes,501,231,50,10,0.925,0.9267241379310345,0.925,0.9238721804511278
Hybrid approach,MI_lung_cancer_df,Particle_Swarm_Optimization,SVM,501,231,50,10,0.95,0.9550000000000001,0.95,0.9496031746031747
Hybrid approach,MI_lung_cancer_df,Particle_Swarm_Optimization,kNN,501,231,50,10,0.95,0.9550000000000001,0.95,0.9496031746031747
Hybrid approach,MI_lung_cancer_df,Particle_Swarm_Optimization,Random_Forest,501,231,50,10,0.95,0.9550000000000001,0.95,0.9496031746031747
Hybrid approach,RF_lung_cancer_df,Particle_Swarm_Optimization,Naive_Bayes,1001,501,50,10,0.9,0.9080769230769231,0.9,0.9009259259259259
Hybrid approach,RF_lung_cancer_df,Particle_Swarm_Optimization,SVM,1001,501,50,10,0.925,0.9267241379310345,0.925,0.9238721804511278
Hybrid approach,RF_lung_cancer_df,Particle_Swarm_Optimization,kNN,1001,501,50,10,0.925,0.9267241379310345,0.925,0.9238721804511278
Hybrid approach,RF_lung_cancer_df,Particle_Swarm_Optimization,Random_Forest,1001,501,50,10,0.875,0.8846774193548388,0.875,0.855677966101695
Hybrid approach,ANOVA_lung_cancer_df,Artificial_Bee_Colony,Naive_Bayes,501,368,50,20,0.9,0.913076923076923,0.9,0.9037037037037038
Hybrid approach,ANOVA_lung_cancer_df,Artificial_Bee_Colony,SVM,501,368,50,20,0.95,0.9550000000000001,0.95,0.9496031746031747
Hybrid approach,ANOVA_lung_cancer_df,Artificial_Bee_Colony,kNN,501,368,50,20,0.95,0.9550000000000001,0.95,0.9496031746031747
Hybrid approach,ANOVA_lung_cancer_df,Artificial_Bee_Colony,Random_Forest,501,368,50,20,0.925,0.9317241379310344,0.925,0.9187134502923977
Hybrid approach,MI_lung_cancer_df,Artificial_Bee_Colony,Naive_Bayes,501,9,50,20,0.725,0.8183333333333334,0.725,0.7496031746031747
Hybrid approach,MI_lung_cancer_df,Artificial_Bee_Colony,SVM,501,9,50,20,0.725,0.5774774774774775,0.725,0.6386813186813186
