Type,607_s_at,38886_i_at,41620_at,40456_at,39031_at,39704_s_at,34407_at
3,0.04752111641571795,0.01738427117362213,0.2606263982102908,0.07631084599413374,0.03389652086951944,0.15437795035784985,0.1897244629485067
1,0.05292691883951523,0.03468450961649563,0.26451707032389843,0.031407573410671324,0.027080372651192165,0.13256324914616371,0.07473328129065834
3,0.1936099889827396,0.020598523124757098,0.19803521058262813,0.033928747981412516,0.0568977314595505,0.3686788922969827,0.04217769682250558
1,0.08214469335291956,0.01912795033665613,0.2907304736893298,0.3097749068978018,0.0499236801936944,0.23348778524657918,0.20026599589441124
3,0.1492030848329049,0.023413619604836088,0.11963816749343449,0.08354480440299246,0.021856413495447126,0.5328155931171006,0.13758926764391247
3,0.08458318031582812,0.04698480057982585,0.19414453846902052,0.1326335563391886,0.06943786515079742,0.5844242859318235,0.18541648596293409
1,0.049122291590157914,0.0581506496780496,0.27745355510164377,0.07018093135154731,0.16556134533396494,0.35628358241423563,0.2698528348801573
1,0.23996327579875137,0.045372422558586575,0.19910514541387023,0.23108295158685696,0.08213590188957313,0.059685875263764704,0.08052736577326741
1,0.2068233565919941,0.05225785443430216,0.3879000097266803,0.1114754638631645,0.15923206484551816,0.10013704888076748,0.41364096336773937
4,0.2626367976496511,0.34225480824781257,0.5434296274681452,0.03799887947796856,0.679693668087794,0.033365964019230344,0.028305432677017378
1,0.2498420859346309,0.01394943330427202,0.42977336834938235,0.09077876281185117,0.1094136533501763,0.11228436555069721,0.21372191863995146
2,0.7990892398090342,0.04499952731588954,0.8014298220017507,0.8603302244339716,0.31780620032633294,0.04792360068741977,0.3656576170237373
1,0.14022769004774147,0.030052205333977587,0.21797490516486723,0.0923606762680025,0.08225432917521974,0.21569318453740563,0.24973544973544975
3,0.09060594932060227,0.016480919318074397,0.11190545666763932,0.04399696799920904,0.05463445444497079,0.18445909199678043,0.0796946829733715
1,0.12235769372016159,0.038844129788552645,0.2399085692053302,0.13391886102231157,0.0550226327701458,0.5066327307533337,0.10241998438719752
4,0.11466764597869997,0.05017804434827366,0.31407450637097556,0.06335892957189468,0.07766198220958997,0.12888250777698013,0.04377945470841645
4,0.13933161953727508,0.5528723437779015,1.0,0.1419272978940777,0.13625717143007526,0.06998194435380366,0.032052505276549
2,0.7452662504590526,0.0242329387296352,0.6098628538079953,0.6362587746762021,0.5491604821306385,0.03150819030216015,0.5378321334605488
1,0.15230260741828866,0.05552462684215502,0.34716953603735046,0.1371403618627031,0.13440181062161166,0.15398420674802582,0.08977072310405644
