Method,Dataset,Feature Selection method,Classification method,No. genes,No. selected genes,No. iterations,Accuracy,Precision,Sensitivity,F-measure
Hybrid approach,ANOVA_barretNP_df_1000,Genetic Algorithm,Naive Bayes,1001,507.0,50,0.5,0.566666667,0.5,0.5
Hybrid approach,ANOVA_barretNP_df_1000,Genetic Algorithm,SVM,1001,507.0,50,0.5625,0.526041667,0.5625,0.541035354
Hybrid approach,ANOVA_barretNP_df_1000,Genetic Algorithm,kNN,1001,507.0,50,0.75,0.772321429,0.75,0.745833333
Hybrid approach,ANOVA_barretNP_df_1000,Genetic Algorithm,Random Forest,1001,507.0,50,0.6875,0.683035714,0.6875,0.68215812
Hybrid approach,ANOVA_barretNP_df_1000,Genetic Algorithm,Naive Bayes,1001,543.0,100,0.5,0.520138889,0.5,0.472402597
Hybrid approach,ANOVA_barretNP_df_1000,Genetic Algorithm,SVM,1001,543.0,100,0.625,0.578869048,0.625,0.59298514
Hybrid approach,ANOVA_barretNP_df_1000,Genetic Algorithm,kNN,1001,543.0,100,0.625,0.604166667,0.625,0.604910714
Hybrid approach,ANOVA_barretNP_df_1000,Genetic Algorithm,Random Forest,1001,543.0,100,0.5625,0.551339286,0.5625,0.555021368
Hybrid approach,ANOVA_barretNP_df_1000,Genetic Algorithm,Naive Bayes,1001,515.0,200,0.5625,0.6546875,0.5625,0.583151224
Hybrid approach,ANOVA_barretNP_df_1000,Genetic Algorithm,SVM,1001,515.0,200,0.625,0.578869048,0.625,0.59298514
Hybrid approach,ANOVA_barretNP_df_1000,Genetic Algorithm,kNN,1001,515.0,200,0.625,0.633928571,0.625,0.61875
Hybrid approach,ANOVA_barretNP_df_1000,Genetic Algorithm,Random Forest,1001,515.0,200,0.625,0.604166667,0.625,0.604910714
Hybrid approach,ANOVA_barretNP_df_1000,Genetic Algorithm,Naive Bayes,1001,511.0,500,0.6875,0.761904762,0.6875,0.685606061
