Method,Dataset,Feature Selection method,Classification method,No. genes,No. selected genes,No. iterations,Accuracy,Precision,Sensitivity,F-measure
Hybrid approach,Ridge_lung_cancer_df,Genetic Algorithm,Naive Bayes,501,276.0,50,0.75,0.861587302,0.75,0.766889848
Hybrid approach,Ridge_lung_cancer_df,Genetic Algorithm,SVM,501,276.0,50,0.925,0.926724138,0.925,0.92387218
Hybrid approach,Ridge_lung_cancer_df,Genetic Algorithm,kNN,501,276.0,50,0.825,0.820114943,0.825,0.821177945
Hybrid approach,Ridge_lung_cancer_df,Genetic Algorithm,Random Forest,501,276.0,50,0.8,0.810416667,0.8,0.778809524
Hybrid approach,Ridge_lung_cancer_df,Genetic Algorithm,Naive Bayes,501,268.0,100,0.75,0.836111111,0.75,0.762371795
Hybrid approach,Ridge_lung_cancer_df,Genetic Algorithm,SVM,501,268.0,100,0.875,0.884677419,0.875,0.855677966
Hybrid approach,Ridge_lung_cancer_df,Genetic Algorithm,kNN,501,268.0,100,0.825,0.812096774,0.825,0.810996772
Hybrid approach,Ridge_lung_cancer_df,Genetic Algorithm,Random Forest,501,268.0,100,0.825,0.837096774,0.825,0.806949153
Hybrid approach,Ridge_lung_cancer_df,Genetic Algorithm,Naive Bayes,501,262.0,200,0.725,0.868506494,0.725,0.748886693
Hybrid approach,Ridge_lung_cancer_df,Genetic Algorithm,SVM,501,262.0,200,0.85,0.765625,0.85,0.805
Hybrid approach,Ridge_lung_cancer_df,Genetic Algorithm,kNN,501,262.0,200,0.825,0.808448276,0.825,0.81125731
Hybrid approach,Ridge_lung_cancer_df,Genetic Algorithm,Random Forest,501,262.0,200,0.8,0.810416667,0.8,0.778809524
Hybrid approach,Ridge_lung_cancer_df,Genetic Algorithm,Naive Bayes,501,257.0,500,0.75,0.846666667,0.75,0.766309524
Hybrid approach,Ridge_lung_cancer_df,Genetic Algorithm,SVM,501,257.0,500,0.925,0.926724138,0.925,0.92387218
Hybrid approach,Ridge_lung_cancer_df,Genetic Algorithm,kNN,501,257.0,500,0.85,0.846666667,0.85,0.846031746
Hybrid approach,Ridge_lung_cancer_df,Genetic Algorithm,Random Forest,501,257.0,500,0.825,0.828763441,0.825,0.815758676
Hybrid approach,Ridge_lung_cancer_df,Genetic Algorithm,Naive Bayes,501,280.0,1000,0.75,0.836111111,0.75,0.762371795
Hybrid approach,Ridge_lung_cancer_df,Genetic Algorithm,SVM,501,280.0,1000,0.9,0.905,0.9,0.893390805
Hybrid approach,Ridge_lung_cancer_df,Genetic Algorithm,kNN,501,280.0,1000,0.8,0.78,0.8,0.782813355
Hybrid approach,Ridge_lung_cancer_df,Genetic Algorithm,Random Forest,501,280.0,1000,0.775,0.693181818,0.775,0.728864169
Hybrid approach,Ridge_lung_cancer_df,Genetic Algorithm,Naive Bayes,501,288.0,2000,0.725,0.841188198,0.725,0.744503546
Hybrid approach,Ridge_lung_cancer_df,Genetic Algorithm,SVM,501,288.0,2000,0.925,0.926724138,0.925,0.92387218
Hybrid approach,Ridge_lung_cancer_df,Genetic Algorithm,kNN,501,288.0,2000,0.85,0.846666667,0.85,0.846031746
Hybrid approach,Ridge_lung_cancer_df,Genetic Algorithm,Random Forest,501,288.0,2000,0.85,0.853333333,0.85,0.84028462
Hybrid approach,Ridge_barretNP_df,Genetic Algorithm,Naive Bayes,501,246.0,50,0.375,0.383928571,0.375,0.36875
Hybrid approach,Ridge_barretNP_df,Genetic Algorithm,SVM,501,246.0,50,0.5,0.375,0.5,0.427272727
Hybrid approach,Ridge_barretNP_df,Genetic Algorithm,kNN,501,246.0,50,0.5625,0.5625,0.5625,0.5625
Hybrid approach,Ridge_barretNP_df,Genetic Algorithm,Random Forest,501,246.0,50,0.4375,0.370738636,0.4375,0.384803922
Hybrid approach,Ridge_barretNP_df,Genetic Algorithm,Naive Bayes,501,274.0,100,0.4375,0.420833333,0.4375,0.426136364
Hybrid approach,Ridge_barretNP_df,Genetic Algorithm,SVM,501,274.0,100,0.375,0.328125,0.375,0.348214286
Hybrid approach,Ridge_barretNP_df,Genetic Algorithm,kNN,501,274.0,100,0.375,0.447916667,0.375,0.369791667
Hybrid approach,Ridge_barretNP_df,Genetic Algorithm,Random Forest,501,274.0,100,0.3125,0.292613636,0.3125,0.265756303
Hybrid approach,Ridge_barretNP_df,Genetic Algorithm,Naive Bayes,501,260.0,200,0.4375,0.446428571,0.4375,0.43125
Hybrid approach,Ridge_barretNP_df,Genetic Algorithm,SVM,501,260.0,200,0.5,0.505208333,0.5,0.486458333
Hybrid approach,Ridge_barretNP_df,Genetic Algorithm,kNN,501,260.0,200,0.5,0.484375,0.5,0.48989899
Hybrid approach,Ridge_barretNP_df,Genetic Algorithm,Random Forest,501,260.0,200,0.25,0.26875,0.25,0.229910714
Hybrid approach,Ridge_barretNP_df,Genetic Algorithm,Naive Bayes,501,230.0,500,0.375,0.410714286,0.375,0.354166667
Hybrid approach,Ridge_barretNP_df,Genetic Algorithm,SVM,501,230.0,500,0.375,0.375,0.375,0.369047619
Hybrid approach,Ridge_barretNP_df,Genetic Algorithm,kNN,501,230.0,500,0.4375,0.35,0.4375,0.371212121
Hybrid approach,Ridge_barretNP_df,Genetic Algorithm,Random Forest,501,230.0,500,0.3125,0.28125,0.3125,0.255952381
Hybrid approach,Ridge_barretNP_df,Genetic Algorithm,Naive Bayes,501,256.0,1000,0.4375,0.625,0.4375,0.451388889
Hybrid approach,Ridge_barretNP_df,Genetic Algorithm,SVM,501,256.0,1000,0.5625,0.572916667,0.5625,0.539285714
Hybrid approach,Ridge_barretNP_df,Genetic Algorithm,kNN,501,256.0,1000,0.4375,0.316964286,0.4375,0.365384615
Hybrid approach,Ridge_barretNP_df,Genetic Algorithm,Random Forest,501,256.0,1000,0.3125,0.28125,0.3125,0.255952381
Hybrid approach,Ridge_barretNP_df,Genetic Algorithm,Naive Bayes,501,256.0,2000,0.375,0.390625,0.375,0.366987179
Hybrid approach,Ridge_barretNP_df,Genetic Algorithm,SVM,501,256.0,2000,0.625,0.630952381,0.625,0.614291958
