Type,AFFX-MurIL2_at,35814_at,35815_at,35816_at,35817_at,35818_at,35819_at,35820_at,35821_at,35822_at,35813_at,35823_at,35825_s_at,35826_at,35827_at,35828_at,35829_at,35830_at,35831_at,35832_at,35833_at,35824_at,35834_at,35812_at,35810_at,35790_at,35791_at,35792_at,35793_at,35794_at,35795_at,35796_at,35797_at,35798_at,35811_at,35799_at,35801_at,35802_at,35803_at,35804_at,35805_at,35806_at,35807_at,35808_at,35809_g_at,35800_at,35835_at,35836_at,35837_at,36103_at
3,0.15701990670783783,0.5811244649324991,0.6099055656017681,0.5849570157955797,0.13951293184821598,0.3104295259306395,0.11363851617995266,0.4738029216553352,0.33572281959378736,0.0743322809729878,0.13708481777345047,0.18445056626874812,0.2197455024133392,0.0,0.3039757412398922,0.2542842327587297,0.08197274950506579,0.03769241835707094,0.046983228054890004,0.5933396812669139,0.21090754154239452,0.02199570815450643,0.0,0.42454031477614224,0.5025410193117468,0.73190001295169,0.5996116774148811,0.0526909240599216,0.2025003898736809,0.11871762564748707,0.07907244706899035,0.7391304347826088,0.04657444544487191,0.287050761791364,0.6754557291666667,0.047250329960404756,0.163678830345497,0.32208628461043154,0.2007890082981907,0.18135866244514803,0.14293617315538346,0.24677453845605532,0.34684308080608905,0.18364776101496655,0.1696395973504407,0.2420745987319358,0.3262227095051959,0.21528555431131016,0.15709201830198272,0.25551104607930153
1,0.2551737730766704,0.3502016792887718,0.5446051838456902,0.19683493470565483,0.291580139701718,0.2416671969455934,0.13253354380426205,0.20403081723889827,0.2881169010201268,0.6911478915466808,0.11081852581266181,0.5616948707857801,0.2523036419482229,0.23716390561310347,0.38032345013477087,0.269207907017921,0.0325259112612088,0.1485253920299238,0.0762252232629057,0.0634208679963917,0.24933958244567533,0.05032859442060086,0.019379116594161368,0.33968318647175677,0.6405235536932938,0.10762854552519101,0.5688232438804521,0.13009861650528878,0.21604200239122526,0.07083858322833544,0.37887080512746646,0.5811020232458028,0.25898338380944586,0.291023740675042,0.23242187500000003,0.21055873295204575,0.37413170746504076,0.03734707018673536,0.16827642497619372,0.23201688607454315,0.21091210842956917,0.40594482856939196,1.0,0.18682702978314988,0.20896573306211857,0.43828183012509286,0.3519877967394413,0.7344624860022396,0.28144382308083377,0.24819496749742143
3,0.27501478220879044,0.6546756667764241,0.3963230861965039,0.3126642274246166,0.24334528978667172,0.4763728921412662,0.19299131807419104,0.06318665772007405,0.13914162301259075,0.12289497829055258,0.25120046026863757,0.12471905199177927,0.26722246599385696,0.6817620881792005,0.3723045822102426,0.20229799289228395,0.07123558868056364,0.40013427324605577,0.10486822043127861,0.18374761952490729,0.19582445675330207,0.12235112660944204,0.12491426209021977,0.2476952070493557,0.2852994254184904,0.25294650951949227,0.17814298592330635,0.0849247400354375,0.08104174247543795,0.1671566568668627,0.18702290076335876,0.8020232458028411,0.28378488990750594,0.33098437537968073,0.44422743055555564,0.15292564892212937,0.11387144720478051,0.5445589182227947,0.29900693783158755,0.5271899127923124,0.2583154691930018,0.3138498823864851,0.12989312615845724,0.29442228287493877,0.1848302300109529,0.2105443536870966,0.5167794832681857,0.2821015304217992,0.19257752923233348,0.030631581472330832
1,0.22363839432363186,0.2551448798156075,0.532147880249146,0.6263299322763284,0.09448744572399473,0.1669487750556793,0.0808839779005525,0.2676540255624631,0.09934748644426064,0.12623267037039712,0.16965767520081435,0.23858498403952957,0.11601579640193067,0.49837328446954127,0.5610512129380054,0.2536012849536481,0.2614999417724467,0.1711792068287537,0.22068176867784797,0.1520497143429889,0.27984661269706007,0.16245305793991413,0.013934172077159421,0.405541690011715,0.3892219295152357,0.5374303846651988,0.6012065737466195,0.16261879619852165,0.35148411914539684,0.2461150776984461,0.25788564021316435,0.5827808867843306,0.09519521977572237,0.4089495298034166,0.2849392361111111,0.11482622085349758,0.29529529529529525,0.6825499034127497,0.20242143925996464,0.1854135421874132,0.5152479081667934,0.3168436809466106,0.3798004495799977,0.27622646791238015,0.24664893339592137,0.5527503284400527,0.24509009438459337,0.33818589025755874,0.11276054905948145,0.18316582311880836
3,0.297023848630182,0.35793957853144553,0.41390395820775566,0.5761023688411617,0.17651500849537477,0.6055361119949094,0.2908445146014207,0.15719055433842372,0.1512728609502803,0.08300883549223732,0.3323891925383374,0.3714722987450261,0.27046950416849497,0.16446654949328748,0.09575471698113205,0.10281526261872541,0.07704669849772912,0.18215124922073567,0.013210629492485299,0.29421419264307913,0.1669365146996165,0.14706276824034334,0.017133488053068243,0.5383792594101767,0.9702545167914705,0.19848465224711817,0.47548713681436794,0.08513951282372523,0.06417320788064668,0.4292314153716926,0.09124297853953621,0.39715884631941456,0.1169681591225342,0.4668675430709791,0.2823350694444445,0.14447866256049274,0.07498407498407497,0.16625885383129432,0.3387294245680859,0.282397378214742,0.22418919853398797,0.5137215767339082,0.1991284457940608,0.13493896403827121,0.10453502320972198,0.49563031930085116,0.5001191724663935,0.13787793952967528,0.2064056939501779,0.08949603012785148
3,0.428289862689705,0.5054947316430688,0.7913401647578863,0.1482831107277072,0.38965452142722296,0.16866687877823736,0.19234411996842934,0.07639635561088791,0.35355206322948257,0.04796306865386976,0.03609125710871634,0.10575014211377848,0.38043001316366826,0.20178751729553873,0.656266846361186,0.28232303431180356,0.08199604052637707,0.34934062245240505,0.2453387061642344,0.08470732685175905,0.5446953557733276,0.319574839055794,0.0978163846320082,0.5247797076351042,0.2085295276815532,0.7465354228726847,0.7329588794119687,0.10246451774560163,0.3878203462078287,0.3536329273414532,0.39701857986461175,0.27817477399913904,0.4223622820659737,0.1625640901027872,0.5862630208333334,0.28781346238451383,0.5183365183365183,0.5863490019317451,0.30381354010792183,0.3673276676109537,0.26512689302261255,0.41571031434884875,0.0929605237212604,0.8101436669566,0.7947765086319302,0.6212372193979552,0.4423920297454476,0.5833333333333333,0.4680223690899848,0.1631125716615894
1,0.460810722028776,0.38424020414883114,0.5812738597548724,0.6142080891612379,0.4212761940721163,0.2678841870824053,0.12757695343330702,0.19455605228906114,0.4438011212204761,0.08189627146562249,0.18180611183642764,0.08379902925357474,0.5945590171127688,0.18451067648928615,0.36307277628032353,0.09702917704789486,0.10386630953767322,0.11984846305088002,0.10535830973644088,0.4449609100932145,0.4976565828717512,0.15450643776824033,0.03362335453682737,0.3733000560281159,0.44842249372523807,0.6485558865431937,0.29588794119686573,0.23030801997386932,0.09375162447367053,0.38296234075318497,0.4446924960391761,0.5707275075333621,0.33060489481869526,0.3218112895779166,0.5001085069444445,0.40263968323801147,0.33736767070100404,0.3217643271088217,0.29723847095633243,0.2601788590790424,0.2491183182352534,0.6650509658564401,0.23118271088851203,0.2209991701908561,0.24179836228028997,0.5623464899754385,0.2518114214891792,0.2935330347144457,0.5761057447890188,0.18100698025858142
1,0.373300045989094,0.35861870266710566,0.37743620655013066,0.21873853506658336,0.35718331130828773,0.1299140948138721,0.45710339384372534,0.2353492809041448,0.2763073246944215,0.10568635808667884,0.11555398198756393,0.9280073461891644,0.3630100921456779,0.06002019371003328,0.3883086253369272,0.0960142407264541,0.08413881448701525,0.100148659665276,0.06569374863864083,0.03419740402926732,0.5010651896037495,0.24471901824034334,0.02570727903109115,0.22729587938674684,0.4400112012279865,0.2210853516383888,0.8523680743360377,0.1362643853023822,0.17995269532671418,0.32500349993000144,0.3060636612415382,0.4258501937150237,0.22681509372186298,1.0,0.3461371527777778,0.23889133304003518,0.2254830588163921,0.34288473921442375,0.14295107241645127,0.3124201521968561,0.5497199363806099,0.7285979043410078,0.22821706037780493,0.12065224998250403,0.12117300370312419,0.23627691780430682,0.41547096958718654,0.24545072788353864,0.3342653787493645,0.14351507591930726
1,0.46291308061231196,0.2967463780046098,0.6571227647177015,0.2688049697077867,0.4361902963941854,0.05796372892141265,0.24506708760852408,0.5594800197256198,0.5994393897619703,0.0843561938751183,0.2201323272332987,0.3086273995364906,0.3758666081614744,0.5146217418944693,0.7506738544474393,0.2663812619357776,0.2836031209968557,0.24683259003500704,0.11274232193421913,0.463165280144332,0.453813378781423,0.49624463519313305,0.0265341213391087,0.19197269902714817,0.27992698458794,0.447707550835384,0.5621662852784134,0.28164766524081397,0.16573530176222906,0.41204675906481875,0.5991286187527005,0.5682092122255704,0.28943275763280674,0.24937428620027702,0.6032986111111112,0.38728552573691155,0.6963933630600296,0.6627495170637476,0.25633700630299733,0.310281619730045,0.2818096950418366,0.31883954665336084,0.34604645659975547,0.3239854833388321,0.4205262608877066,0.4369680699148912,0.44135522928782533,0.5677491601343786,0.5168276563294357,0.384537887692197
4,0.5085736810984823,0.12734606519591704,0.934699618243922,0.045443277706715836,0.3337738342457995,0.11445116131084952,0.18792423046566695,0.06823124247152315,0.44683393070489846,0.07428893432260021,0.30357814609103584,0.46007258734531475,0.31311978938130763,0.667327325081336,0.4985849056603775,0.38460079171356665,0.5466984977291254,0.24002301827075248,0.3337290350686125,0.0804851157662624,0.4437153813378782,0.09321351931330471,0.026764321754409043,0.0895431161819386,0.2734136779439524,0.0360704571946639,0.6669440399417517,0.08236536430834213,0.39634558403077397,0.21769564608707828,0.7331124873973786,0.3235471373224279,0.34844888270442825,0.2225475663985615,0.4092881944444444,0.4591289045314562,0.08584341917675249,0.4188023180940117,0.17408062395138985,0.4674776426151197,0.27245695318442703,0.34834984674602604,0.05174902393816304,0.8044849684572548,0.6631200125176028,0.46467127434740396,0.8999427972161311,0.3830253826054498,0.413421453990849,0.21319772601885392
