Type,32801_at,38314_at,34304_s_at,41685_at,37801_at,807_at,37113_at,41648_at,39805_at,35490_at,39197_s_at,1757_i_at,32688_at,31841_at,32467_at,36549_at,34470_at,31399_at,39363_at,39642_at,40704_at,31723_at,33111_at,1924_at,34051_at,33959_at,32513_at,39826_f_at,32168_s_at,32053_at,34669_at,38664_at,1397_at,39447_f_at,40289_at,32280_at,33859_at,38895_i_at,40707_at,38306_at,526_s_at,34131_at,1935_at,31666_f_at,35867_at,35082_at,37132_at,31415_at,34437_at,31332_at
3,0.07258958256372368,0.3126346402412753,0.44823286224638825,0.1536870631864213,0.08050950755728913,0.1385361552028219,0.7302744039586145,0.14965836327855148,0.32945947713843404,0.18859278059785672,0.2254385379843927,0.12144061910903857,0.14262310879830398,0.018585213373199235,0.24309231996518965,0.48443607933980026,0.4488061948806195,0.0030094165614988834,0.057988996839517755,0.15391326661534513,0.277988101676582,0.16015106665305706,0.2609106962663976,0.1635592600716531,0.11590763895226795,0.2047672672672673,0.13021637062087532,0.2726142110936075,0.07699779821266677,0.2769293011024578,0.15105289338418174,0.3550780646158603,0.40712742980561556,0.07858312248846554,0.13837142308430958,0.2831301612268973,0.2858616992763334,0.3118642062928791,0.09285913269570062,0.10301387922510709,0.0,0.03148938176161407,0.14635683339897596,0.24171095925082256,0.14217633042096905,0.1421272642823966,0.11750527267249168,0.052268602540834826,0.05291737649063035,0.3500335120643432
1,0.01840906292328531,0.2565435157259801,0.277495674837666,0.20282413350449294,0.19197952218430037,0.36058201058201056,0.7728744939271256,0.2979002548488032,0.3296775178248261,0.33298082346305696,0.36156873207496826,0.2987399543605516,0.30211043654235326,0.09017396031530307,0.3010370585249112,0.23534095844795141,0.34598838459883846,0.10566935249004954,0.2996605407936322,0.46035411855273284,0.19275283937263388,0.17015412881494338,0.32359989909182646,0.276595744680851,0.2315414803322077,0.22804054054054057,0.11849492727451816,0.2673907636182738,0.07123429607563787,0.26792758167290387,0.29049908804510033,0.13428880595366915,0.6218893792844398,0.2870218782556928,0.22805838294603417,0.4261108926464805,0.13311444652908072,0.38585285072155195,0.2692914848175318,0.3361775368953015,0.0701244585777729,0.21953001626322863,0.24812918471839307,0.3140976967856239,0.44059911494383297,0.28536925220622383,0.4249271869036858,0.302994555353902,0.3707410562180579,0.36804624664879354
3,0.4139884250708041,0.20896165445928477,0.40195924236636926,0.09834545713878191,0.38767674305216976,0.20617283950617285,0.433693207377418,0.23499497849168982,0.21869480845125702,0.3004794134235758,0.12539184952978055,0.17094949895822997,0.17808615206707143,0.06163359608589291,0.1723837841757923,0.11980599391921239,0.08636265863626587,0.09979613629744687,0.14077022123375862,0.09879394405953298,0.2616549486208762,0.1001326936817393,0.1583627648839556,0.1590261022153981,0.2908642876699827,0.1758633633633634,0.08576025215878122,0.31962523837161094,0.11967361740707164,0.29270759583291195,0.17095009119548996,0.3021222092175872,0.4465208000751244,0.3535496353624052,0.3083349337430382,0.3644514353126229,0.45186277137496655,0.2733617222616513,0.19648992478410254,0.3554766177170688,0.06321618509786722,0.04959106229523652,0.15549428909019297,0.2476166371382772,0.10359695903778508,0.1657222480260102,0.2584111680224967,0.13756805807622505,0.14395229982964228,0.20618297587131368
1,0.2641916020194557,0.5433810857389055,0.49115869413800084,0.06789331051205248,0.16595563139931746,0.262962962962963,0.3394062078272605,0.1954614853215217,0.10077840525041973,0.20967287084038352,0.11285266457680251,0.14297053279095148,0.13009540329575023,0.0447132372927426,0.3024149684531148,0.19958013609381794,0.401806840180684,0.2203669546645957,0.23970502165515628,0.04398255068001028,0.17555435370470526,0.06461161580075532,0.13546922300706357,0.07933026248446297,0.1729487998539746,0.11589714714714719,0.05286141116984601,0.18903905148826797,0.07246470664421707,0.17588752907858807,0.23428950422815453,0.2477971865821611,0.5975678467461734,0.1980205387706504,0.14931822546571924,0.29130947699567444,0.35093808630393997,0.3077832978471729,0.10353793295570622,0.36496136521770967,0.09868962114150996,0.025785466801800737,0.20598660890114218,0.20568632413734916,0.10427777147395895,0.139526242452392,0.19363262026714873,0.06642468239564428,0.0,0.1825569705093834
3,0.24011821204285183,0.42985243429556225,0.48499112499157443,0.09613464555698188,0.26225012189176017,0.18333333333333335,0.6837156995051732,0.16926836914181556,0.5558293177506923,0.2801043429216018,0.20176082171680115,0.21123127294374439,0.19755227907873182,0.06323049741777657,0.1699905721952281,0.3993774431735921,0.10690471069047108,0.2234734491796913,0.05908931288774437,0.14826789838337182,0.24294213088155764,0.17260385832397673,0.13950554994954592,0.17065145865321343,0.23336679748106234,0.1621621621621622,0.04045047115605607,0.3753420114418374,0.10704571946639038,0.2685344391625367,0.26753440557121544,0.20416050173354236,0.5151657432622782,0.35957731805328175,0.21912809679277895,0.32245379473063307,0.20332350576253017,0.2639578897563284,0.21199739994428454,0.16684366645914964,0.11108065135149953,0.18855917222523394,0.16345017723513194,0.21057960010124016,0.2869624418472711,0.13822573153738968,0.23852566033945968,0.09936479128856623,0.16034923339011928,0.33218833780160856
3,0.43264376308336416,0.5015618267987936,0.23507538140067857,0.25566966195977747,0.42247684056557777,0.4372134038800706,0.20319388214125061,0.2143284240591203,0.2999803763382247,0.46742808798646357,0.3186820516240912,0.3692826669312431,0.3828659535511227,0.12285947268279424,0.23003843643483937,0.5310554509917476,0.3303936330393633,0.3783127851664887,0.2610558351867026,0.26877084937131124,0.41373715521903737,0.2418087169541696,0.2681004036326943,0.3728887914016231,0.4397189011590764,0.4082207207207207,0.23787635026430703,0.5123124119061437,0.17407071622846784,0.493981996561141,0.5221356325650804,0.5100147958394983,0.6117006291670579,0.751823187974401,0.39245246783176496,0.5174990169091623,0.8050790672741892,0.3352850721551928,0.4598384251091095,0.12363130332881678,0.14622512199133728,0.25526197939991047,0.5012997243009059,0.44511937906015353,0.4068988993532282,0.32893636785880165,0.4331625991764588,0.3450998185117967,0.4400553662691652,0.45584785522788207
1,0.2642531707917744,0.45863851788022403,0.2662053160177051,0.3660676080445015,0.40876401755241343,0.6665784832451499,0.5340980656770131,0.22591562704996546,0.33918409175152087,0.5195290468133107,0.5241779497098646,0.5709891854350629,0.5632649127878963,0.169951073661321,0.5887301472187977,0.3557984653250327,0.496881049688105,0.5482962819143773,0.23703616996371296,0.30254041570438794,0.6339643050297459,0.6226395835459835,0.3964429868819374,0.3739124076917452,0.5884822487907273,0.5154842342342343,0.23032472009718621,0.7817759721416134,0.20625566636446058,0.618084353191059,0.45639197479688287,0.32504471876863283,0.7110996337684289,0.6807560648906088,0.5411945458037257,0.632874557609123,0.0560707585097829,0.48409037142181216,0.5435045036679358,0.17761013659501224,0.21772026975163114,0.31319678506611354,0.41299724300905866,0.5143001771703366,0.6008169749234087,0.5252206223873664,0.6049010746208697,0.46352087114337565,0.5273637137989778,0.5380361930294906
1,0.24119566555842872,0.497643795777682,0.6023041319343024,0.25042789901583223,0.3203924914675768,0.36838624338624343,0.72991452991453,0.15624147359499357,0.6775832370320302,0.4293570219966159,0.41926232241712796,0.40306578033535073,0.347692011178568,0.12657991301984237,0.42599173254043077,0.3558346604893587,0.41600344160034414,0.43527327443937486,0.46022474540559516,0.2136258660508083,0.29145484045429965,0.34653465346534656,0.405808526740666,0.441800102361629,0.34014785068905723,0.4096283783783784,0.2086548248350133,0.38504269961031423,0.1413029400336744,0.373773642156367,0.5531420991543692,0.16330631804429915,0.6432763639778383,0.4015478493823486,0.38212982523526023,0.5312229650019662,0.6737134816403109,0.3495978235154957,0.3754759030550655,0.19022594939026619,0.10321289544382917,0.48186296462158534,0.33410791650256005,0.35446722348772464,0.29564280040848745,0.3143985137018114,0.40388671286532085,0.2937840290381125,0.3723381601362862,0.40964309651474534
1,0.26600788080285676,0.5792896380870314,1.0,0.31718014548566537,0.3448927352510971,0.5022927689594356,0.3622132253711203,0.18937762323013604,0.45071190284107016,0.47504230118443314,0.35876742479823914,0.48169461256076984,0.5090584947480004,0.17994020114161458,0.8187323228660528,0.3536629506297959,0.6117982361798237,0.502742452189108,0.4137539506028327,0.17726456248396202,0.5469983775013522,0.43936919465142393,0.3849646821392533,0.3968706587701981,0.4797846125764351,0.4379692192192192,0.22937255803263618,0.7481966669430397,0.3822043776712862,0.518003438859108,0.793193500248715,0.17779299074707947,0.7381913794722509,0.6801607382050902,0.4457941232955636,0.5863153755406999,0.35295497185741087,0.4246214809557606,0.4213483146067416,0.4247811916358442,0.15214649925982784,0.3036038371791548,0.493855848759354,0.47882392643212685,0.46817201860887325,0.43297724105898744,0.508335844129758,0.407032667876588,0.5797487223168655,0.4675351876675603
4,0.40555350326314493,0.6949859974149073,0.1682544318871189,0.35073455997717873,0.2676743052169674,0.39206349206349206,0.9041835357624832,0.30756012748245376,0.4416196062185204,0.4181472081218274,0.48475955445874735,0.46324040083341594,0.3750602293533776,0.4197132372927426,0.2848647472623106,0.41537570580570443,0.4312755431275543,0.2650228133190953,0.8010769050684771,0.36818065178342313,0.41936181719848575,0.33020312340512403,0.49230575176589303,0.48950793302624845,0.39691521401843566,0.4081268768768769,0.30341136684506026,0.5524417544150567,0.23377800803004795,0.4942854253059574,0.37298955397114913,0.32760638650266105,0.685651234857733,0.4168030956987647,0.3749759938544267,0.5657884388517499,0.42563655856338783,0.32682753726046837,0.4152660414151732,0.2935144834657779,0.1688689072865837,0.18799349470855825,0.27625049231981097,0.3580528136336792,0.40201974356064907,0.4015791918253599,0.4388872150246058,0.3353901996370236,0.5530238500851788,0.43574061662198393
