Method,Dataset,Feature Selection method,Classification method,No. genes,No. selected genes,No. iterations,Accuracy,Precision,Sensitivity,F-measure
Hybrid approach,ANOVA_barretNP_df_1000,Genetic Algorithm,kNN,1001,507.0,50,0.75,0.772321429,0.75,0.745833333
Hybrid approach,ANOVA_barretNP_df_1000,Genetic Algorithm,kNN,1001,543.0,100,0.625,0.604166667,0.625,0.604910714
Hybrid approach,ANOVA_barretNP_df_1000,Genetic Algorithm,kNN,1001,515.0,200,0.625,0.633928571,0.625,0.61875
Hybrid approach,ANOVA_barretNP_df_1000,Genetic Algorithm,kNN,1001,511.0,500,0.75,0.813988095,0.75,0.742424242
Hybrid approach,ANOVA_barretNP_df_1000,Genetic Algorithm,kNN,1001,556.0,1000,0.75,0.747916667,0.75,0.744318182
Hybrid approach,ANOVA_barretNP_df_1000,Genetic Algorithm,kNN,1001,547.0,2000,0.6875,0.697916667,0.6875,0.679545455
Hybrid approach,ANOVA_barretNP_df_1000,Genetic Algorithm,kNN,1001,,0,,,,0.69
Hybrid approach,chi2_barretNP_df_1000,Genetic Algorithm,kNN,1001,501.0,50,0.6875,0.666666667,0.6875,0.672979798
Hybrid approach,chi2_barretNP_df_1000,Genetic Algorithm,kNN,1001,516.0,100,0.6875,0.69375,0.6875,0.6875
Hybrid approach,chi2_barretNP_df_1000,Genetic Algorithm,kNN,1001,528.0,200,0.8125,0.820833333,0.8125,0.8125
Hybrid approach,chi2_barretNP_df_1000,Genetic Algorithm,kNN,1001,515.0,500,0.8125,0.814732143,0.8125,0.809294872
Hybrid approach,chi2_barretNP_df_1000,Genetic Algorithm,kNN,1001,527.0,1000,0.6875,0.69375,0.6875,0.6875
Hybrid approach,chi2_barretNP_df_1000,Genetic Algorithm,kNN,1001,475.0,2000,0.6875,0.69375,0.6875,0.6875
Hybrid approach,chi2_barretNP_df_1000,Genetic Algorithm,kNN,1001,,0,,,,0.69
Hybrid approach,MI_barretNP_df_1000,Genetic Algorithm,kNN,1001,515.0,50,0.5625,0.479166667,0.5625,0.5125
Hybrid approach,MI_barretNP_df_1000,Genetic Algorithm,kNN,1001,497.0,100,0.75,0.85,0.75,0.697916667
Hybrid approach,MI_barretNP_df_1000,Genetic Algorithm,kNN,1001,508.0,200,0.625,0.604166667,0.625,0.604910714
Hybrid approach,MI_barretNP_df_1000,Genetic Algorithm,kNN,1001,490.0,500,0.625,0.578869048,0.625,0.59298514
Hybrid approach,MI_barretNP_df_1000,Genetic Algorithm,kNN,1001,514.0,1000,0.6875,0.651041667,0.6875,0.641233766
Hybrid approach,MI_barretNP_df_1000,Genetic Algorithm,kNN,1001,509.0,2000,0.75,0.822916667,0.75,0.688257576
Hybrid approach,MI_barretNP_df_1000,Genetic Algorithm,kNN,1001,,0,,,,0.69
Hybrid approach,ANOVA_lung_cancer_df,Genetic Algorithm,kNN,501,263.0,50,0.975,0.98,0.975,0.976161616
Hybrid approach,ANOVA_lung_cancer_df,Genetic Algorithm,kNN,501,271.0,100,0.975,0.98,0.975,0.976161616
Hybrid approach,ANOVA_lung_cancer_df,Genetic Algorithm,kNN,501,282.0,200,0.975,0.98,0.975,0.976161616
Hybrid approach,ANOVA_lung_cancer_df,Genetic Algorithm,kNN,501,295.0,1000,0.975,0.98,0.975,0.976161616
Hybrid approach,ANOVA_lung_cancer_df,Genetic Algorithm,kNN,501,290.0,500,0.95,0.955,0.95,0.949603175
Hybrid approach,ANOVA_lung_cancer_df,Genetic Algorithm,kNN,501,287.0,2000,0.925,0.931724138,0.925,0.91871345
Hybrid approach,ANOVA_lung_cancer_df,Genetic Algorithm,kNN,501,,0,,,,0.98
